direct,af,am,ar,as,ast,az,be,bg,bn,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,ga,gl,gu,ha,he,hi,hr,hu,hy,id,ig,is,it,ja,jv,ka,kam,kea,kk,km,kn,ko,ku,ky,lb,lg,ln,lo,lt,luo,lv,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ns,ny,oc,om,or,pa,pl,ps,pt,ro,ru,sd,sk,sl,sn,so,sr,sv,sw,ta,te,tg,th,tl,tr,uk,umb,ur,uz,vi,wo,xh,yo,zh,zhtrad,zu
en-x,84.00,85.00,85.00,54.00,73.00,86.00,86.00,90.00,84.00,83.00,87.00,69.00,90.00,83.00,90.00,86.00,88.00,/,86.00,91.00,86.00,34.00,91.00,86.00,79.00,87.00,86.00,75.00,85.00,77.00,83.00,88.00,89.00,90.00,66.00,85.00,87.00,89.00,86.00,86.00,48.00,45.00,89.00,81.00,85.00,87.00,30.00,87.00,56.00,29.00,52.00,82.00,89.00,35.00,89.00,70.00,89.00,85.00,86.00,71.00,88.00,65.00,86.00,80.00,87.00,88.00,57.00,61.00,67.00,34.00,70.00,81.00,88.00,76.00,87.00,90.00,88.00,74.00,89.00,87.00,49.00,75.00,86.00,89.00,83.00,87.00,79.00,75.00,87.00,81.00,88.00,89.00,50.00,78.00,88.00,86.00,34.00,65.00,51.00,86.00,84.00,70.00
x-en,89.00,77.00,86.00,83.00,82.00,86.00,83.00,87.00,87.00,87.00,88.00,66.00,88.00,87.00,90.00,89.00,87.00,/,87.00,89.00,87.00,38.00,89.00,89.00,84.00,88.00,89.00,68.00,87.00,89.00,86.00,88.00,88.00,89.00,65.00,85.00,88.00,87.00,78.00,86.00,47.00,73.00,87.00,86.00,87.00,87.00,75.00,84.00,80.00,60.00,57.00,86.00,86.00,43.00,87.00,61.00,87.00,88.00,85.00,87.00,88.00,77.00,84.00,89.00,87.00,89.00,59.00,65.00,84.00,66.00,84.00,86.00,86.00,73.00,89.00,89.00,86.00,81.00,88.00,87.00,71.00,68.00,87.00,90.00,84.00,86.00,88.00,65.00,88.00,87.00,89.00,87.00,45.00,86.00,87.00,87.00,38.00,76.00,58.00,86.00,85.00,79.00
zh-x,82.00,80.00,82.00,49.00,72.00,83.00,85.00,87.00,79.00,82.00,84.00,67.00,88.00,79.00,87.00,83.00,85.00,86.00,84.00,88.00,84.00,36.00,87.00,83.00,76.00,84.00,80.00,71.00,82.00,70.00,82.00,85.00,86.00,87.00,65.00,82.00,85.00,89.00,83.00,84.00,51.00,40.00,85.00,79.00,79.00,85.00,30.00,84.00,55.00,33.00,54.00,81.00,88.00,33.00,87.00,69.00,86.00,80.00,82.00,64.00,84.00,63.00,83.00,73.00,84.00,86.00,58.00,61.00,64.00,35.00,64.00,75.00,87.00,73.00,85.00,86.00,87.00,71.00,87.00,84.00,57.00,73.00,85.00,86.00,79.00,83.00,78.00,74.00,84.00,80.00,84.00,87.00,53.00,77.00,85.00,86.00,38.00,71.00,54.00,/,90.00,72.00
x-zh,81.00,77.00,82.00,78.00,80.00,83.00,82.00,84.00,83.00,83.00,85.00,67.00,84.00,81.00,85.00,85.00,84.00,86.00,85.00,84.00,84.00,36.00,84.00,85.00,79.00,85.00,83.00,53.00,83.00,84.00,83.00,84.00,84.00,84.00,54.00,80.00,85.00,86.00,76.00,83.00,48.00,72.00,81.00,78.00,82.00,85.00,68.00,77.00,77.00,60.00,59.00,80.00,84.00,44.00,84.00,70.00,83.00,82.00,79.00,83.00,83.00,76.00,79.00,84.00,83.00,84.00,55.00,68.00,81.00,64.00,82.00,83.00,83.00,72.00,85.00,84.00,84.00,78.00,84.00,84.00,70.00,69.00,83.00,85.00,80.00,81.00,82.00,55.00,85.00,82.00,83.00,83.00,46.00,82.00,80.00,85.00,44.00,73.00,58.00,/,90.00,72.00
de-x,84.90,81.29,82.04,48.41,70.47,83.35,85.74,88.85,80.48,83.48,85.15,67.25,90.79,80.26,89.31,/,86.36,89.00,83.87,89.64,83.77,35.03,89.25,84.51,76.38,85.03,81.89,73.96,83.68,72.69,83.80,87.25,86.64,88.10,67.95,83.50,86.16,87.50,84.26,84.32,49.87,39.61,86.19,78.53,80.78,84.73,28.65,83.61,56.37,33.24,52.36,81.61,88.56,34.30,88.12,68.66,87.51,81.92,83.12,65.27,85.79,64.71,83.06,73.92,87.29,88.41,57.09,60.20,64.78,34.09,64.76,76.62,88.88,73.65,86.71,87.92,87.82,73.21,89.97,87.92,58.10,75.20,85.28,89.06,80.27,84.43,79.95,73.29,83.61,80.56,84.88,88.23,50.76,77.27,86.01,85.57,37.96,70.89,56.78,85.00,83.08,71.07
x-de,84.33,80.35,81.81,78.52,79.16,82.45,81.77,84.33,82.51,84.57,84.27,76.40,86.66,82.11,86.18,/,83.21,86.00,83.62,85.24,83.05,42.06,85.34,84.80,80.21,84.38,83.87,74.52,83.96,83.48,83.96,84.62,83.73,84.22,68.83,82.54,84.41,82.89,79.62,83.36,47.92,70.90,82.76,82.52,82.32,82.85,71.16,80.90,57.21,57.52,57.66,82.54,83.64,45.29,84.47,68.82,83.79,82.86,80.43,81.65,83.34,76.58,81.32,84.26,85.06,84.97,66.78,69.45,79.93,62.54,80.57,82.87,84.78,79.71,84.71,85.34,83.81,79.84,86.47,85.67,69.83,74.05,84.04,86.09,79.39,81.26,82.26,73.51,83.41,81.93,83.96,83.90,44.84,82.00,83.32,83.90,42.96,74.10,61.50,83.00,82.51,75.13
ar-x,81.17,80.47,/,45.97,70.21,80.64,84.30,86.84,77.97,80.71,83.59,67.59,87.16,79.90,86.32,81.81,85.58,86.00,82.42,86.24,84.30,35.83,86.12,82.69,75.19,83.43,79.58,73.60,83.87,69.85,80.27,83.91,85.12,85.73,69.23,80.79,83.91,85.35,82.54,82.62,50.22,41.13,85.18,77.50,79.51,83.12,28.58,82.71,55.67,33.96,53.42,79.10,86.27,33.94,85.83,69.60,85.29,80.40,81.45,62.54,83.06,65.52,81.88,71.54,82.93,85.32,58.75,61.07,62.44,35.87,61.33,73.90,85.66,73.59,84.67,85.62,86.02,72.10,86.29,85.12,59.86,75.03,84.24,85.81,79.77,84.20,79.40,75.16,82.62,79.51,82.69,86.49,52.90,77.16,83.97,83.97,33.32,71.41,57.37,82.00,81.15,72.02
x-ar,81.37,80.62,/,77.54,79.22,80.34,80.12,82.24,81.47,81.13,82.99,76.61,82.37,81.63,83.04,82.04,82.56,85.00,82.80,81.61,83.93,45.43,82.06,83.35,79.22,82.97,82.37,76.01,83.65,81.49,80.37,81.61,82.00,81.80,70.43,79.85,82.89,81.25,77.89,81.95,51.42,71.61,81.67,82.06,81.31,81.55,74.26,79.92,77.19,60.49,61.38,80.83,80.95,48.41,81.50,69.53,81.02,82.06,79.91,80.11,81.25,75.79,80.60,82.51,81.09,82.14,70.10,71.38,80.23,64.98,79.70,81.48,81.30,80.04,83.17,82.58,81.74,80.28,82.22,81.69,71.73,74.40,80.77,83.16,79.55,81.44,81.65,73.88,82.10,80.41,81.99,81.99,48.43,82.11,81.31,82.47,47.15,74.57,63.33,82.00,81.33,75.28
ne-x,85.17,81.63,82.51,52.38,74.50,83.45,85.85,88.21,82.84,84.18,86.51,74.70,88.80,82.84,88.41,84.26,85.78,89.00,85.23,88.81,84.50,31.52,88.45,84.76,79.68,85.73,84.20,77.60,83.96,78.23,83.79,85.65,86.60,88.59,75.00,83.73,85.98,87.54,85.92,84.12,34.06,37.28,86.12,78.54,83.77,85.26,31.53,84.12,62.60,26.57,59.59,81.53,88.17,35.99,87.91,75.69,86.92,83.55,83.82,71.28,87.37,71.30,83.38,/,85.81,88.06,65.26,68.12,70.88,38.95,72.30,79.25,87.76,75.08,87.17,87.32,87.07,76.38,88.11,87.56,65.73,77.91,86.45,88.29,83.66,86.75,83.20,78.37,83.82,83.62,85.18,87.78,58.47,79.57,86.00,86.23,43.33,75.32,62.30,84.00,82.73,75.22
x-ne,76.25,70.71,71.54,71.51,73.78,71.43,69.64,74.12,73.64,73.62,75.91,70.61,73.87,73.68,76.65,73.92,71.44,80.00,74.80,73.31,72.83,41.72,72.90,75.49,71.35,75.02,76.10,61.10,72.49,79.33,73.18,71.93,72.22,76.06,63.28,71.89,74.66,72.84,65.90,72.37,46.48,65.13,71.68,68.67,74.13,73.63,61.46,68.69,70.69,53.74,55.03,73.16,72.67,42.46,73.66,64.23,72.21,73.45,71.91,76.46,76.32,69.39,66.56,/,73.95,75.77,46.62,63.65,74.79,55.51,71.11,75.11,73.09,69.83,76.50,74.24,73.04,70.70,74.13,73.19,64.73,65.00,72.93,76.27,71.35,72.55,74.33,64.96,73.54,75.23,73.76,73.33,42.00,73.68,71.43,75.78,41.10,65.33,54.55,73.00,71.72,65.59
