direct,af,am,ar,as,ast,az,be,bg,bn,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,ga,gl,gu,ha,he,hi,hr,hu,hy,id,ig,is,it,ja,jv,ka,kam,kea,kk,km,kn,ko,ku,ky,lb,lg,ln,lo,lt,luo,lv,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ns,ny,oc,om,or,pa,pl,ps,pt,ro,ru,sd,sk,sl,sn,so,sr,sv,sw,ta,te,tg,th,tl,tr,uk,umb,ur,uz,vi,wo,xh,yo,zh,zhtrad,zu
en-x,19.76,0.17,32.39,0.14,16.09,2.50,1.82,7.99,1.33,12.67,25.36,5.84,34.67,5.49,19.57,37.61,31.45,/,30.76,3.67,30.09,1.40,4.67,49.69,2.25,17.89,0.20,2.24,34.02,28.39,11.03,5.57,0.12,43.20,0.94,4.29,33.88,28.87,7.30,0.41,1.92,2.23,2.82,0.67,0.26,24.10,0.19,2.09,4.76,0.92,1.32,1.31,7.47,1.65,2.68,2.77,5.39,0.80,0.57,4.74,23.52,2.36,0.32,6.10,30.78,16.41,1.99,1.23,7.99,0.75,0.21,0.20,25.66,0.66,50.14,40.92,32.79,0.19,13.15,7.82,0.77,3.49,1.17,20.38,1.50,1.02,0.50,1.09,1.34,10.42,30.53,33.25,1.84,0.21,1.74,39.18,2.15,1.34,0.72,26.21,21.57,1.25
x-en,48.21,0.62,42.13,4.63,37.23,13.10,12.67,34.46,10.72,34.97,43.36,19.20,41.84,26.43,44.08,45.72,37.74,/,34.46,17.60,36.97,4.51,21.31,47.32,8.86,40.35,5.68,4.75,43.90,37.09,33.07,23.69,4.42,44.74,4.39,15.98,36.90,29.75,20.88,5.93,4.78,24.60,7.60,2.64,3.65,31.13,7.32,7.88,20.16,4.61,5.78,4.27,24.43,4.40,17.35,6.44,28.21,11.91,3.29,11.75,39.84,14.84,1.29,15.02,35.20,39.87,6.12,5.72,40.27,1.78,3.41,1.48,33.15,4.34,51.34,46.20,38.28,4.23,36.77,25.46,4.91,6.55,27.41,43.53,8.83,14.40,4.69,3.22,16.22,30.93,38.18,41.00,4.00,12.56,6.79,38.17,4.87,5.83,4.02,31.48,29.27,4.31
zh-x,9.83,0.13,20.31,0.15,10.10,2.06,1.38,4.55,0.86,6.70,13.70,2.69,21.27,3.26,10.09,22.21,20.59,31.48,20.86,2.41,20.19,0.64,2.67,29.85,1.27,11.69,0.16,0.86,19.41,18.63,6.11,3.82,0.15,24.45,0.51,2.69,23.01,24.51,4.56,0.26,0.84,0.81,2.08,0.50,0.20,20.12,0.18,1.55,3.06,0.61,0.68,0.57,5.46,0.56,1.79,1.63,2.96,0.50,0.41,3.17,13.34,1.61,0.15,3.79,21.01,8.56,0.93,0.51,4.85,0.35,0.18,0.21,18.07,0.29,27.10,23.60,21.00,0.16,8.53,4.60,0.52,2.07,0.98,10.08,0.86,0.80,0.41,0.78,1.34,5.07,19.58,20.03,0.85,0.43,1.25,27.66,0.99,0.76,0.43,/,25.23,0.74
x-zh,17.76,0.33,21.45,2.70,18.20,9.87,9.62,17.42,6.11,17.48,21.04,10.46,22.18,10.51,19.26,22.83,21.06,26.21,20.85,10.78,20.53,3.49,12.78,23.14,4.84,21.61,3.28,3.20,21.15,19.52,17.23,13.76,2.51,22.22,2.67,9.06,21.57,19.40,11.60,3.93,2.96,12.46,6.69,2.52,2.48,21.10,4.47,6.98,11.15,2.91,4.30,3.73,13.77,2.30,11.27,4.13,13.91,5.64,2.72,9.03,19.44,8.33,0.66,10.10,19.29,17.78,3.50,4.36,17.86,1.38,2.23,0.96,20.47,4.36,23.75,22.35,21.53,3.25,19.47,14.23,3.16,3.54,13.90,19.80,5.79,8.57,2.89,3.24,10.09,14.74,20.59,20.98,2.77,7.67,5.86,21.44,3.69,3.79,2.50,/,10.32,2.87
de-x,14.33,0.13,25.17,0.19,13.42,2.23,1.74,7.02,1.01,10.65,18.76,3.89,29.69,4.51,14.87,/,26.32,45.72,26.63,3.21,24.98,0.84,3.89,40.30,1.83,17.07,0.17,1.62,26.50,22.67,9.44,5.16,0.17,31.00,0.62,3.53,29.04,25.43,5.63,0.37,1.22,1.88,2.43,0.30,0.18,21.73,0.11,2.02,5.23,0.42,1.43,0.96,6.23,1.04,2.17,2.47,4.65,0.64,0.54,3.83,16.53,1.97,0.21,4.89,28.33,13.02,1.27,0.68,6.52,0.50,0.12,0.24,23.20,0.45,36.60,31.94,28.26,0.20,14.07,6.94,0.61,2.45,0.88,15.85,1.15,0.82,0.45,1.01,0.94,7.20,24.52,27.61,1.22,0.26,1.37,32.42,1.35,0.94,0.44,22.83,19.23,0.92
x-de,26.28,0.55,26.96,3.49,24.64,9.65,10.41,23.84,6.90,23.67,28.44,11.30,30.66,13.79,28.29,/,26.48,37.61,26.34,12.03,26.05,3.19,14.46,31.88,5.33,28.06,4.08,3.54,29.51,23.81,22.89,16.88,3.55,28.01,3.25,10.28,27.97,21.56,12.09,4.85,3.08,13.68,6.19,1.71,2.53,22.10,5.26,6.74,22.27,3.24,4.20,3.59,15.69,3.07,11.82,4.22,19.17,7.91,2.74,8.75,24.70,9.93,1.07,10.44,26.00,24.68,4.10,4.37,24.63,1.29,2.73,1.06,24.95,3.77,32.18,31.46,27.78,2.94,26.58,18.63,3.43,4.42,19.29,28.26,5.59,9.94,3.25,2.76,11.74,18.11,26.39,28.88,2.93,8.94,4.95,24.87,3.63,3.63,2.90,22.21,21.37,2.90
ar-x,11.02,0.09,/,0.19,10.65,1.61,1.25,5.17,0.86,8.00,16.01,2.56,24.70,1.79,12.08,26.96,24.49,42.13,24.02,2.20,23.52,0.51,2.81,36.13,0.82,11.94,0.13,0.71,25.40,20.41,7.11,3.50,0.15,29.84,0.29,2.46,25.86,23.41,4.49,0.24,0.85,0.44,1.95,0.10,0.19,19.56,0.15,1.51,2.79,0.17,0.65,0.28,4.89,0.43,1.81,1.89,3.33,0.47,0.40,3.04,14.86,1.44,0.10,4.28,23.02,9.81,0.55,0.46,4.95,0.29,0.18,0.11,19.55,0.19,34.07,29.20,25.33,0.17,9.09,4.78,0.36,1.68,0.98,12.23,0.61,0.75,0.36,0.81,0.93,5.49,21.44,25.43,0.71,0.34,0.96,30.56,0.65,0.57,0.30,21.45,17.82,0.41
x-ar,21.55,0.30,/,2.83,21.22,9.68,10.16,19.85,5.80,19.41,23.90,10.33,23.94,13.52,22.68,25.17,23.28,32.39,22.34,9.96,22.92,2.03,13.17,26.59,4.34,23.66,3.06,1.89,25.84,21.71,19.18,14.05,2.99,24.21,2.46,9.27,24.07,18.79,11.58,4.00,1.99,13.20,5.52,1.39,2.25,18.92,3.24,5.92,11.85,1.94,2.97,2.68,14.30,1.75,10.38,2.76,14.75,7.23,2.16,8.38,21.46,8.84,0.79,9.43,21.30,20.47,2.75,3.01,21.54,1.00,1.71,0.60,20.68,2.17,26.66,26.55,23.12,1.25,20.95,15.54,2.35,3.13,14.23,22.08,5.10,9.39,2.57,1.88,10.67,16.91,21.98,24.12,1.81,6.23,4.84,22.77,2.64,2.64,1.60,20.31,19.59,1.91
ne-x,4.18,0.15,9.43,0.19,5.07,0.74,0.75,2.28,1.33,2.76,4.91,1.49,8.53,1.97,4.01,10.44,10.65,15.02,10.43,1.29,9.15,0.59,1.27,14.20,0.78,4.98,0.20,0.78,8.63,11.66,2.20,2.12,0.09,9.99,0.48,1.40,10.65,12.87,2.41,0.25,0.32,0.55,1.42,0.35,0.27,10.32,0.23,1.43,1.35,0.61,0.64,0.22,2.12,0.76,0.74,1.08,1.33,0.66,0.24,3.84,5.50,1.01,0.09,/,10.12,3.99,0.76,0.59,2.15,0.33,0.48,0.24,7.90,0.35,12.92,10.03,9.16,0.18,3.41,2.09,0.72,1.05,0.49,3.63,0.59,0.44,0.71,0.68,0.65,2.54,8.83,9.68,0.52,0.19,0.80,12.46,0.58,0.42,0.36,10.10,7.74,0.25
x-ne,4.42,0.19,4.28,1.93,4.08,1.31,2.80,4.26,1.78,3.66,4.12,2.38,4.57,1.56,4.35,4.89,4.53,6.10,4.57,1.94,4.33,1.59,2.37,5.03,0.90,4.50,3.31,1.37,4.41,6.34,3.68,3.08,0.43,4.67,1.13,1.88,4.76,3.84,2.16,1.13,1.30,2.91,1.90,0.67,1.09,4.03,0.44,2.03,3.20,1.23,1.57,0.73,2.89,1.49,1.49,0.99,3.65,1.10,1.08,4.04,4.14,1.32,0.09,/,4.64,4.18,1.50,1.28,4.09,0.82,2.12,1.93,4.40,1.59,5.05,4.74,4.50,1.44,4.08,3.37,1.10,0.96,2.91,4.00,1.18,2.58,1.03,1.18,2.29,2.88,4.76,4.60,1.15,2.37,0.66,4.40,1.59,1.41,0.83,3.79,3.45,0.96
