direct,af,am,ar,as,ast,az,be,bg,bn,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,ga,gl,gu,ha,he,hi,hr,hu,hy,id,ig,is,it,ja,jv,ka,kam,kea,kk,km,kn,ko,ku,ky,lb,lg,ln,lo,lt,luo,lv,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ns,ny,oc,om,or,pa,pl,ps,pt,ro,ru,sd,sk,sl,sn,so,sr,sv,sw,ta,te,tg,th,tl,tr,uk,umb,ur,uz,vi,wo,xh,yo,zh,zhtrad,zu
en-x,75.92,33.01,49.06,29.68,72.68,47.52,67.56,79.35,34.47,80.75,84.40,45.90,82.84,46.54,83.80,85.24,47.14,/,84.72,42.97,35.39,33.23,54.21,86.15,47.99,81.24,32.86,43.81,38.07,36.99,81.06,78.93,42.59,68.46,26.22,42.89,85.42,72.80,56.81,39.33,28.80,50.86,55.95,40.78,30.43,65.70,22.61,49.42,49.30,29.32,35.87,50.01,42.01,34.74,42.93,29.70,66.59,44.38,49.41,30.36,65.28,37.57,45.80,32.09,84.37,78.76,28.76,30.61,65.09,29.06,29.88,26.96,82.40,31.98,86.50,84.63,76.24,33.95,62.08,78.18,28.33,41.02,67.64,87.15,44.59,39.94,31.88,24.40,43.75,56.48,48.57,79.84,34.76,36.49,51.00,48.29,34.49,35.89,22.93,85.77,83.62,31.89
x-en,81.97,41.94,69.97,42.57,75.46,61.05,64.27,86.33,44.36,86.13,87.39,52.61,86.70,56.29,88.19,88.53,73.22,/,86.51,66.66,67.70,30.14,75.61,88.57,55.94,84.66,46.11,47.15,52.12,71.50,85.65,85.95,43.99,81.66,28.08,61.34,87.35,83.04,60.12,43.42,30.63,52.47,51.01,39.07,39.55,77.42,39.04,48.43,44.22,29.04,32.16,48.67,65.48,29.05,66.17,34.33,81.67,43.04,46.33,43.84,79.23,43.72,40.56,48.24,86.44,85.52,28.81,29.89,75.59,34.07,40.94,37.51,84.58,42.29,88.35,87.70,85.85,40.55,82.45,83.97,28.46,43.86,86.19,88.96,57.64,43.34,41.29,38.47,44.54,71.13,69.83,86.16,28.41,44.60,57.79,66.74,30.12,37.53,31.38,85.58,83.16,36.81
zh-x,66.06,44.81,51.98,37.64,66.29,51.79,42.98,52.79,48.33,63.10,75.13,49.14,62.30,55.95,73.76,70.29,53.83,85.58,75.86,56.27,57.71,37.60,61.79,77.23,50.73,74.79,43.98,49.15,57.17,46.97,62.92,62.78,50.83,68.94,30.61,53.72,73.64,64.22,55.98,48.06,34.86,48.93,45.85,45.86,45.77,59.26,22.88,42.29,44.72,33.64,37.05,50.90,55.20,34.39,55.06,31.12,49.13,49.31,48.99,40.77,66.84,37.55,43.87,44.02,70.25,70.95,32.73,34.94,63.68,35.82,39.86,38.39,61.54,42.15,73.57,69.70,49.36,42.27,58.59,61.76,34.05,45.63,51.03,73.82,56.49,51.79,46.50,24.32,59.56,59.93,59.54,49.70,33.64,47.79,49.59,63.46,35.22,39.71,26.12,/,75.84,38.18
x-zh,63.16,33.17,50.82,31.96,63.72,59.31,51.03,61.18,36.25,68.67,70.97,47.53,66.72,51.18,66.88,67.12,53.33,85.77,71.71,62.46,50.24,30.97,66.15,72.96,48.12,71.38,40.65,39.14,40.02,37.76,68.77,66.08,33.04,73.99,26.16,54.99,71.51,61.60,52.95,33.78,30.62,48.43,42.27,35.05,33.11,57.94,29.23,40.34,38.05,28.44,31.84,33.15,63.65,29.38,64.42,34.59,58.42,33.18,40.57,34.19,71.24,32.87,32.80,35.28,71.14,65.81,29.46,29.71,65.05,31.62,39.92,29.75,66.70,35.37,70.67,69.18,61.77,31.80,65.54,68.87,28.49,39.87,60.27,70.35,50.70,34.51,32.38,31.95,36.66,62.09,61.02,61.36,26.98,35.03,53.71,62.21,31.07,34.72,26.84,/,63.83,33.46
de-x,71.48,43.70,50.18,36.11,69.29,50.42,47.20,61.32,45.52,71.75,80.46,48.88,76.66,56.13,79.68,/,51.56,88.53,80.59,54.33,53.48,36.60,58.51,83.13,51.00,78.20,41.94,49.16,55.11,44.73,72.84,72.02,48.41,68.18,28.71,51.17,81.90,60.58,54.94,46.13,34.46,49.17,47.71,44.21,44.35,58.56,20.85,42.79,45.37,32.28,34.50,45.88,53.46,34.78,53.10,27.92,52.29,47.60,44.98,38.40,66.66,36.46,40.62,42.31,82.13,75.79,31.12,33.88,61.62,34.98,37.92,38.09,77.59,40.49,82.57,78.27,57.54,41.20,61.17,72.85,32.49,45.03,59.73,83.74,56.48,49.87,44.51,23.21,54.11,60.67,55.99,55.61,33.49,46.41,48.85,59.33,34.31,38.65,24.18,67.12,67.30,36.91
x-de,71.04,30.88,45.48,34.57,66.47,55.89,57.54,79.14,36.74,79.96,79.94,35.78,82.20,51.11,81.51,/,48.21,85.24,80.29,64.50,58.06,20.91,68.32,82.50,47.64,76.80,35.61,38.51,52.61,40.24,79.77,79.17,38.17,72.34,19.49,56.74,81.27,68.86,49.77,37.47,21.07,42.67,43.35,33.49,32.28,64.45,33.20,39.54,39.64,19.97,21.44,35.73,64.34,18.63,64.23,22.02,73.20,34.36,38.28,35.75,68.63,31.68,35.78,40.05,81.73,77.42,19.61,21.18,67.38,28.75,31.54,31.84,80.91,37.06,81.21,81.45,80.23,34.37,77.35,78.76,20.34,37.04,78.64,82.29,50.12,36.29,33.60,30.02,38.69,59.28,60.90,80.00,19.56,37.87,55.50,58.42,20.37,30.36,20.86,70.29,67.34,30.30
ar-x,40.34,30.99,/,32.09,43.54,42.68,38.97,46.71,37.57,55.87,44.85,36.42,56.75,38.57,58.28,45.48,46.61,69.97,48.55,33.60,61.04,36.14,36.02,62.11,37.20,46.88,31.06,36.94,46.81,39.81,56.40,40.25,43.57,53.00,30.62,31.20,64.82,49.33,38.96,38.77,34.41,44.35,39.68,40.18,27.98,41.31,25.52,37.91,41.30,33.32,34.39,37.36,43.08,35.36,42.75,30.88,41.60,40.90,38.71,30.94,53.39,36.85,37.69,37.01,61.24,52.92,32.21,34.47,52.40,34.76,31.39,37.21,43.05,45.24,45.14,61.16,43.06,44.79,34.92,42.90,33.38,35.25,46.26,61.99,36.49,32.59,31.97,24.30,45.21,37.91,34.20,43.40,33.41,46.99,43.35,46.62,34.34,37.22,26.59,50.82,50.67,35.79
x-ar,45.01,36.99,/,30.09,41.73,50.73,44.68,50.24,31.92,50.92,48.36,32.26,50.83,47.53,49.79,50.18,31.38,49.06,48.29,51.22,41.93,27.73,50.30,48.91,40.23,46.97,34.71,36.68,35.39,34.75,51.59,50.38,31.25,47.22,20.54,46.41,49.27,51.77,43.04,31.18,25.53,33.47,40.37,32.80,32.97,49.42,29.12,37.45,28.51,25.29,26.18,31.42,57.99,24.63,59.34,23.12,47.17,32.00,38.77,29.93,46.04,26.53,31.17,31.80,48.84,48.38,24.06,24.89,41.62,31.22,35.84,29.10,49.42,53.78,49.02,50.11,49.83,36.85,50.66,50.37,24.24,38.05,49.62,50.46,45.48,32.25,33.01,31.05,32.79,41.74,52.23,49.90,25.09,37.31,47.31,47.83,26.12,32.34,24.87,51.98,50.58,32.26
ne-x,38.13,32.57,31.80,47.17,40.36,36.97,27.22,34.31,53.17,33.80,41.04,40.25,34.31,34.05,36.59,40.05,31.66,48.24,45.83,33.13,34.65,35.05,35.59,43.21,34.26,37.14,37.28,37.90,33.49,67.28,33.60,35.90,35.91,34.02,36.91,29.96,40.63,35.12,36.53,41.62,33.48,38.89,29.78,30.64,34.41,37.08,31.06,36.83,33.48,34.17,39.94,30.76,31.86,36.67,31.26,39.25,29.30,35.04,33.14,63.71,39.72,39.97,44.18,/,38.18,37.11,34.41,38.71,35.79,36.20,35.37,33.73,35.91,31.66,39.85,33.06,31.33,31.94,31.40,33.66,39.16,42.36,29.09,37.75,36.45,33.56,34.09,30.24,30.88,37.10,32.60,29.54,33.14,45.81,34.77,43.87,35.67,33.10,33.71,35.28,34.80,34.38
x-ne,38.43,33.93,37.01,29.19,32.17,53.23,33.86,42.45,30.04,44.98,40.14,26.69,42.91,36.12,41.84,42.31,32.52,32.09,39.99,49.26,28.96,22.10,47.09,40.36,34.06,38.08,37.29,32.16,32.97,46.49,44.42,43.86,29.16,39.83,15.68,41.54,41.07,44.82,38.52,27.92,21.13,25.72,35.44,31.01,34.50,43.65,25.30,30.92,19.01,20.52,20.84,31.66,50.55,20.75,50.27,17.37,39.59,31.18,28.81,61.02,38.71,21.59,32.57,/,41.02,41.03,20.21,20.86,31.25,28.30,50.02,34.43,41.13,29.08,40.54,41.35,41.94,24.70,44.29,43.97,20.38,34.23,41.97,42.34,42.77,35.95,34.27,27.06,21.97,40.56,50.93,42.15,21.31,28.51,50.01,42.41,21.11,26.48,16.73,44.02,43.30,26.36
