direct,af,am,ar,as,ast,az,be,bg,bn,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,ga,gl,gu,ha,he,hi,hr,hu,hy,id,ig,is,it,ja,jv,ka,kam,kea,kk,km,kn,ko,ku,ky,lb,lg,ln,lo,lt,luo,lv,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ns,ny,oc,om,or,pa,pl,ps,pt,ro,ru,sd,sk,sl,sn,so,sr,sv,sw,ta,te,tg,th,tl,tr,uk,umb,ur,uz,vi,wo,xh,yo,zh,zhtrad,zu
en-x,9.84,0.07,1.17,0.10,14.19,0.43,1.14,20.57,0.11,18.78,35.20,1.19,23.90,0.85,29.99,33.78,2.41,/,26.83,0.45,0.42,1.69,1.87,43.48,1.07,12.34,0.16,0.88,0.50,0.96,17.73,15.99,0.20,5.95,0.55,0.57,27.58,4.29,2.36,0.29,0.61,3.04,0.81,0.73,0.20,3.56,0.12,0.54,4.29,0.76,3.39,0.70,0.31,0.48,0.34,0.38,3.72,0.10,0.18,0.38,4.10,1.01,0.19,0.33,24.99,13.36,2.34,0.72,5.73,0.46,0.13,0.11,18.70,0.19,39.52,29.59,18.66,0.17,6.19,17.33,0.52,1.65,1.73,33.96,0.60,0.12,0.19,0.28,0.23,1.59,0.90,18.23,2.06,0.14,0.55,1.05,2.60,1.29,0.40,24.17,6.54,0.38
x-en,41.23,0.65,12.32,1.14,31.17,2.37,8.57,38.58,2.06,38.11,44.14,6.60,37.69,3.61,45.70,44.27,16.33,/,33.31,3.85,8.32,2.78,14.47,45.23,5.17,36.47,0.65,3.20,9.60,11.41,34.50,32.33,1.40,28.48,1.74,7.30,35.91,20.95,4.78,4.19,2.99,11.27,2.62,3.87,0.60,16.48,0.91,1.99,8.07,3.20,2.56,5.05,3.55,3.12,2.83,2.21,31.62,0.65,1.19,3.01,26.14,5.53,1.07,3.90,33.63,38.67,3.17,3.24,33.88,0.96,0.65,0.59,30.87,2.45,47.42,40.26,35.31,1.19,29.76,29.00,2.46,2.88,40.55,46.14,2.93,0.97,0.94,1.18,3.93,15.28,9.22,38.00,1.84,2.74,1.37,11.29,2.99,2.69,2.02,27.53,23.08,1.89
zh-x,2.96,0.14,0.28,0.15,5.04,0.64,0.19,0.76,0.18,2.99,12.21,1.65,3.46,1.47,6.89,8.58,0.49,27.53,9.89,0.78,0.50,1.27,1.42,17.96,1.34,5.27,0.21,1.28,0.48,0.18,2.86,2.80,0.14,2.20,1.05,1.14,8.43,0.44,1.41,0.26,0.78,1.45,0.42,0.59,0.19,0.67,0.19,0.34,1.59,1.41,1.77,0.78,0.47,1.19,0.56,0.53,0.38,0.14,0.21,0.22,2.41,1.21,0.17,0.57,6.27,3.06,1.81,1.00,3.38,0.42,0.19,0.21,2.13,0.52,6.70,6.91,0.54,0.19,1.57,3.12,1.30,1.47,0.35,5.82,1.62,0.25,0.52,0.18,0.63,1.56,1.93,0.31,0.86,0.12,0.67,1.79,0.96,1.09,0.80,/,4.48,0.89
x-zh,6.25,0.18,0.35,0.14,8.62,0.83,0.96,1.55,0.17,6.31,9.52,2.06,5.23,1.56,5.88,6.18,0.67,24.17,9.40,1.83,0.48,0.69,4.03,11.39,1.44,9.62,0.22,0.59,0.37,0.41,5.89,4.61,0.20,11.46,0.55,1.90,9.39,0.65,1.50,0.33,0.65,3.76,0.80,0.86,0.17,0.62,0.14,0.65,2.35,0.53,0.64,1.10,1.28,0.65,1.15,0.97,1.59,0.10,0.44,0.19,9.11,1.29,0.16,0.46,9.16,5.99,0.63,0.65,8.81,0.21,0.20,0.21,6.11,0.34,9.21,8.00,2.37,0.17,4.40,6.34,0.49,0.72,1.58,8.29,1.11,0.17,0.37,0.36,0.44,4.14,1.94,2.00,0.37,0.18,0.77,2.33,0.88,0.66,0.42,/,2.41,0.44
de-x,5.85,0.17,0.57,0.19,10.66,0.76,0.47,7.31,0.26,10.67,25.26,3.46,16.05,2.13,17.74,/,1.50,44.27,20.64,0.91,0.59,2.08,1.49,32.80,1.66,9.95,0.29,2.52,0.54,0.39,11.20,10.70,0.22,3.81,1.70,0.97,21.15,0.86,2.32,0.41,2.23,2.52,0.97,0.74,0.32,1.88,0.20,0.56,3.33,2.21,2.97,1.32,0.58,1.90,0.64,2.12,1.09,0.15,0.31,0.24,3.70,1.91,0.26,0.67,20.31,9.12,2.47,2.46,4.46,0.67,0.29,0.23,12.82,0.74,25.69,19.14,6.21,0.25,3.55,12.61,1.98,2.00,0.53,23.34,2.45,0.30,0.76,0.28,0.91,2.86,1.57,4.42,1.67,0.19,0.87,2.12,2.20,1.66,1.61,6.18,2.28,1.24
x-de,19.45,0.25,7.78,0.74,18.13,1.95,6.50,21.50,1.19,22.34,25.10,2.70,23.25,2.15,26.02,/,9.88,33.78,21.35,2.73,5.16,1.50,8.22,26.38,2.84,21.61,0.48,2.00,3.84,5.15,20.62,19.57,1.21,14.43,1.18,4.92,22.54,7.16,2.99,2.53,1.77,7.11,1.52,1.79,0.37,5.78,0.60,1.15,9.69,1.85,2.39,2.64,3.00,2.01,2.25,1.17,17.39,0.44,0.89,1.85,13.33,3.12,0.77,2.44,21.60,20.92,1.87,2.07,18.41,0.72,0.33,0.39,19.93,1.71,25.75,24.64,21.44,0.74,18.59,19.61,1.53,1.87,21.95,26.31,2.21,0.76,0.72,0.76,2.63,5.43,5.92,21.83,1.46,1.62,1.11,4.49,2.07,1.57,1.10,8.58,6.73,1.22
ar-x,1.99,0.06,/,0.07,4.01,0.15,0.13,1.31,0.04,2.07,9.81,0.56,2.08,0.91,2.05,7.78,0.30,12.32,8.43,0.46,0.46,0.46,0.64,8.00,0.60,3.34,0.14,0.70,0.36,0.16,1.90,3.52,0.11,0.47,0.41,0.47,6.53,0.16,0.64,0.15,0.47,0.53,0.19,0.24,0.14,0.29,0.22,0.23,0.84,0.43,0.63,0.38,0.11,0.72,0.12,0.25,0.19,0.11,0.15,0.08,0.53,0.22,0.10,0.16,4.97,0.56,0.71,0.50,1.06,0.23,0.07,0.16,4.39,0.30,9.46,4.15,1.07,0.31,1.17,3.76,0.59,0.44,0.16,3.66,0.70,0.17,0.20,0.14,0.17,0.82,0.69,0.57,0.38,0.12,0.31,0.34,0.43,0.39,0.26,0.35,0.26,0.26
x-ar,0.47,0.11,/,0.10,0.51,0.22,0.19,0.38,0.10,0.42,0.52,0.27,0.52,0.35,0.47,0.57,0.40,1.17,0.42,0.27,0.46,0.28,0.28,0.58,0.32,0.42,0.12,0.31,0.51,0.25,0.52,0.41,0.13,0.56,0.19,0.30,0.57,0.28,0.33,0.22,0.23,0.42,0.22,0.15,0.10,0.17,0.29,0.24,0.29,0.24,0.29,0.30,0.23,0.30,0.25,0.23,0.37,0.09,0.23,0.14,0.51,0.27,0.08,0.23,0.55,0.53,0.29,0.25,0.53,0.19,0.12,0.12,0.43,0.28,0.64,0.48,0.38,0.42,0.41,0.47,0.18,0.24,0.33,0.59,0.27,0.15,0.14,0.24,0.21,0.36,0.27,0.39,0.20,0.23,0.28,0.22,0.28,0.27,0.34,0.28,0.24,0.21
ne-x,1.20,0.21,0.23,0.28,1.29,0.61,0.16,0.36,0.52,0.97,2.99,0.74,1.19,1.01,1.25,2.44,0.33,3.90,2.38,0.73,0.41,0.74,0.74,3.77,0.84,1.40,0.35,0.87,0.36,5.91,0.91,1.55,0.16,0.96,0.77,0.70,2.14,0.13,0.91,0.29,0.71,0.77,0.30,0.38,0.69,0.38,0.24,0.25,0.76,0.82,0.97,0.49,0.59,0.90,0.38,0.75,0.26,0.22,0.26,3.79,1.11,0.79,0.14,/,1.93,1.00,0.87,0.91,0.98,0.43,0.57,0.31,1.31,0.43,2.23,1.21,0.44,0.29,0.80,1.07,0.72,0.77,0.22,1.37,0.89,0.40,0.57,0.19,0.39,0.93,1.12,0.21,0.64,0.16,0.59,0.65,0.78,0.61,0.63,0.46,0.28,0.55
x-ne,0.76,0.21,0.16,0.67,0.47,0.45,0.17,0.45,0.89,0.69,0.63,0.51,0.62,0.49,0.74,0.67,0.42,0.33,0.56,0.56,0.41,0.50,0.42,0.65,0.46,0.51,0.25,0.53,0.20,4.05,0.63,0.66,0.17,0.46,0.42,0.50,0.68,0.41,0.51,0.35,0.50,0.48,0.29,0.42,0.32,0.47,0.21,0.40,0.36,0.61,0.54,0.37,0.49,0.56,0.33,0.40,0.43,0.14,0.24,3.02,0.41,0.44,0.13,/,0.67,0.68,0.52,0.47,0.46,0.39,0.32,0.52,0.60,0.43,0.69,0.65,0.46,0.57,0.64,0.60,0.32,0.63,0.45,0.68,0.60,0.31,0.27,0.31,0.29,0.48,0.69,0.47,0.37,0.41,0.37,0.46,0.50,0.40,0.39,0.57,0.33,0.36
