direct,af,am,ar,as,ast,az,be,bg,bn,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,ga,gl,gu,ha,he,hi,hr,hu,hy,id,ig,is,it,ja,jv,ka,kam,kea,kk,km,kn,ko,ku,ky,lb,lg,ln,lo,lt,luo,lv,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ns,ny,oc,om,or,pa,pl,ps,pt,ro,ru,sd,sk,sl,sn,so,sr,sv,sw,ta,te,tg,th,tl,tr,uk,umb,ur,uz,vi,wo,xh,yo,zh,zhtrad,zu
en-x,59.67,35.85,57.08,52.96,53.98,43.11,31.11,42.58,61.02,50.78,76.71,39.80,52.80,47.86,66.15,56.05,42.80,/,82.64,53.70,45.52,32.86,61.78,84.56,43.86,58.12,48.64,40.03,42.22,58.92,48.86,53.62,39.80,89.80,27.99,41.92,65.47,51.21,46.10,40.84,31.20,39.39,34.23,35.64,43.05,47.71,19.40,30.60,37.18,31.62,34.69,41.04,51.43,31.53,51.18,24.63,39.77,50.28,37.30,69.87,54.43,33.85,31.46,58.34,58.16,67.19,27.38,35.12,51.33,32.83,31.48,48.38,52.20,32.12,79.98,55.47,42.25,32.03,53.54,54.98,31.36,36.94,39.69,61.58,56.83,55.99,58.69,18.98,43.58,51.23,46.93,40.31,31.35,47.17,39.53,87.09,32.85,34.09,21.83,78.26,69.99,35.97
x-en,34.77,34.92,50.95,41.23,50.61,33.84,33.26,37.12,40.10,34.29,60.88,34.18,35.11,31.98,37.91,57.43,37.52,/,67.94,34.62,33.20,34.86,34.29,70.68,31.98,58.87,41.15,32.53,36.85,39.56,35.73,33.20,33.37,59.36,35.60,33.52,61.39,41.46,34.33,33.66,35.32,37.20,34.78,34.86,38.11,46.75,35.02,34.91,34.56,35.66,37.22,34.83,33.82,35.07,33.68,34.52,34.27,38.67,33.62,38.69,49.43,34.22,34.06,37.70,39.97,38.39,36.50,36.38,46.39,33.83,38.83,39.13,34.92,32.87,69.11,39.99,54.20,32.80,34.65,33.68,36.93,33.95,34.56,42.15,39.89,38.33,40.32,34.63,35.53,32.64,33.59,37.93,35.66,37.14,33.22,54.01,34.72,34.63,35.81,50.39,46.90,34.36
zh-x,36.04,34.45,31.64,30.43,39.15,33.12,27.49,30.68,32.49,34.97,39.76,36.99,36.18,36.65,38.64,33.69,33.75,50.39,42.91,37.45,31.95,33.25,37.72,44.02,35.99,37.59,31.56,36.27,33.63,28.41,34.31,34.83,33.39,46.53,28.60,35.07,38.84,35.08,36.23,33.22,32.59,36.97,29.73,31.88,30.96,33.60,23.84,29.25,34.81,32.03,32.89,32.76,36.04,31.84,35.92,26.27,30.21,31.01,30.69,28.73,35.17,34.96,30.08,28.94,37.04,37.01,28.90,32.50,38.70,33.53,29.15,28.55,36.57,30.66,37.69,33.71,27.06,29.22,35.45,37.47,31.84,35.29,29.69,36.52,38.21,33.04,30.72,24.09,32.97,36.26,33.47,28.52,33.02,31.30,34.08,46.21,32.91,33.79,24.68,/,38.98,32.87
x-zh,33.58,35.13,36.34,37.42,45.05,33.80,33.01,33.79,36.07,33.71,46.93,34.52,34.37,31.85,34.96,46.57,33.63,78.26,57.99,34.15,32.97,35.10,34.31,64.91,32.37,52.22,37.78,32.63,35.27,34.29,34.80,33.25,33.32,47.25,35.05,32.47,51.18,35.89,34.33,33.78,35.40,36.42,34.79,34.69,34.66,38.74,35.21,34.92,34.35,35.62,36.21,34.87,33.70,35.07,33.58,34.67,33.18,35.94,33.75,35.32,41.51,34.13,34.23,35.96,35.60,35.21,35.66,36.29,40.83,34.04,35.26,35.36,34.07,32.98,55.17,37.89,40.41,32.92,34.01,33.51,36.51,34.16,32.97,38.14,34.37,35.81,37.19,34.66,33.42,32.95,33.58,34.44,35.80,33.82,33.29,37.66,34.86,34.55,34.75,/,38.34,34.25
de-x,40.54,34.43,36.40,34.22,40.85,36.90,29.52,35.22,40.67,40.56,45.98,36.83,44.91,42.38,46.79,/,38.30,57.43,53.45,43.74,35.73,32.23,45.02,56.07,39.33,42.56,35.91,36.57,38.21,33.77,42.47,43.71,35.36,58.05,28.39,38.04,46.50,41.65,38.57,34.80,31.53,36.80,31.65,32.98,32.61,39.18,21.98,29.71,36.04,31.13,31.69,36.69,41.66,30.54,40.13,24.94,34.25,34.97,32.84,34.48,40.46,33.96,30.04,34.30,45.76,45.74,27.53,31.55,42.40,32.32,29.49,32.18,43.10,30.81,46.78,38.10,33.04,30.19,43.59,44.33,30.69,35.66,32.52,43.56,43.32,37.88,36.67,22.23,37.29,40.03,36.79,32.76,31.48,35.49,36.50,55.13,31.73,33.24,23.18,46.57,40.60,32.23
x-de,30.27,31.92,31.45,33.25,37.30,30.49,29.77,30.81,32.37,30.12,36.70,30.98,30.72,28.44,31.42,/,30.60,56.05,40.79,30.68,29.75,31.58,30.99,39.63,28.63,42.94,34.52,29.15,31.19,31.16,31.27,29.57,30.13,35.94,31.78,29.03,42.59,33.02,30.49,30.58,32.10,32.71,31.60,31.51,31.67,34.73,32.15,31.74,30.86,32.14,32.84,31.67,30.03,31.88,30.35,31.55,29.75,32.57,30.58,31.81,34.02,30.73,31.04,32.51,31.43,31.80,32.51,32.69,35.26,30.73,32.69,32.55,30.38,29.67,39.84,32.85,35.25,29.72,30.53,29.78,33.05,30.74,29.90,33.52,30.63,31.96,33.64,31.62,28.98,29.51,30.26,30.74,32.56,30.37,30.01,33.82,31.30,30.86,31.31,33.69,33.12,30.74
ar-x,34.10,33.80,/,30.29,37.34,32.24,26.79,28.83,31.44,33.07,36.16,36.30,32.54,34.46,35.42,31.45,32.32,50.95,38.63,35.46,30.58,32.63,35.71,39.93,34.17,35.46,30.95,35.36,32.46,27.15,32.74,33.08,32.63,42.26,28.11,33.68,35.60,33.11,35.09,31.88,32.04,36.42,28.79,30.91,30.30,31.77,23.44,28.44,33.74,31.58,32.22,30.66,34.06,31.22,34.28,25.70,28.89,29.89,29.73,27.98,33.28,34.27,29.43,28.74,32.86,34.53,28.34,31.90,36.72,33.01,28.26,27.95,33.98,29.96,35.75,31.83,26.44,28.37,32.59,34.99,31.32,34.39,28.04,33.50,37.01,31.99,29.97,23.58,31.03,34.98,32.20,27.19,32.56,37.89,33.06,42.80,32.35,33.14,24.21,36.34,36.19,32.30
x-ar,29.99,32.98,/,33.60,33.42,31.45,30.74,30.99,32.31,30.68,32.35,32.02,31.28,29.29,30.58,36.40,30.85,57.08,31.96,31.30,30.69,32.49,31.80,32.65,29.59,37.12,34.15,30.12,33.36,31.21,31.90,30.37,31.18,32.43,32.52,29.38,39.34,32.34,31.17,31.62,32.97,33.08,32.53,32.48,32.24,34.18,33.16,32.71,31.62,33.15,33.39,32.63,30.65,32.93,31.13,32.54,30.56,32.68,31.53,31.52,31.95,31.59,32.05,33.06,30.22,30.71,33.14,33.44,33.65,31.79,32.72,32.90,30.57,30.75,32.59,32.60,33.06,30.68,31.21,30.45,33.82,31.83,30.54,32.96,30.45,32.12,34.00,32.61,31.08,30.55,31.04,31.13,33.56,30.85,30.97,31.33,32.17,31.57,31.95,31.64,31.69,31.64
ne-x,36.14,36.23,33.06,32.06,39.47,34.54,29.08,31.00,33.45,35.16,36.70,38.88,34.32,36.63,35.89,32.51,34.60,37.70,37.77,37.61,32.67,35.04,36.59,35.53,36.56,37.48,32.95,37.95,34.69,29.08,35.01,35.09,34.99,36.77,30.43,36.01,36.48,34.68,37.44,34.19,34.46,39.08,31.08,33.33,32.72,33.83,25.66,30.78,35.99,33.99,34.53,33.02,36.20,33.66,36.38,27.93,31.14,31.91,32.01,28.86,35.47,36.84,31.76,/,34.47,35.82,30.60,34.25,39.05,35.54,30.56,29.86,36.00,32.41,36.47,33.45,28.02,30.64,34.45,36.32,33.75,36.98,30.14,34.90,39.05,34.14,32.12,25.83,33.05,37.41,33.99,29.36,35.01,31.20,35.48,34.01,34.73,35.57,26.47,35.96,36.41,34.77
x-ne,27.23,30.16,28.74,29.85,33.81,28.59,27.91,28.03,29.24,28.13,28.42,29.12,28.39,26.50,27.84,34.30,27.96,58.34,42.81,28.39,27.89,29.79,28.96,36.47,26.75,37.62,30.93,27.36,28.98,28.96,28.36,27.33,28.35,29.01,29.82,26.57,35.93,29.38,28.27,28.81,30.22,30.21,29.76,29.63,29.46,30.03,30.47,29.84,28.75,30.42,30.69,29.86,27.90,30.20,28.30,29.84,27.66,29.55,28.68,28.41,28.82,28.85,29.27,/,28.04,27.94,30.60,30.82,29.98,28.93,29.89,30.16,27.99,27.96,41.78,28.97,29.73,27.86,28.27,27.75,31.03,28.96,27.77,29.31,27.33,29.03,30.67,29.92,28.61,27.67,28.48,28.25,30.71,28.03,28.19,28.21,29.55,28.74,29.33,28.94,28.80,28.76
