direct,af,am,ar,as,ast,az,be,bg,bn,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,ga,gl,gu,ha,he,hi,hr,hu,hy,id,ig,is,it,ja,jv,ka,kam,kea,kk,km,kn,ko,ku,ky,lb,lg,ln,lo,lt,luo,lv,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ns,ny,oc,om,or,pa,pl,ps,pt,ro,ru,sd,sk,sl,sn,so,sr,sv,sw,ta,te,tg,th,tl,tr,uk,umb,ur,uz,vi,wo,xh,yo,zh,zhtrad,zu
en-x,79.45,32.17,72.34,39.71,72.70,50.91,57.31,87.44,48.66,86.97,86.33,57.27,87.03,48.66,88.33,85.09,68.78,/,84.97,54.58,62.21,26.60,87.54,86.55,48.09,81.14,43.52,35.66,58.54,63.23,86.42,85.13,35.69,89.03,29.17,47.92,86.42,88.85,74.63,38.88,31.57,49.13,46.70,30.44,36.77,86.41,37.50,38.50,48.50,30.58,35.17,31.04,46.77,30.46,45.17,46.79,76.36,36.99,30.22,42.33,84.97,50.13,28.97,51.85,85.50,87.83,29.06,32.28,68.66,32.69,33.90,33.20,86.11,28.95,87.97,87.04,86.85,36.59,75.50,83.89,30.59,36.99,76.04,88.50,44.17,36.85,37.50,39.53,55.80,73.32,71.46,87.50,34.08,53.70,39.12,86.38,28.20,32.32,28.30,85.12,83.55,31.12
x-en,85.24,49.89,79.85,59.12,78.99,70.25,72.34,86.25,71.08,86.77,87.16,69.07,86.68,67.09,88.45,87.85,81.16,/,85.22,74.28,79.85,45.12,88.36,87.67,67.26,84.99,54.18,49.94,74.71,83.37,86.09,86.43,56.71,88.16,45.60,68.30,86.06,86.77,67.76,64.20,46.69,65.70,59.75,56.51,48.74,86.80,46.54,57.89,64.80,46.67,48.26,50.25,67.42,45.40,68.86,54.48,83.18,55.88,51.87,69.23,86.07,64.57,50.86,76.07,85.91,87.63,46.89,49.28,79.61,45.97,47.82,50.92,84.31,57.85,88.38,87.84,84.88,55.26,84.62,85.70,48.31,49.93,86.31,89.21,62.31,57.12,51.23,47.86,75.77,81.91,83.23,85.73,44.98,74.29,60.10,85.71,47.00,50.83,45.33,85.23,84.95,50.08
zh-x,69.67,30.19,67.58,34.25,70.47,42.08,47.89,82.97,42.48,83.02,82.87,51.46,81.66,44.83,82.60,79.55,63.48,85.23,82.28,51.27,57.67,30.50,82.00,81.37,48.01,77.81,35.64,37.36,53.51,54.55,80.95,80.24,34.06,84.88,31.68,44.18,82.90,86.35,68.15,35.10,34.71,41.21,34.52,29.92,33.12,84.63,32.19,29.12,42.75,32.46,32.86,30.53,46.85,31.67,44.85,42.83,70.46,35.46,28.37,38.03,78.30,45.17,29.39,45.19,80.54,81.49,32.14,33.52,66.43,33.85,32.17,29.93,80.46,27.39,83.48,81.58,84.18,36.32,67.55,75.65,33.53,38.13,68.63,81.61,46.13,37.94,32.68,39.30,49.19,65.81,64.56,84.10,32.64,47.46,36.16,84.42,30.45,34.61,30.16,/,90.85,34.77
x-zh,77.23,41.37,73.85,54.01,75.64,65.76,69.93,81.21,64.32,81.37,82.48,65.04,81.89,60.76,82.77,83.23,74.65,85.12,83.01,67.95,74.40,44.41,82.38,83.22,60.63,80.36,46.57,46.38,66.54,75.00,81.54,81.74,52.94,82.04,43.96,64.18,83.03,82.85,63.57,59.64,45.87,64.31,56.92,49.63,43.51,82.54,45.23,55.34,62.96,46.98,46.07,46.37,64.09,43.24,64.79,52.45,77.86,49.18,49.56,63.32,79.50,61.13,42.60,69.36,81.71,81.66,46.61,48.49,75.54,41.61,41.07,44.15,81.08,53.63,83.16,82.11,82.05,50.65,79.68,81.06,47.22,47.63,81.30,82.94,57.64,50.33,43.81,47.44,70.74,75.26,75.52,81.43,44.03,66.15,55.54,82.98,45.82,49.62,43.90,/,90.07,47.32
de-x,75.61,30.07,67.98,35.16,69.03,44.37,49.31,85.67,41.60,85.39,82.88,49.66,86.61,44.60,86.38,/,65.70,87.85,82.41,52.07,59.70,28.47,84.45,83.47,47.46,77.12,39.05,38.19,55.92,55.82,85.38,82.85,33.08,85.70,30.56,46.74,84.35,86.09,69.06,35.73,31.11,41.57,37.71,27.65,33.71,82.19,34.71,30.61,49.69,30.11,32.14,29.65,46.28,29.02,43.36,42.23,74.15,33.72,27.95,37.80,79.68,46.91,28.34,44.80,84.65,85.57,29.77,32.82,64.68,33.33,31.94,31.22,84.87,28.73,84.55,84.74,85.77,36.35,73.81,83.73,31.74,36.58,76.71,86.70,45.44,34.71,33.53,38.36,49.85,67.83,65.08,85.71,29.79,48.88,36.70,83.96,28.90,34.41,28.40,83.23,81.80,33.24
x-de,75.80,42.39,73.50,52.38,73.05,64.13,68.24,81.16,63.40,82.18,81.10,62.72,83.73,59.64,83.24,/,74.85,85.09,79.38,68.80,73.04,39.19,82.96,82.10,60.41,79.15,46.70,44.60,68.85,74.69,81.88,80.85,52.12,80.97,40.89,63.05,81.36,81.15,61.82,58.64,41.07,59.84,55.03,49.81,42.83,80.10,41.57,52.80,61.45,40.57,40.68,44.27,63.35,37.94,64.45,49.92,77.43,49.90,46.69,61.70,78.69,59.59,42.43,67.93,82.55,81.54,42.02,43.55,72.62,38.83,41.78,43.08,81.42,52.00,81.22,82.90,80.54,48.13,81.44,82.27,41.77,43.50,81.26,83.69,55.79,50.74,44.31,43.89,69.48,74.07,74.97,81.00,39.45,66.42,55.58,80.40,39.43,44.72,41.08,79.55,79.50,42.86
ar-x,64.04,27.23,/,32.08,63.53,36.09,46.48,77.55,35.04,75.67,75.80,48.55,76.34,38.51,77.09,73.50,61.50,79.85,75.20,46.43,61.75,39.38,75.75,74.40,41.61,69.50,32.79,34.81,51.56,48.65,75.89,73.73,31.12,77.08,31.42,39.12,76.23,77.72,55.25,30.94,34.61,37.04,32.42,26.57,29.80,74.74,31.84,28.78,39.69,34.49,34.92,30.00,39.03,34.13,37.82,42.56,66.37,31.45,27.00,36.55,73.11,47.43,28.02,39.88,74.16,76.40,34.56,33.83,61.94,38.46,28.87,28.04,75.79,46.07,76.63,75.38,77.52,46.10,65.57,72.15,33.53,35.44,64.98,76.92,37.76,31.61,30.30,39.39,46.14,61.04,54.51,77.78,31.73,54.70,34.42,76.60,36.56,32.46,30.67,73.85,72.68,31.47
x-ar,62.19,34.75,/,39.47,62.28,46.19,55.85,69.73,48.27,67.91,69.71,52.63,67.93,50.57,68.61,67.98,64.91,72.34,70.17,53.09,69.84,33.54,68.22,70.67,51.10,66.70,37.31,32.85,58.48,58.33,67.18,65.98,42.66,68.92,33.65,51.10,69.00,67.61,41.99,46.32,33.74,44.90,40.47,41.97,36.10,66.16,30.96,39.08,49.08,34.32,33.84,38.78,49.19,33.82,49.16,44.65,64.27,39.45,37.15,45.71,66.72,48.86,35.90,51.05,67.06,68.66,35.03,35.38,62.06,34.53,34.81,35.44,66.96,54.02,70.85,69.70,68.67,53.30,66.31,66.57,35.21,35.13,67.75,69.43,43.25,41.83,36.66,35.26,59.02,63.86,59.72,69.60,35.13,57.57,37.70,69.02,34.08,35.79,33.63,67.58,67.60,34.78
ne-x,45.69,30.70,51.05,46.74,60.89,38.27,57.20,69.51,48.00,60.23,71.58,50.98,61.31,36.44,70.53,67.93,56.95,76.07,71.23,41.38,44.18,46.79,65.75,69.56,43.60,64.59,60.79,39.78,46.74,68.25,62.85,66.39,36.38,71.87,36.63,38.22,70.98,72.25,58.61,35.30,30.82,44.13,44.02,30.01,46.97,69.17,44.98,38.21,44.69,38.64,41.42,32.48,34.71,46.41,33.34,44.83,57.55,43.84,29.72,63.35,63.41,47.25,31.89,/,70.84,68.96,41.10,41.23,58.65,40.28,57.70,51.69,65.43,39.78,71.46,68.45,70.48,47.97,52.32,54.64,45.39,39.93,63.90,68.90,39.11,40.36,45.95,48.67,37.68,58.24,45.66,69.98,40.47,43.83,38.09,72.28,40.83,36.44,35.38,69.36,68.81,34.02
x-ne,45.57,25.63,39.88,42.34,43.27,36.70,37.70,46.47,42.13,48.04,47.13,39.25,45.01,34.06,47.04,44.80,41.27,51.85,45.10,38.84,42.47,28.72,46.96,44.71,35.57,45.44,44.04,27.60,36.84,69.74,45.57,45.11,32.31,47.35,29.29,34.84,44.88,47.52,31.37,34.81,29.80,34.41,31.34,30.37,34.91,44.85,30.01,30.84,35.87,29.49,30.49,37.36,34.98,29.13,35.88,32.52,41.76,34.37,29.15,62.94,47.80,38.07,27.56,/,45.87,46.80,29.66,30.41,42.56,28.35,43.10,42.26,43.27,30.09,46.60,45.68,44.83,32.28,45.72,45.46,29.61,29.18,44.50,46.83,32.03,32.09,35.84,29.68,39.33,44.19,43.85,45.03,29.43,46.84,30.28,46.87,29.86,29.15,28.83,45.19,45.55,28.57
az-x,60.10,35.26,46.19,37.23,56.89,/,53.80,67.13,37.28,64.89,66.02,47.98,66.54,51.23,67.24,64.13,52.78,70.25,65.82,63.92,40.15,35.87,67.85,64.67,50.00,61.63,43.05,53.46,40.82,41.62,65.72,62.51,39.38,68.77,28.96,52.75,67.30,68.88,59.10,37.58,33.83,47.48,48.76,32.41,40.91,64.64,30.34,45.95,41.67,32.71,34.72,42.57,60.74,32.68,61.37,31.93,56.47,39.67,39.57,36.00,64.60,43.82,33.49,36.70,65.96,67.39,29.90,33.45,55.27,43.43,40.18,38.60,68.63,38.84,66.91,66.59,69.07,44.54,60.85,63.54,33.04,52.44,60.54,67.32,54.73,42.21,41.07,46.63,40.46,54.65,79.65,66.65,32.77,38.81,62.06,66.96,33.87,40.36,25.11,65.76,64.91,37.54
x-az,47.76,29.16,36.09,32.34,45.94,/,40.32,46.54,36.77,52.37,48.69,42.13,46.61,41.52,48.08,44.37,42.83,50.91,44.44,55.80,39.95,29.45,50.14,45.48,38.89,50.32,34.07,38.90,35.50,41.86,49.20,48.14,34.25,50.55,27.22,44.19,43.80,45.31,46.56,35.74,29.29,38.83,62.60,33.37,32.76,41.53,31.13,57.61,34.90,29.20,28.10,33.52,54.24,28.05,57.32,33.62,48.13,33.28,52.73,34.00,50.78,36.14,32.41,38.27,46.18,47.84,28.16,29.15,45.86,35.68,32.02,32.57,44.36,34.11,48.40,47.04,43.14,34.44,51.27,48.10,28.53,39.56,47.25,46.93,42.69,33.89,33.52,30.62,36.78,44.78,79.51,45.31,27.35,38.12,69.73,46.46,28.97,29.84,28.71,42.08,42.32,33.67
ceb-x,53.80,30.51,52.63,34.02,56.76,42.13,57.04,67.82,37.78,60.77,64.50,/,63.14,38.98,65.83,62.72,55.39,69.07,64.70,39.36,45.28,39.39,63.67,63.02,39.71,59.78,40.68,41.30,44.37,44.94,60.12,63.60,33.61,68.67,32.99,42.55,65.98,69.48,57.32,36.18,40.61,49.25,48.73,29.08,35.22,65.59,34.20,45.27,41.17,40.09,36.24,31.43,35.84,41.98,35.66,36.77,60.38,34.98,30.50,38.95,63.50,47.49,30.10,39.25,65.16,65.22,37.43,39.65,51.91,31.67,33.55,32.10,63.31,32.41,65.67,62.86,68.71,29.09,54.26,58.25,36.77,38.95,59.97,65.77,42.49,34.13,34.42,38.27,42.35,58.81,45.33,68.60,38.59,38.65,41.85,66.21,41.21,36.18,29.45,65.04,64.37,33.68
x-ceb,51.90,38.48,48.55,43.32,52.08,47.98,51.24,55.17,47.42,52.27,55.14,/,52.62,47.27,52.11,49.66,53.81,57.27,53.92,50.59,48.59,43.43,54.67,53.08,48.85,55.51,46.27,48.52,48.39,51.16,49.97,49.41,43.21,56.17,42.28,46.57,54.92,49.85,58.48,46.22,44.04,51.02,46.42,41.53,43.21,48.21,41.73,45.52,41.15,43.77,46.07,41.09,50.42,43.54,50.29,45.62,55.69,43.45,42.36,47.30,56.40,48.22,40.48,50.98,51.76,52.24,42.01,44.94,51.42,43.81,43.89,44.72,50.11,44.24,54.57,51.73,52.34,42.93,53.66,51.51,42.61,46.20,53.25,51.28,51.90,42.21,45.05,42.32,47.93,66.93,48.85,54.08,41.00,45.09,48.81,50.08,43.80,45.10,39.56,51.46,52.24,44.66
