direct,af,am,ar,as,ast,az,be,bg,bn,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,ga,gl,gu,ha,he,hi,hr,hu,hy,id,ig,is,it,ja,jv,ka,kam,kea,kk,km,kn,ko,ku,ky,lb,lg,ln,lo,lt,luo,lv,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ns,ny,oc,om,or,pa,pl,ps,pt,ro,ru,sd,sk,sl,sn,so,sr,sv,sw,ta,te,tg,th,tl,tr,uk,umb,ur,uz,vi,wo,xh,yo,zh,zhtrad,zu
en-x,0.27,0.04,0.03,0.06,0.24,0.08,0.01,0.13,0.08,0.65,2.02,0.14,0.61,0.34,0.61,0.53,0.12,/,0.18,0.20,0.16,0.33,0.18,0.93,0.19,0.49,0.08,0.15,0.02,0.25,0.19,0.70,0.03,0.34,0.20,0.34,0.40,0.08,0.13,0.14,0.40,0.15,0.06,0.05,0.17,0.19,0.04,0.02,0.20,0.36,0.04,0.10,0.06,0.05,0.06,0.30,0.13,0.02,0.01,0.05,0.12,0.19,0.04,0.10,0.71,0.93,0.06,0.39,0.21,0.07,0.06,0.03,0.09,0.12,1.20,0.56,0.19,0.05,0.13,0.27,0.39,0.33,0.02,0.43,0.11,0.10,0.25,0.08,0.06,0.27,0.12,0.06,0.26,0.03,0.04,0.83,0.31,0.10,0.27,0.18,0.19,0.22
x-en,0.97,0.14,1.17,0.17,2.25,0.27,0.25,3.11,0.71,0.49,2.19,1.45,0.48,0.26,0.61,0.34,1.04,/,1.43,0.83,0.79,0.69,0.55,0.53,0.71,0.93,0.18,0.23,1.53,0.54,0.87,0.90,0.63,2.25,0.48,0.65,1.10,0.78,0.43,0.39,0.83,0.37,0.29,0.15,0.28,1.80,0.10,0.35,0.75,0.32,0.11,0.61,0.10,0.86,0.48,0.06,0.44,0.19,0.33,0.52,0.93,0.42,0.20,0.17,0.38,0.42,1.08,0.42,0.20,0.07,0.53,0.34,0.75,0.32,1.99,1.25,1.64,0.49,0.71,1.14,0.78,0.57,0.21,1.63,1.33,0.38,0.39,0.13,0.11,2.20,0.15,2.16,0.51,0.78,0.09,0.49,0.78,0.60,0.47,2.68,3.42,0.13
zh-x,0.46,0.04,0.05,0.02,0.33,0.02,0.01,0.30,0.15,0.44,0.87,0.08,0.61,0.09,0.11,0.19,0.08,2.68,0.30,0.08,0.22,0.35,0.48,0.78,0.17,0.39,0.08,0.23,0.09,0.14,0.38,0.62,0.04,0.55,0.34,0.05,0.17,0.50,0.10,0.14,0.18,0.08,0.10,0.14,0.12,0.40,0.00,0.04,0.07,0.07,0.08,0.27,0.13,0.23,0.19,0.09,0.09,0.00,0.04,0.01,0.27,0.08,0.04,0.04,0.20,0.14,0.16,0.38,0.04,0.01,0.06,0.05,0.08,0.18,0.17,0.79,0.07,0.05,0.45,0.56,0.06,0.12,0.03,0.48,0.55,0.07,0.09,0.03,0.01,0.27,0.13,0.09,0.32,0.03,0.03,0.39,0.29,0.04,0.33,/,2.61,0.13
x-zh,0.14,0.09,0.09,0.07,0.15,0.23,0.01,0.04,0.11,0.06,0.16,0.01,0.01,0.14,0.03,0.06,0.43,0.18,0.15,0.08,0.18,0.13,0.21,0.06,0.14,0.18,0.20,0.12,0.20,0.13,0.16,0.37,0.07,0.07,0.16,0.16,0.15,0.59,0.13,0.11,0.13,0.20,0.27,0.69,0.24,2.48,0.01,0.44,0.16,0.14,0.16,0.86,0.15,0.13,0.14,0.14,0.28,0.04,0.07,0.09,0.10,0.04,0.15,0.54,0.05,0.04,0.11,0.14,0.17,0.08,0.17,0.11,0.04,0.15,0.06,0.04,0.65,0.09,0.11,0.05,0.17,0.13,0.22,0.03,0.13,0.14,0.36,0.02,0.19,0.13,0.20,0.46,0.11,0.11,0.05,0.28,0.07,0.19,0.13,/,3.11,0.21
de-x,0.08,0.00,0.06,0.00,0.06,0.05,0.01,0.02,0.01,0.22,0.36,0.07,0.34,0.06,0.41,/,0.12,0.34,0.10,0.08,0.03,0.06,0.11,0.27,0.29,0.36,0.02,0.09,0.05,0.02,0.48,0.10,0.00,0.11,0.07,0.07,0.09,0.01,0.05,0.01,0.05,0.04,0.05,0.05,0.01,0.05,0.02,0.02,0.52,0.06,0.08,0.12,0.04,0.29,0.01,0.09,0.03,0.01,0.01,0.01,0.05,0.07,0.01,0.06,0.51,0.20,0.07,0.22,0.08,0.02,0.05,0.04,0.07,0.02,0.06,0.13,0.02,0.01,0.07,0.10,0.28,0.04,0.01,0.70,0.11,0.04,0.02,0.02,0.02,0.08,0.06,0.02,0.10,0.00,0.02,0.32,0.10,0.03,0.06,0.06,0.04,0.04
x-de,0.16,0.03,0.18,0.24,0.59,0.10,0.02,0.21,0.02,0.07,0.07,0.13,0.11,0.42,0.14,/,0.30,0.53,0.49,0.10,0.43,0.36,0.20,0.14,0.43,0.36,0.09,0.35,1.00,0.13,0.15,0.43,0.21,0.18,0.24,0.43,0.32,0.48,0.30,0.09,0.38,0.32,0.26,0.39,0.04,0.54,0.04,0.29,0.25,0.43,0.22,0.37,0.07,0.08,0.19,0.36,0.23,0.01,0.04,0.05,0.17,0.08,0.14,0.21,0.18,0.17,0.25,0.42,0.40,0.19,0.08,0.03,0.27,0.11,0.09,0.44,0.71,0.02,0.29,0.11,0.40,0.49,0.35,0.62,0.09,0.02,0.41,0.05,0.09,0.44,0.13,0.71,0.23,0.20,0.27,0.16,0.23,0.29,0.12,0.19,0.51,0.31
ar-x,0.10,0.01,/,0.00,0.01,0.08,0.00,0.06,0.01,0.43,0.32,0.10,0.19,0.05,0.23,0.18,0.01,1.17,0.36,0.09,0.29,0.03,0.20,0.25,0.05,0.07,0.00,0.13,0.02,0.02,0.29,0.68,0.00,0.26,0.06,0.01,0.27,0.00,0.02,0.00,0.04,0.02,0.09,0.02,0.00,0.03,0.03,0.05,0.01,0.02,0.01,0.04,0.01,0.05,0.01,0.04,0.04,0.01,0.00,0.01,0.11,0.02,0.00,0.02,0.25,0.34,0.06,0.04,0.02,0.00,0.00,0.01,0.15,0.09,0.40,0.47,0.05,0.01,0.13,0.04,0.05,0.06,0.00,0.81,0.04,0.02,0.00,0.02,0.01,0.07,0.10,0.16,0.00,0.02,0.09,0.50,0.01,0.07,0.00,0.09,0.28,0.02
x-ar,0.04,0.09,/,0.08,0.03,0.12,0.00,0.02,0.04,0.01,0.07,0.01,0.01,0.08,0.02,0.06,0.02,0.03,0.03,0.04,0.34,0.04,0.08,0.04,0.06,0.01,0.05,0.04,0.19,0.03,0.02,0.03,0.03,0.03,0.06,0.06,0.02,0.12,0.04,0.13,0.05,0.05,0.14,0.11,0.07,0.13,0.20,0.05,0.01,0.05,0.07,0.18,0.02,0.04,0.04,0.03,0.00,0.03,0.08,0.02,0.02,0.03,0.05,0.08,0.02,0.05,0.06,0.06,0.02,0.04,0.15,0.12,0.03,0.17,0.06,0.03,0.01,0.25,0.06,0.02,0.05,0.06,0.01,0.06,0.08,0.13,0.17,0.08,0.01,0.04,0.03,0.01,0.05,0.10,0.04,0.11,0.05,0.04,0.05,0.05,0.10,0.05
ne-x,0.02,0.05,0.08,0.32,0.09,0.10,0.00,0.11,0.36,0.08,0.54,0.26,0.04,0.09,0.30,0.21,0.13,0.17,0.32,0.17,0.16,0.35,0.15,0.28,0.14,0.21,0.64,0.09,0.13,2.18,0.05,0.02,0.02,0.01,0.01,0.17,0.20,0.10,0.08,0.04,0.02,0.10,0.03,0.03,0.37,0.31,0.01,0.05,0.03,0.07,0.30,0.24,0.02,0.47,0.10,0.22,0.08,0.13,0.10,2.42,0.41,0.10,0.05,/,0.07,0.12,0.27,0.35,0.18,0.00,0.19,0.93,0.06,0.11,0.55,0.08,0.06,0.14,0.19,0.03,0.19,0.33,0.07,0.10,0.16,0.20,0.56,0.06,0.03,0.26,0.18,0.09,0.12,0.02,0.08,0.51,0.06,0.25,0.02,0.54,0.29,0.06
x-ne,0.09,0.14,0.02,0.17,0.04,0.08,0.00,0.01,0.16,0.01,0.03,0.05,0.01,0.15,0.02,0.06,0.00,0.10,0.02,0.07,0.06,0.02,0.15,0.00,0.14,0.03,0.44,0.12,0.10,3.04,0.02,0.13,0.14,0.01,0.15,0.07,0.04,0.13,0.14,0.01,0.14,0.07,0.04,0.26,0.54,0.01,0.02,0.03,0.06,0.08,0.11,0.44,0.03,0.13,0.07,0.12,0.00,0.10,0.17,2.80,0.06,0.04,0.15,/,0.06,0.00,0.11,0.14,0.07,0.09,0.45,0.33,0.01,0.00,0.00,0.09,0.04,0.07,0.02,0.05,0.11,0.15,0.01,0.02,0.08,0.24,0.41,0.03,0.01,0.06,0.12,0.02,0.05,0.03,0.03,0.02,0.04,0.09,0.03,0.04,0.07,0.10
