direct,af,am,ar,as,ast,az,be,bg,bn,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,ga,gl,gu,ha,he,hi,hr,hu,hy,id,ig,is,it,ja,jv,ka,kam,kea,kk,km,kn,ko,ku,ky,lb,lg,ln,lo,lt,luo,lv,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ns,ny,oc,om,or,pa,pl,ps,pt,ro,ru,sd,sk,sl,sn,so,sr,sv,sw,ta,te,tg,th,tl,tr,uk,umb,ur,uz,vi,wo,xh,yo,zh,zhtrad,zu
en-x,38.34,1.75,20.59,6.51,26.75,10.39,15.10,31.50,22.40,25.68,38.63,11.99,30.32,24.66,38.01,35.69,23.68,/,28.01,18.96,23.29,0.67,22.29,44.99,13.77,32.27,16.11,2.98,28.28,26.15,24.92,24.92,21.10,38.23,3.41,13.68,30.75,25.04,7.65,14.93,2.08,2.74,11.49,3.95,15.93,21.15,0.07,7.68,18.04,0.74,1.03,1.32,17.31,2.22,18.56,5.89,28.20,15.58,3.34,7.97,33.75,22.44,6.10,11.25,28.32,29.60,1.06,0.84,26.08,0.39,11.06,18.52,22.91,3.12,45.44,34.76,30.23,4.74,24.25,22.68,0.69,1.31,5.06,39.93,16.78,14.47,18.70,7.84,21.31,23.80,22.50,29.03,0.99,11.70,14.34,35.58,0.75,1.18,1.59,25.10,19.32,0.91
x-en,51.09,5.41,35.71,18.18,37.94,20.25,20.23,37.82,27.60,40.25,43.81,29.36,38.31,43.19,46.22,42.41,34.07,/,30.88,31.47,32.99,3.10,33.08,43.51,28.07,38.99,25.24,17.51,38.24,33.84,35.95,32.77,32.26,40.89,11.59,26.91,34.16,26.04,26.86,22.99,3.94,23.50,24.44,17.11,23.64,27.10,18.06,16.92,34.32,5.98,6.11,9.38,28.82,3.81,29.53,13.63,38.20,24.45,13.45,25.75,40.65,39.12,11.04,26.34,32.53,42.33,6.77,7.15,46.49,1.81,20.48,26.15,30.27,20.27,47.59,41.91,34.72,19.18,36.15,32.89,6.25,8.75,40.10,46.69,32.46,21.67,26.61,19.60,27.94,37.98,34.29,37.45,2.24,26.04,22.82,34.41,4.81,9.38,7.23,27.99,26.43,8.94
zh-x,15.27,0.97,13.47,6.57,15.30,7.39,10.39,17.23,15.45,11.92,21.91,4.27,15.84,11.00,17.07,18.33,14.53,27.99,18.28,10.50,14.64,0.54,14.46,24.76,4.86,18.65,10.64,1.43,15.06,16.37,12.54,15.35,13.99,19.77,1.74,6.95,19.13,15.11,3.29,10.84,1.38,1.51,7.82,2.81,10.43,15.94,0.07,5.83,9.62,0.34,0.42,0.66,10.24,1.79,10.54,2.93,14.98,9.96,2.44,6.93,15.85,8.87,4.78,6.37,17.73,13.28,0.49,0.37,13.76,0.22,7.07,12.29,14.96,1.64,23.16,19.12,18.32,2.49,12.55,12.95,0.46,0.68,4.68,17.53,7.90,9.90,11.79,5.25,15.39,13.90,12.65,15.89,0.56,9.12,9.96,24.01,0.41,0.47,0.81,/,26.01,0.46
x-zh,16.99,2.63,17.14,9.98,17.50,13.01,14.09,18.83,14.86,18.31,19.23,12.79,18.59,14.28,18.83,19.89,17.49,25.10,18.30,15.53,17.22,1.71,16.98,20.26,11.57,19.39,13.07,7.53,17.36,16.84,17.86,17.47,16.67,19.01,4.96,12.44,18.64,15.84,12.25,13.83,2.14,9.96,14.24,9.34,13.54,15.96,8.70,11.22,14.91,2.72,2.86,4.16,14.91,1.89,15.37,6.86,18.22,13.12,10.13,13.50,17.51,14.66,6.60,12.86,16.86,16.97,3.88,3.18,17.73,0.99,11.29,13.09,16.52,9.70,20.15,19.23,19.20,8.83,17.95,16.57,2.80,4.03,18.52,19.10,13.00,12.43,13.23,12.13,17.17,16.11,16.81,18.43,1.54,13.44,12.99,17.91,2.32,3.91,3.00,/,25.55,4.13
de-x,22.73,1.32,16.22,5.83,20.63,9.59,13.24,24.90,17.56,20.42,29.34,6.24,24.32,15.96,27.72,/,18.65,42.41,23.52,15.92,18.16,0.67,19.13,34.06,9.12,25.92,11.79,2.01,21.82,19.68,20.17,20.10,17.86,26.76,2.58,10.40,25.34,20.92,5.08,13.38,1.98,3.10,9.80,2.99,11.34,17.28,0.08,6.54,22.13,0.62,0.81,0.82,14.86,2.01,14.36,4.27,22.39,11.58,2.69,7.65,21.07,13.90,5.14,7.07,25.28,22.37,0.76,0.56,18.69,0.29,7.54,13.82,19.82,2.46,32.16,27.30,25.07,2.77,20.43,20.50,0.61,0.89,8.67,30.48,12.12,11.66,13.52,7.30,17.40,17.35,17.72,23.08,0.65,10.31,12.07,27.92,0.56,0.75,1.09,19.89,15.06,0.73
x-de,24.43,3.59,22.05,11.92,23.41,13.92,15.51,24.79,16.09,25.57,27.05,16.22,26.07,20.91,29.08,/,22.49,35.69,21.94,21.47,20.82,1.98,22.20,28.24,16.14,25.03,14.70,10.31,24.74,18.46,24.47,22.88,20.79,22.73,6.68,17.83,24.23,17.15,14.57,15.91,2.50,14.04,15.38,11.12,14.30,17.70,11.52,11.71,30.84,3.78,3.59,5.22,18.83,2.38,19.95,8.49,24.07,14.56,9.92,14.85,22.14,21.32,8.42,15.26,22.82,25.08,3.82,4.39,26.60,1.20,12.20,15.14,21.54,12.67,27.93,26.67,24.22,11.30,25.62,23.50,3.55,5.53,25.78,30.21,17.15,14.03,15.30,14.03,18.99,21.68,20.44,24.79,1.78,16.50,15.16,21.38,3.23,5.04,4.21,18.33,18.32,4.70
ar-x,18.29,0.96,/,4.95,17.68,7.31,10.86,21.43,15.97,16.20,25.56,4.94,19.31,14.83,20.81,22.05,18.43,35.71,19.94,11.15,15.65,0.25,15.38,29.66,8.51,20.96,9.64,1.43,18.34,18.28,15.50,16.76,15.21,22.94,1.78,8.08,20.72,17.27,4.32,11.07,1.04,1.00,7.58,2.48,10.06,14.80,0.12,5.25,11.40,0.27,0.34,0.47,12.23,0.80,11.95,3.97,17.77,9.66,2.05,6.01,18.47,11.99,4.31,5.81,19.66,16.05,0.35,0.30,15.99,0.16,6.72,11.89,16.14,2.00,27.13,23.24,20.48,2.24,15.12,14.78,0.36,0.64,5.43,21.65,10.86,10.38,11.95,7.94,16.42,15.29,14.41,18.96,0.24,7.26,10.44,25.70,0.25,0.38,0.88,17.14,10.70,0.35
x-ar,14.15,2.09,/,7.21,14.28,9.04,10.76,15.81,11.78,14.51,16.05,10.72,14.71,14.92,15.03,16.22,15.12,20.59,13.38,11.78,12.03,1.34,12.04,17.20,10.50,14.60,11.07,6.59,16.39,14.09,13.99,13.41,13.99,14.97,3.73,10.11,15.10,12.58,8.99,11.46,1.58,6.82,10.14,6.65,10.00,12.25,6.21,7.28,12.76,1.84,2.00,2.83,10.38,1.42,11.70,4.79,14.42,10.07,6.05,9.56,14.06,13.14,4.49,9.85,12.74,13.89,2.10,2.04,16.44,0.94,7.99,10.09,12.28,4.61,14.84,16.16,15.97,2.86,14.01,13.00,1.59,2.70,15.50,15.02,11.79,9.35,11.12,10.02,11.63,13.17,13.03,16.02,1.05,6.54,9.82,14.92,1.89,2.41,2.06,13.47,12.38,2.28
ne-x,12.12,1.17,9.85,5.74,9.42,4.78,6.85,13.81,14.42,9.99,18.20,2.92,13.21,7.78,13.40,15.26,12.65,26.34,14.81,6.56,10.91,0.74,10.09,20.88,3.39,14.06,11.79,1.04,12.50,7.21,9.71,12.27,12.10,14.88,1.33,4.27,14.80,13.27,1.62,8.86,1.56,1.14,6.64,2.09,8.35,11.03,0.13,4.28,6.76,1.43,0.75,0.58,6.95,1.17,6.54,2.19,12.01,9.73,2.16,3.23,10.18,7.52,4.91,/,14.21,11.11,0.72,0.60,9.88,0.44,9.43,8.94,11.63,1.64,18.96,14.91,13.60,3.74,9.23,9.62,0.60,0.76,6.91,14.87,4.88,10.59,9.34,3.19,11.25,11.54,10.75,12.09,0.25,8.13,3.85,18.48,0.73,0.62,0.80,12.86,5.74,0.54
x-ne,3.37,2.22,5.81,5.64,3.97,2.01,2.77,4.82,6.84,3.17,5.10,2.97,5.38,3.63,4.78,7.07,5.41,11.25,5.55,2.56,5.40,0.94,3.38,8.48,2.75,4.67,6.97,1.89,4.89,7.55,3.86,4.75,4.69,4.37,1.31,2.11,6.16,5.47,2.12,4.05,0.99,1.55,3.82,3.12,5.95,5.67,2.27,2.94,3.53,0.85,1.13,1.81,1.71,0.89,2.24,1.46,3.12,5.77,2.68,3.90,4.50,2.52,3.32,/,5.47,4.17,1.11,0.98,4.28,0.54,6.00,6.70,3.88,3.16,6.85,6.02,5.57,4.47,3.81,2.20,0.76,1.59,4.01,5.65,2.33,5.96,5.61,2.89,5.28,3.86,4.35,5.16,0.60,6.11,1.35,4.77,1.01,0.98,1.17,6.37,5.05,0.82
