direct,af,am,ar,as,ast,az,be,bg,bn,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,ga,gl,gu,ha,he,hi,hr,hu,hy,id,ig,is,it,ja,jv,ka,kam,kea,kk,km,kn,ko,ku,ky,lb,lg,ln,lo,lt,luo,lv,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ns,ny,oc,om,or,pa,pl,ps,pt,ro,ru,sd,sk,sl,sn,so,sr,sv,sw,ta,te,tg,th,tl,tr,uk,umb,ur,uz,vi,wo,xh,yo,zh,zhtrad,zu
en-x,49.36,31.59,43.60,31.32,60.28,41.85,27.90,45.80,43.09,66.00,73.61,42.13,58.96,44.18,73.01,61.67,39.05,/,77.49,60.72,52.09,32.16,65.27,75.02,43.70,69.62,37.91,32.72,52.61,35.49,67.49,57.41,45.75,81.28,24.52,40.42,75.66,51.59,49.46,43.83,30.49,33.67,37.07,37.88,38.20,53.77,15.90,32.48,34.89,28.44,31.42,32.01,42.41,29.39,56.84,32.15,37.02,42.31,35.68,33.72,74.97,35.97,32.53,35.86,76.40,42.62,27.04,30.56,54.57,30.23,33.76,33.02,66.21,33.52,78.59,51.23,31.88,35.89,58.87,61.65,28.41,34.14,51.74,61.33,57.43,45.36,41.62,17.74,47.17,69.20,54.97,32.16,28.32,39.81,35.71,41.82,29.44,28.40,21.26,52.57,52.27,31.14
x-en,49.97,59.56,84.87,65.77,55.11,57.85,56.19,85.59,74.27,85.91,86.56,73.77,86.63,83.52,88.12,87.67,50.68,/,84.92,85.20,66.63,38.93,86.95,56.11,76.89,85.46,65.47,51.36,85.47,61.61,85.57,85.75,46.27,87.69,55.29,79.61,59.11,85.09,65.56,56.96,41.50,66.49,81.19,53.72,83.28,85.75,53.27,68.87,74.50,45.13,46.11,64.25,57.76,37.31,49.84,46.47,84.76,82.93,72.44,69.83,86.39,66.57,62.86,82.26,85.48,86.61,43.36,48.14,81.88,41.20,79.49,66.63,83.72,75.78,68.55,50.78,57.51,70.02,85.07,84.65,47.43,53.93,85.04,88.38,80.15,60.07,62.39,48.65,70.35,83.94,70.28,84.59,38.13,69.67,60.25,61.74,41.24,51.96,47.12,60.42,60.23,51.16
zh-x,53.47,34.45,36.81,50.22,39.72,39.69,46.60,50.07,62.43,44.12,59.94,38.42,40.14,44.77,46.62,61.62,42.91,60.42,56.88,48.37,45.28,32.11,49.94,72.92,42.75,50.56,38.96,39.00,59.64,34.53,53.85,49.96,75.51,78.78,27.11,48.37,74.78,54.64,32.72,67.05,31.49,35.91,34.85,46.37,53.85,46.35,22.54,35.44,35.58,30.20,29.29,40.15,45.82,33.21,50.04,32.79,32.83,57.43,36.94,36.90,71.11,40.75,42.59,34.92,71.97,58.60,28.16,31.47,37.49,34.36,37.32,48.37,62.73,29.78,45.82,50.04,50.91,35.76,57.69,41.16,29.36,34.29,32.55,65.04,49.48,59.25,61.63,25.52,37.87,66.55,39.04,41.57,29.40,35.97,47.22,48.90,28.65,31.84,23.64,/,74.99,31.29
x-zh,50.88,35.49,42.19,37.03,41.65,38.03,46.84,49.06,38.48,50.87,47.31,38.15,40.99,48.71,57.89,56.67,55.73,52.57,46.72,55.23,43.91,27.63,47.35,55.85,38.65,50.92,40.83,32.21,43.13,50.80,52.60,56.26,41.90,50.98,29.65,33.15,40.34,61.58,41.25,36.41,28.55,29.64,34.65,49.99,49.85,58.56,35.58,38.23,32.09,28.66,29.52,33.92,41.32,28.09,36.36,30.79,44.61,43.93,36.20,41.20,46.70,38.35,49.27,42.91,55.88,46.98,29.26,29.02,47.66,29.42,41.84,46.01,36.59,40.88,55.27,36.62,38.39,34.98,53.03,53.84,27.64,33.22,48.98,58.41,39.69,39.29,41.76,34.15,37.46,47.81,53.81,50.23,27.61,37.88,43.19,55.63,28.34,30.96,29.45,/,87.45,30.82
de-x,71.88,34.90,39.51,38.81,62.54,39.43,28.84,32.59,37.17,37.92,59.16,37.79,36.16,46.26,45.51,/,49.74,87.67,77.18,44.78,47.15,34.67,51.21,49.21,37.32,42.52,39.59,39.01,63.49,38.80,46.08,44.56,58.92,81.44,26.48,52.86,62.76,51.40,39.72,48.27,32.25,38.61,30.31,42.37,41.57,56.39,20.36,31.14,45.79,29.87,30.21,35.38,40.54,32.84,38.10,31.55,33.30,45.07,30.90,36.10,68.64,35.15,34.62,38.51,48.87,45.17,28.33,30.41,39.64,32.31,32.39,30.77,48.21,27.71,50.97,39.18,53.64,39.80,36.64,49.07,30.34,38.51,33.06,47.75,45.21,49.70,46.60,21.81,33.16,49.32,57.95,34.46,29.31,34.69,32.84,41.44,27.69,33.75,22.23,56.67,57.25,33.34
x-de,50.47,46.11,48.39,60.33,46.94,53.83,49.12,77.26,66.88,41.70,38.67,56.33,51.53,64.67,51.94,/,63.72,61.67,70.21,41.60,73.39,26.54,72.39,46.84,42.71,56.76,47.39,38.20,48.20,53.95,49.07,47.47,37.19,56.97,38.38,67.47,67.83,71.38,40.80,47.47,29.07,37.77,41.93,58.73,58.15,48.39,53.72,58.09,48.56,33.44,32.61,39.73,38.28,24.31,42.96,44.66,43.20,64.02,50.46,40.65,41.29,46.89,33.20,45.38,76.51,74.46,31.38,32.06,40.59,29.26,37.00,42.77,41.76,61.09,59.81,54.32,53.14,37.34,48.67,76.60,33.32,40.57,64.92,65.56,54.41,61.02,50.53,37.44,42.51,62.73,67.58,52.60,26.08,45.54,55.87,45.88,28.26,32.76,32.49,61.62,69.09,36.40
ar-x,41.47,33.23,/,37.34,41.60,36.56,38.60,34.15,46.42,47.48,44.39,41.74,41.29,48.65,43.80,48.39,40.80,84.87,47.38,44.45,36.40,30.60,54.71,52.88,38.25,42.61,31.63,36.38,66.15,32.80,40.74,44.51,71.40,44.37,27.62,44.20,47.96,36.69,34.04,63.19,32.40,35.52,27.52,43.86,34.04,49.03,25.67,28.29,34.92,29.93,28.54,29.12,36.23,31.50,45.68,35.50,30.98,51.78,28.50,27.44,47.64,41.35,39.31,28.32,43.41,44.76,27.61,30.54,39.98,31.69,30.51,32.62,44.23,29.55,46.49,39.52,37.04,34.80,41.24,50.28,29.53,33.11,34.62,48.27,49.61,39.63,50.65,25.90,35.00,51.73,35.51,35.52,28.89,33.97,35.69,42.24,28.16,30.37,23.47,42.19,42.11,31.81
x-ar,36.75,39.09,/,34.55,29.50,42.37,30.54,37.22,34.07,37.94,32.86,31.01,33.99,36.37,41.78,39.51,37.39,43.60,36.41,41.11,40.71,24.55,42.78,39.32,29.26,31.13,34.34,30.72,34.74,31.88,31.51,39.59,42.74,43.41,27.36,37.12,35.55,38.40,39.42,32.38,26.11,28.22,31.18,34.35,34.11,36.51,30.46,31.35,32.91,25.42,24.98,30.67,32.86,22.44,30.02,28.48,38.52,35.41,32.05,33.59,40.01,30.73,31.74,33.26,35.86,36.42,24.72,25.73,33.53,29.48,32.04,33.80,34.26,43.97,34.31,32.38,35.12,37.45,39.13,33.63,24.84,33.74,34.08,42.73,33.14,35.55,33.07,31.14,36.94,36.22,41.24,46.01,24.22,43.73,33.20,31.18,25.14,29.99,27.99,36.81,34.27,30.59
ne-x,61.64,34.48,33.26,53.60,52.24,41.65,36.05,35.87,67.26,41.79,47.04,41.21,49.52,46.97,49.91,45.38,38.05,82.26,74.37,54.44,38.11,34.16,59.61,57.52,35.66,40.05,58.30,35.46,39.70,65.54,38.51,59.96,68.25,55.72,30.87,42.40,63.46,40.06,38.01,56.76,35.82,37.95,32.66,44.85,52.98,38.02,25.30,32.52,36.91,32.20,32.16,35.61,40.14,34.71,42.30,32.61,33.98,58.20,35.66,60.46,49.26,34.96,46.22,/,47.26,49.56,32.20,33.74,40.75,37.05,49.15,53.03,43.31,31.41,77.51,51.43,33.66,46.11,48.67,40.22,32.48,35.74,31.90,71.80,39.08,54.47,48.74,24.80,33.11,45.63,57.44,35.30,31.45,50.16,42.82,38.93,32.10,33.90,26.99,42.91,50.75,33.34
x-ne,36.09,37.71,28.32,41.96,28.85,34.13,31.60,34.63,36.36,31.34,37.63,26.74,30.94,35.20,41.35,38.51,33.56,35.86,30.11,44.87,32.97,21.14,44.57,36.71,27.60,34.44,36.48,30.39,27.21,43.06,30.76,40.71,31.58,40.47,22.54,32.72,30.45,46.47,37.61,35.06,21.55,24.63,30.01,33.23,40.36,45.13,26.01,30.16,23.97,20.82,20.78,36.11,30.94,19.66,42.36,22.43,36.61,40.16,37.42,59.10,37.68,26.36,39.58,/,38.51,41.23,20.38,21.70,28.83,28.12,54.62,47.65,31.29,28.13,33.33,26.99,31.40,26.71,37.14,41.03,21.18,32.57,33.85,41.56,34.73,31.74,31.96,28.07,32.54,33.67,44.29,36.14,20.26,33.01,48.39,35.70,20.23,25.94,23.86,34.92,39.27,26.41
