direct,af,am,ar,as,ast,az,be,bg,bn,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,ga,gl,gu,ha,he,hi,hr,hu,hy,id,ig,is,it,ja,jv,ka,kam,kea,kk,km,kn,ko,ku,ky,lb,lg,ln,lo,lt,luo,lv,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ns,ny,oc,om,or,pa,pl,ps,pt,ro,ru,sd,sk,sl,sn,so,sr,sv,sw,ta,te,tg,th,tl,tr,uk,umb,ur,uz,vi,wo,xh,yo,zh,zhtrad,zu
en-x,85.10,79.86,83.91,77.48,70.30,82.88,81.84,88.37,82.60,87.86,86.19,68.96,87.60,83.77,88.62,85.42,85.55,/,84.72,86.87,82.54,43.29,88.58,85.91,76.56,85.65,78.16,76.66,83.98,75.84,87.49,85.67,84.38,89.21,68.36,81.78,86.13,88.45,83.59,82.20,43.24,55.47,85.42,75.06,73.87,86.33,35.61,82.18,53.67,45.21,59.32,62.92,85.15,40.97,85.30,60.54,86.92,79.30,82.50,69.13,87.68,68.54,80.93,79.87,85.36,88.07,58.30,60.59,69.15,57.28,68.55,73.68,86.58,74.82,87.72,87.64,86.79,74.48,86.36,86.37,58.93,77.82,78.12,88.21,81.78,83.78,74.06,73.42,81.15,82.45,83.97,86.83,41.98,76.99,82.32,85.71,48.50,73.33,53.59,84.89,83.28,72.65
x-en,87.95,81.02,85.29,81.06,82.06,84.61,81.80,86.98,86.29,87.33,87.46,79.45,87.13,85.76,88.83,88.19,85.75,/,85.57,86.83,85.64,46.11,88.42,87.83,82.25,86.97,86.70,77.07,86.16,87.52,86.57,86.73,86.63,88.27,66.51,83.85,86.37,86.88,80.85,84.75,46.96,67.13,85.49,84.31,84.03,86.69,71.77,83.30,77.87,56.03,61.83,80.98,84.25,43.85,85.41,68.04,86.66,85.82,82.78,85.82,87.68,80.75,82.41,88.48,86.12,87.78,59.85,69.19,83.25,55.81,83.28,85.25,84.72,82.16,88.27,88.14,85.16,81.81,86.60,86.35,69.20,75.33,86.38,89.19,83.19,83.97,84.64,75.33,85.61,85.31,86.83,85.83,46.30,84.88,84.22,86.03,52.18,74.73,56.46,85.85,85.36,75.60
zh-x,79.96,71.93,80.86,71.68,69.33,79.41,83.23,85.22,77.75,85.57,83.94,66.34,85.40,78.95,84.72,81.52,83.18,85.85,82.66,83.50,79.91,41.49,84.41,82.07,72.59,82.92,71.93,72.67,81.23,69.75,86.01,82.30,82.13,86.05,64.80,78.38,84.03,86.93,80.07,80.56,40.80,54.96,82.33,71.67,69.03,84.14,34.37,80.32,52.65,36.72,56.74,60.47,83.28,38.60,83.01,61.21,84.35,63.75,80.37,63.18,84.07,64.13,77.87,73.22,82.35,84.20,52.52,58.33,67.17,53.19,63.55,68.24,84.85,71.39,84.41,81.76,85.45,68.63,84.36,84.17,55.53,73.95,75.75,84.55,78.61,79.00,68.59,71.22,79.68,79.19,79.07,85.14,43.26,73.18,78.16,85.32,47.87,70.00,54.06,/,89.65,68.78
x-zh,79.93,73.81,79.64,74.79,77.93,79.37,79.78,81.16,80.00,80.38,81.33,73.97,81.16,77.51,82.53,83.05,80.72,84.89,82.23,80.82,81.27,44.97,82.56,82.73,74.47,82.03,78.74,71.59,79.73,80.44,80.47,80.79,80.09,81.82,63.27,77.87,82.64,83.66,74.72,80.20,46.06,64.10,80.71,79.15,76.94,83.30,67.27,79.20,73.68,54.01,60.89,74.54,79.95,44.58,80.10,63.98,81.43,78.23,78.48,79.10,81.18,73.18,76.50,81.03,81.46,81.90,57.62,66.47,77.06,54.21,75.65,77.73,80.28,76.87,82.37,81.01,81.70,74.67,80.74,81.65,66.41,70.06,80.61,82.87,76.54,77.00,76.69,72.04,80.86,77.65,79.10,80.62,44.09,78.47,78.66,82.40,51.00,69.70,54.79,/,89.71,70.60
de-x,83.09,74.15,81.16,71.27,68.70,79.49,82.98,87.00,77.60,87.38,83.37,65.77,88.37,80.13,87.46,/,83.53,88.19,82.59,85.46,79.69,41.88,85.99,83.43,73.61,83.31,72.33,73.28,82.08,69.73,87.45,84.63,81.92,86.91,64.87,81.08,84.90,84.95,80.67,79.01,41.09,52.34,82.21,70.87,68.38,81.80,30.60,79.05,55.15,40.88,56.50,59.44,84.49,38.35,84.30,58.89,85.63,57.97,78.30,63.12,84.89,64.89,76.72,73.16,85.27,86.59,53.47,58.49,66.10,53.12,61.93,68.21,86.80,71.74,85.27,85.85,86.11,69.22,87.15,86.53,54.79,74.94,75.77,87.09,78.49,79.30,68.72,71.70,78.07,79.44,80.33,86.11,40.19,72.97,79.82,84.70,47.34,69.41,52.71,83.05,81.77,68.96
x-de,80.98,72.18,78.88,72.34,76.61,78.44,78.23,82.04,78.29,83.01,81.75,72.48,84.01,77.80,83.31,/,80.59,85.42,80.00,82.15,79.08,38.85,83.08,82.83,75.53,81.53,77.84,70.38,80.47,79.51,82.38,81.91,79.78,82.09,61.80,78.69,81.95,80.40,73.87,79.24,39.94,60.46,78.88,76.52,76.19,79.76,64.86,76.38,76.40,49.91,57.63,72.81,79.99,36.43,80.97,62.02,81.07,77.75,75.41,77.34,81.08,73.82,73.35,80.97,83.01,82.15,55.01,63.62,76.63,48.28,73.78,77.25,82.26,74.85,82.08,82.77,81.25,73.24,84.01,83.61,64.09,68.79,81.66,84.46,75.72,76.05,75.72,69.67,79.21,78.29,79.46,81.02,39.58,77.44,77.68,80.91,46.82,68.09,52.14,81.52,80.85,68.47
ar-x,78.11,70.35,/,64.83,69.30,76.33,80.84,83.77,75.06,83.18,81.88,66.44,83.25,79.98,83.32,78.88,82.09,85.29,80.34,80.12,77.79,41.98,82.04,80.56,72.40,81.10,67.91,73.51,81.41,66.35,83.14,79.85,80.28,83.35,65.35,76.68,81.70,81.62,78.51,77.90,41.19,52.96,79.98,69.43,67.29,79.79,40.08,77.48,53.37,41.95,57.21,56.31,80.95,38.91,80.74,61.23,82.33,75.29,76.71,60.06,81.63,65.88,74.32,69.41,79.60,82.30,53.01,59.23,67.05,53.80,59.24,61.39,82.01,71.01,82.75,81.72,83.31,68.00,82.52,81.67,55.06,74.42,71.92,82.89,77.95,76.81,67.09,72.70,76.19,78.21,76.10,83.59,41.76,70.47,76.16,82.02,47.55,69.50,54.12,79.64,78.48,69.27
x-ar,79.68,74.97,/,73.06,78.78,78.69,78.50,81.25,78.35,80.35,81.86,74.17,80.81,79.21,81.71,81.16,80.70,83.91,81.52,79.29,80.45,44.40,80.77,82.53,76.08,81.80,78.55,72.33,82.06,79.32,80.00,80.15,80.54,80.72,65.15,77.89,81.29,80.78,73.76,79.90,47.36,65.07,79.74,78.01,77.18,81.12,70.04,77.78,74.10,57.49,63.13,74.12,78.76,43.10,79.09,65.69,80.35,78.90,77.31,77.64,79.98,74.96,75.52,79.88,79.57,80.84,60.47,67.48,78.88,58.16,75.03,77.62,79.79,74.47,82.33,81.67,80.85,72.15,80.91,80.49,67.18,71.65,79.79,81.90,77.06,78.36,77.44,71.93,79.60,78.09,79.59,80.99,49.59,76.28,78.28,81.38,53.54,69.82,57.73,80.86,80.28,70.79
ne-x,81.37,72.08,79.88,63.63,74.18,78.13,81.75,85.04,79.61,84.99,84.35,71.83,84.99,82.07,85.78,80.97,82.23,88.48,82.95,81.92,79.05,45.12,84.39,82.86,76.40,82.89,66.01,76.44,81.30,74.71,85.44,81.34,81.80,86.36,70.08,79.67,83.17,80.17,81.61,79.54,29.61,57.69,81.91,72.34,72.33,82.68,51.40,78.72,58.91,31.59,59.09,59.55,82.18,44.41,83.43,66.11,83.84,77.11,80.55,65.20,84.66,71.18,77.77,/,82.17,85.50,55.33,62.62,72.16,54.96,65.47,70.13,84.56,72.20,84.83,83.89,84.21,71.13,83.51,83.67,60.53,76.11,77.21,85.02,80.95,81.06,72.04,72.95,76.88,81.91,79.62,84.71,45.70,75.06,77.64,83.85,52.46,71.66,58.86,81.03,80.00,69.86
x-ne,72.77,63.38,69.41,64.00,72.02,68.99,68.22,72.59,70.57,72.82,73.62,68.73,71.73,69.51,74.60,73.16,69.90,79.87,73.77,71.37,71.82,40.70,72.23,74.35,67.61,72.62,71.28,65.32,70.25,76.99,72.83,71.37,70.94,73.80,59.57,68.42,72.73,72.51,66.79,69.73,42.54,58.94,70.34,65.51,70.21,72.41,58.14,68.17,68.59,51.53,58.19,57.47,70.49,36.59,71.74,60.03,71.42,71.63,67.79,72.80,74.10,67.80,63.39,/,71.83,73.55,54.55,61.34,72.38,48.21,68.74,66.55,71.08,65.98,75.00,72.68,71.41,66.27,72.10,72.13,61.40,62.46,71.20,74.32,69.36,70.37,68.98,63.50,66.54,71.66,71.51,71.39,40.93,71.64,69.12,72.59,48.63,61.57,52.09,73.22,72.83,61.17
