direct,af,am,ar,as,ast,az,be,bg,bn,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,ga,gl,gu,ha,he,hi,hr,hu,hy,id,ig,is,it,ja,jv,ka,kam,kea,kk,km,kn,ko,ku,ky,lb,lg,ln,lo,lt,luo,lv,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ns,ny,oc,om,or,pa,pl,ps,pt,ro,ru,sd,sk,sl,sn,so,sr,sv,sw,ta,te,tg,th,tl,tr,uk,umb,ur,uz,vi,wo,xh,yo,zh,zhtrad,zu
en-x,42.42,17.05,26.34,16.85,26.95,15.90,19.06,37.04,26.18,29.67,41.47,29.77,31.32,40.19,42.30,35.83,23.98,/,28.39,25.38,23.80,1.12,24.72,45.43,30.11,35.34,20.88,19.41,29.29,30.57,27.84,24.57,25.88,38.60,18.96,25.12,30.25,26.03,24.55,24.17,3.28,4.05,23.51,11.53,17.93,21.27,1.74,20.47,24.44,1.42,8.57,8.50,23.82,3.18,27.53,17.93,35.18,20.20,14.38,21.27,36.92,45.86,14.84,26.28,28.70,33.56,9.06,18.48,33.11,1.29,14.22,21.75,24.16,15.33,44.73,34.99,29.50,26.12,30.13,28.18,16.53,13.48,8.91,41.43,30.48,21.89,21.09,27.01,17.35,30.91,23.42,29.73,1.59,21.38,19.63,34.73,1.10,17.10,3.81,22.40,7.09,18.94
x-en,54.34,20.53,35.90,20.99,39.00,22.05,22.22,40.75,29.04,42.05,46.16,38.64,39.88,48.21,48.25,44.16,33.76,/,32.75,34.03,31.74,4.64,34.36,45.09,35.84,41.75,29.21,26.64,39.22,35.47,38.08,35.14,34.27,41.83,19.74,32.99,35.68,26.30,31.46,26.47,5.87,21.95,29.26,26.56,24.40,28.06,21.15,21.54,40.08,10.99,14.30,22.39,31.12,5.34,34.14,22.27,41.83,27.78,23.68,30.22,41.63,49.49,18.39,33.31,33.34,44.06,16.02,21.98,48.86,5.09,22.55,28.92,31.11,26.86,48.04,43.13,35.86,28.17,38.45,35.65,21.90,22.76,42.92,47.62,37.13,24.70,28.27,28.85,26.21,41.76,32.78,38.93,4.67,29.69,27.53,34.64,7.80,27.26,11.15,28.71,26.96,28.52
zh-x,19.11,10.50,15.82,10.88,15.53,12.43,14.21,21.01,17.80,16.04,24.57,16.73,18.10,20.82,21.15,19.72,15.48,28.71,18.70,15.02,15.11,1.05,16.11,25.59,17.40,20.13,13.55,10.27,16.54,19.09,16.55,16.61,18.10,21.59,11.59,15.54,19.47,18.75,13.14,17.94,1.87,2.35,15.49,8.73,12.65,16.20,1.31,15.23,12.66,1.63,4.43,6.28,14.52,1.69,16.26,12.09,20.44,7.47,10.80,13.86,19.81,25.22,12.11,16.89,18.18,16.88,4.02,10.83,17.30,0.78,10.18,14.87,15.80,10.53,23.71,17.69,17.14,16.25,16.24,17.56,9.34,7.56,4.79,20.58,17.26,15.14,13.50,17.49,12.65,18.87,14.16,17.30,0.89,13.86,14.17,24.85,0.68,9.61,2.48,/,11.09,10.69
x-zh,18.28,8.44,15.68,9.32,16.15,13.24,13.70,17.67,13.73,17.01,16.86,15.29,16.99,15.68,18.52,18.63,15.51,22.40,16.48,16.42,15.04,2.05,16.35,18.08,13.49,17.72,12.22,11.40,15.55,15.21,16.45,16.84,15.48,18.00,8.29,14.21,16.89,13.93,13.39,13.88,2.44,7.71,15.55,12.93,11.25,15.88,9.73,12.95,15.83,4.53,6.87,9.68,15.01,2.47,15.92,8.43,18.63,12.64,13.29,13.88,17.76,17.37,8.12,14.42,15.65,17.79,6.00,9.85,16.62,2.50,9.27,12.27,15.10,12.48,18.28,17.60,17.84,11.43,17.01,17.06,10.37,10.14,17.63,19.10,14.57,11.01,11.73,15.34,12.90,15.09,14.99,17.29,1.97,13.16,14.30,15.68,3.60,11.46,5.14,/,19.44,11.58
de-x,29.33,14.16,20.72,13.87,21.85,14.41,17.69,30.10,22.08,24.45,33.18,22.44,26.68,29.01,33.09,/,20.48,44.16,24.03,22.44,20.18,0.66,21.26,36.03,23.90,28.73,16.50,14.74,23.98,24.08,24.04,21.94,22.26,28.96,14.84,21.90,26.25,22.12,17.84,21.42,2.59,3.04,20.37,9.64,14.81,17.18,0.91,17.92,27.19,1.45,6.34,7.07,20.40,2.57,23.46,15.16,29.34,5.75,12.36,17.36,26.50,34.54,13.46,21.04,26.81,26.55,5.94,14.62,24.77,1.00,11.63,17.41,21.52,13.05,33.62,28.57,25.02,20.16,27.19,25.47,12.24,10.63,3.65,32.69,22.77,17.74,16.79,25.16,14.86,23.80,19.64,24.72,1.15,17.24,18.62,28.36,0.81,12.48,3.12,18.63,6.12,13.94
x-de,29.63,11.98,22.53,12.45,25.25,16.18,17.10,27.39,16.86,28.04,28.81,22.01,27.20,24.60,29.93,/,23.26,35.83,22.60,23.85,20.79,1.65,23.50,28.77,20.92,26.88,15.63,16.27,24.34,19.72,25.92,24.35,21.74,25.03,11.79,21.90,25.42,18.08,17.54,18.69,2.23,11.89,19.27,15.77,14.90,18.30,12.42,14.74,33.49,4.62,8.56,13.42,22.00,2.08,22.75,12.42,26.54,16.75,14.42,16.71,24.72,27.61,10.41,19.73,24.48,26.87,7.73,13.29,28.33,2.36,12.37,16.38,23.03,16.44,29.00,28.61,25.08,15.06,27.02,26.25,12.94,13.57,27.51,31.03,21.24,14.96,15.23,19.23,17.14,24.02,20.99,25.27,1.77,18.03,17.59,21.86,3.44,15.48,6.12,19.72,18.95,16.45
ar-x,23.13,11.75,/,7.91,17.59,12.73,15.00,25.27,18.74,19.43,28.47,19.65,19.87,26.92,25.93,22.53,17.77,35.90,20.40,17.70,16.10,0.72,16.99,29.83,21.11,22.75,13.07,13.04,20.73,20.97,19.12,17.08,20.14,23.55,13.16,17.37,21.04,16.98,15.64,18.62,1.71,1.78,16.41,9.84,12.69,14.67,3.03,15.82,15.37,0.94,5.11,5.83,16.53,1.50,19.48,13.69,24.40,15.85,10.85,14.70,22.29,31.64,12.13,17.27,19.46,19.80,4.63,13.50,20.49,0.86,10.12,11.68,16.78,11.92,27.63,22.69,20.50,17.81,20.36,19.74,10.21,9.35,4.56,24.24,21.49,15.10,13.70,21.24,12.78,22.12,15.04,20.18,0.70,13.42,14.86,25.45,0.57,11.13,2.38,15.68,4.81,12.40
x-ar,21.64,10.72,/,10.39,18.89,13.87,14.73,20.53,14.38,20.40,20.84,17.40,19.19,20.45,21.07,20.72,18.07,26.34,17.80,17.57,16.93,3.32,17.68,21.69,16.80,19.67,13.85,12.93,20.36,16.78,19.19,17.80,18.14,19.92,10.23,16.05,18.84,14.88,14.68,15.14,3.50,10.51,16.12,13.31,12.48,15.12,12.69,12.84,17.95,6.08,8.07,11.64,16.39,2.96,17.08,11.29,21.08,14.00,13.38,14.42,19.22,21.83,10.05,15.62,17.12,19.48,8.56,11.29,20.74,4.03,11.48,14.14,16.83,12.49,22.19,21.59,18.72,11.73,18.84,18.86,10.88,11.63,20.86,20.95,16.91,12.43,13.63,16.55,14.38,18.91,16.87,19.97,2.84,13.22,15.32,17.94,4.93,13.12,6.06,15.82,15.22,13.68
ne-x,18.96,11.47,15.62,4.99,13.94,12.29,13.09,21.65,22.77,16.24,24.76,16.57,18.01,24.60,22.97,19.73,16.06,33.31,17.83,15.98,16.36,1.18,14.98,25.96,19.51,20.26,5.02,11.30,17.40,23.84,16.27,15.94,18.67,21.77,11.12,15.79,17.94,15.77,13.21,18.24,0.45,2.01,17.41,9.78,14.49,14.71,4.71,14.91,13.48,0.78,3.68,5.16,15.04,2.06,18.01,11.98,21.17,16.00,11.76,9.81,19.95,28.89,13.36,/,17.13,18.55,3.66,10.44,17.37,0.74,10.25,18.28,14.73,12.68,24.00,20.38,16.82,16.96,16.47,17.06,8.84,7.74,6.62,21.48,18.85,17.15,15.55,17.39,11.70,20.95,16.02,17.23,1.22,17.80,14.14,23.31,0.74,9.25,2.63,14.42,4.55,9.75
x-ne,21.30,11.99,17.27,9.98,18.07,14.31,14.42,20.05,14.26,20.22,20.05,17.38,19.26,18.55,21.04,21.04,17.40,26.28,17.96,17.85,17.32,3.31,17.53,20.51,16.51,19.27,17.17,12.90,18.02,21.15,18.98,18.68,18.30,18.90,10.58,15.10,18.52,16.34,14.60,16.35,3.49,9.93,16.83,11.13,15.43,16.65,10.95,14.12,17.96,5.66,7.78,8.15,16.59,2.94,17.79,10.51,19.79,17.51,13.71,17.04,19.47,20.59,9.58,/,17.54,19.49,7.79,11.39,19.76,3.61,14.84,13.00,17.05,14.37,21.03,20.34,18.58,14.74,18.90,18.28,11.08,10.46,20.33,20.74,16.70,15.45,16.19,16.13,11.72,19.03,18.52,19.21,2.93,17.63,15.79,16.75,4.47,13.78,6.35,16.89,16.17,13.09
