direct,af,am,ar,as,ast,az,be,bg,bn,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,ga,gl,gu,ha,he,hi,hr,hu,hy,id,ig,is,it,ja,jv,ka,kam,kea,kk,km,kn,ko,ku,ky,lb,lg,ln,lo,lt,luo,lv,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ns,ny,oc,om,or,pa,pl,ps,pt,ro,ru,sd,sk,sl,sn,so,sr,sv,sw,ta,te,tg,th,tl,tr,uk,umb,ur,uz,vi,wo,xh,yo,zh,zhtrad,zu
en-x,87.43,87.18,86.96,83.38,53.36,85.24,84.04,91.51,87.23,91.80,88.46,52.74,91.72,87.36,91.35,88.55,89.88,/,86.57,91.46,87.02,57.27,92.80,88.65,79.84,88.13,88.43,75.91,88.62,79.14,91.39,90.41,90.12,90.68,69.79,84.81,88.49,90.52,80.88,35.96,31.68,44.91,88.47,79.60,86.40,88.20,76.99,88.59,49.34,56.17,35.55,84.04,90.70,31.98,89.66,67.67,90.25,85.41,88.87,65.25,88.63,73.05,83.24,67.13,88.07,90.07,28.01,61.39,71.95,69.12,84.48,84.12,89.43,77.76,89.96,91.03,89.07,78.38,91.29,90.62,59.17,75.74,89.94,91.18,81.04,86.99,85.21,66.19,85.45,79.73,90.27,89.90,31.48,79.62,39.26,87.97,38.30,75.69,58.02,86.38,52.81,74.57
x-en,90.08,88.09,88.12,86.61,83.01,77.71,76.67,88.60,89.33,89.32,89.48,73.65,89.00,89.75,90.62,89.70,88.31,/,87.56,89.66,88.55,60.02,90.26,89.68,86.97,89.23,90.63,81.90,88.84,90.09,88.58,89.04,88.31,89.62,73.46,87.17,88.25,88.04,77.55,76.97,50.58,76.74,86.25,88.29,88.19,88.91,79.25,86.40,64.66,64.52,48.34,88.28,87.46,42.93,88.52,66.46,88.39,88.33,87.19,87.76,89.36,84.34,87.89,90.02,87.69,89.34,71.25,73.69,86.86,71.69,89.23,89.62,86.36,85.28,89.94,89.83,87.11,87.48,88.80,88.37,73.76,80.35,88.16,90.35,86.40,86.94,88.47,67.44,88.79,87.68,90.06,87.81,45.79,87.42,87.72,87.89,52.82,80.21,64.93,87.45,87.21,80.73
zh-x,83.11,80.78,84.39,75.62,53.01,74.38,85.36,89.22,77.71,89.47,86.51,50.92,90.17,82.32,87.26,85.49,86.73,87.45,85.58,89.70,82.51,55.50,88.49,83.01,78.11,86.16,82.78,62.92,83.10,73.46,87.60,85.63,65.83,88.09,66.11,76.10,87.03,87.83,78.93,42.88,35.47,45.88,86.59,78.71,79.55,85.59,69.65,84.41,49.95,53.43,38.97,80.12,86.65,35.23,89.22,63.73,86.89,70.68,85.59,52.93,85.32,67.44,82.87,65.84,85.19,85.30,31.44,58.54,69.68,62.69,78.29,77.96,87.30,71.98,86.91,86.97,88.34,70.51,85.81,86.54,57.54,76.60,86.04,86.72,74.03,73.42,72.93,66.67,84.35,71.43,82.13,86.53,33.07,76.78,36.80,87.31,37.61,71.79,55.29,/,52.97,69.28
x-zh,85.57,83.71,85.32,81.86,82.03,53.32,81.00,85.52,84.58,83.93,87.13,69.72,85.48,85.39,85.77,86.57,84.41,86.38,86.62,86.68,82.44,61.58,85.30,86.48,83.44,87.03,86.17,77.98,82.05,85.69,83.25,84.17,73.60,85.21,72.88,80.32,86.14,86.39,76.23,64.25,47.62,75.80,83.47,85.49,77.21,86.58,75.18,81.56,70.09,65.11,46.86,85.33,82.79,39.45,85.94,67.68,82.59,74.55,83.95,73.73,84.97,80.14,85.27,78.19,84.88,82.37,68.69,67.86,84.65,69.87,84.93,85.51,83.36,82.78,86.58,85.33,84.24,82.76,83.63,84.08,68.24,77.49,82.56,85.57,77.55,60.69,70.21,58.60,86.02,75.24,83.15,81.77,44.25,84.02,79.09,84.80,53.90,77.98,65.58,/,89.58,78.65
de-x,85.83,82.20,84.37,69.52,54.23,83.80,85.88,90.46,82.85,91.47,86.79,49.40,92.43,83.64,90.57,/,87.99,89.70,85.19,89.81,81.62,53.60,91.10,86.65,78.72,84.21,83.72,66.39,84.87,69.00,90.82,89.18,66.05,87.65,66.89,83.85,87.82,89.05,70.99,47.18,33.41,45.17,84.80,78.79,81.14,85.67,71.12,85.30,55.45,51.33,37.89,80.67,90.19,34.22,89.81,60.18,88.93,72.53,85.57,52.79,86.45,68.60,83.27,61.50,88.33,87.72,29.86,58.55,62.52,62.18,78.99,79.09,90.32,73.51,87.96,89.88,89.68,71.74,91.54,90.48,56.54,75.72,87.22,90.40,76.20,70.64,70.52,63.40,83.63,74.11,83.77,89.84,31.90,77.51,36.18,86.00,35.10,71.79,55.27,86.57,53.76,69.56
x-de,86.31,83.27,83.08,78.09,79.11,63.03,80.88,86.08,85.14,86.58,86.45,64.29,88.20,84.89,87.71,/,85.01,88.55,85.15,86.27,80.73,57.87,87.21,86.53,83.18,83.06,85.42,75.00,83.46,84.77,86.21,86.22,73.87,83.80,70.14,83.54,86.19,85.53,59.96,50.02,46.96,71.45,81.62,84.53,72.31,84.60,72.65,81.30,74.46,61.03,44.51,83.95,85.64,36.53,86.31,64.89,85.33,71.49,82.98,68.13,83.67,80.21,84.05,72.06,86.60,84.52,66.46,68.21,76.02,66.28,84.16,85.11,86.06,81.70,86.47,86.97,85.17,82.79,87.84,87.07,68.56,75.86,83.38,87.73,77.02,59.49,64.84,52.85,85.33,74.64,83.13,85.66,43.35,83.82,81.78,83.22,50.85,76.07,62.51,85.49,82.25,76.44
ar-x,83.14,81.76,/,69.91,50.77,81.43,78.46,88.02,76.01,89.03,85.90,52.32,87.63,83.99,85.80,83.08,86.76,88.12,84.43,88.83,83.26,56.88,85.21,82.94,78.42,85.50,81.98,74.95,84.45,73.10,86.00,86.93,75.84,87.58,68.99,80.80,86.35,87.44,76.12,44.67,34.15,43.03,74.36,77.86,81.27,82.11,76.89,83.95,48.02,55.33,40.11,78.93,88.97,33.08,88.46,67.02,87.35,69.84,84.78,56.97,85.22,69.61,82.36,54.78,85.13,87.26,31.13,59.37,70.87,65.80,76.84,76.90,88.20,73.47,86.77,88.17,87.45,73.53,89.23,88.11,59.14,77.28,87.46,88.41,74.35,83.78,80.10,65.68,83.12,74.69,82.42,88.82,31.52,77.23,37.73,86.31,40.63,72.67,57.26,85.32,57.51,70.94
x-ar,84.34,83.37,/,77.03,82.07,58.81,68.82,83.83,83.59,83.26,85.65,67.70,83.43,84.88,84.29,84.37,83.55,86.96,84.94,84.36,85.18,63.53,81.73,85.69,82.79,85.58,85.20,77.65,84.52,84.47,82.69,84.32,79.10,84.27,71.81,82.54,85.12,84.18,73.33,60.42,51.46,76.02,69.57,84.61,83.76,83.24,76.01,69.36,57.61,64.02,48.97,83.03,83.64,44.57,84.23,68.27,83.92,77.20,82.62,78.89,83.59,79.85,83.33,61.69,83.52,84.69,68.20,66.73,83.84,69.13,84.02,84.50,83.61,82.55,85.84,85.25,83.61,82.80,85.05,84.47,67.90,76.28,83.64,85.70,79.17,71.09,81.40,50.88,84.16,78.54,84.12,84.69,48.85,84.29,75.45,84.90,56.00,77.04,66.49,84.39,84.11,76.40
ne-x,86.75,82.46,61.69,80.87,59.59,71.33,76.20,83.24,83.84,69.81,76.23,55.81,78.72,86.34,79.68,72.06,83.47,90.02,79.71,80.65,76.17,60.21,76.08,74.29,81.95,70.95,85.68,73.28,58.62,78.89,76.32,72.86,83.02,72.43,75.43,83.04,75.08,68.66,77.72,54.69,40.31,49.17,78.48,80.30,84.98,83.60,66.53,85.44,52.46,58.91,42.44,81.64,84.31,40.76,89.36,73.04,78.30,82.55,85.07,68.48,88.70,74.95,82.99,/,73.94,78.41,35.39,65.93,75.50,66.00,81.50,81.30,72.98,75.85,78.43,74.95,73.70,75.20,76.99,77.79,64.86,79.66,69.71,74.07,81.54,86.46,81.36,70.33,83.78,82.58,59.77,68.60,38.20,78.35,38.31,69.39,37.29,76.49,64.39,78.19,57.67,75.19
x-ne,73.10,72.69,54.78,74.51,55.19,44.88,53.13,65.76,75.95,57.15,59.55,55.17,58.41,72.63,60.88,61.50,63.82,67.13,61.53,63.74,62.17,55.26,57.34,61.78,71.55,56.55,78.36,61.22,59.00,79.85,56.73,56.90,70.28,59.39,62.57,63.93,59.61,68.82,56.40,50.80,45.64,57.62,55.25,74.72,76.47,68.50,53.06,60.32,49.03,55.05,44.73,73.90,64.03,38.10,72.38,60.87,59.74,64.33,67.24,75.02,64.49,69.24,74.01,/,59.95,56.43,56.92,58.98,65.84,56.67,77.87,77.31,57.09,69.10,62.96,60.19,57.16,72.93,58.11,56.00,58.73,61.22,53.52,60.59,65.77,59.77,70.56,47.07,74.95,61.34,56.03,55.74,43.11,76.49,58.11,61.58,48.41,66.22,57.26,65.84,61.76,64.25
