direct,af,am,ar,as,ast,az,be,bg,bn,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,ga,gl,gu,ha,he,hi,hr,hu,hy,id,ig,is,it,ja,jv,ka,kam,kea,kk,km,kn,ko,ku,ky,lb,lg,ln,lo,lt,luo,lv,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ns,ny,oc,om,or,pa,pl,ps,pt,ro,ru,sd,sk,sl,sn,so,sr,sv,sw,ta,te,tg,th,tl,tr,uk,umb,ur,uz,vi,wo,xh,yo,zh,zhtrad,zu
en-x,46.38,24.45,35.87,24.13,2.26,20.32,21.72,49.65,32.27,40.11,50.42,8.66,42.52,51.87,52.39,47.45,37.67,/,32.95,38.17,32.65,3.82,37.01,56.52,44.25,42.67,36.00,20.76,42.07,38.18,38.17,37.58,33.57,46.77,20.82,34.83,37.19,30.82,16.00,2.72,2.26,2.28,30.85,17.89,32.03,29.93,21.90,27.91,20.55,6.00,2.82,30.06,37.97,2.58,41.55,22.88,45.38,27.01,24.05,18.52,41.62,61.48,21.50,19.43,35.48,39.36,3.10,19.48,46.39,4.73,31.13,35.05,31.34,20.47,55.00,47.06,38.87,28.46,43.92,39.62,18.23,15.08,43.82,51.68,34.80,28.45,32.39,17.24,24.22,31.99,39.22,38.39,1.56,24.24,0.53,42.02,1.09,22.01,5.11,32.39,0.34,23.50
x-en,62.07,39.55,45.87,33.93,42.27,23.13,20.90,46.06,39.37,47.73,52.76,33.64,45.15,61.56,54.11,49.12,41.32,/,35.05,42.94,42.43,11.99,40.06,49.57,48.39,48.50,44.00,37.30,48.67,45.18,42.92,41.66,43.00,48.30,31.18,40.61,38.27,32.69,31.29,24.90,8.56,36.35,36.66,39.16,36.08,36.31,36.06,29.91,22.88,18.58,6.83,40.89,39.60,5.31,43.16,19.05,48.63,37.51,35.10,38.23,49.37,61.21,33.91,43.02,37.43,49.19,32.84,29.39,60.79,18.69,39.61,44.37,35.20,32.64,54.55,48.55,41.28,43.42,45.23,40.89,29.39,32.31,48.54,52.03,47.85,34.96,41.24,25.74,37.22,51.03,44.50,45.56,5.88,37.94,40.14,41.16,8.41,38.46,19.60,33.77,33.20,39.40
zh-x,24.74,16.55,23.11,16.32,1.99,10.81,18.08,30.85,20.58,24.50,32.19,3.77,27.01,29.80,27.48,28.51,25.42,33.77,24.62,25.83,20.82,2.14,23.73,31.09,28.96,27.92,25.23,7.37,22.72,25.13,22.50,23.55,12.11,28.91,11.12,16.48,27.06,24.60,10.99,4.85,1.51,1.69,22.95,13.07,22.20,22.35,12.26,21.04,14.96,2.56,1.81,21.44,22.87,1.70,28.31,12.23,27.34,13.54,17.33,8.80,25.37,37.56,19.03,14.00,24.57,20.52,1.71,11.30,26.35,2.76,22.73,24.45,20.73,11.32,30.91,27.96,25.69,16.90,21.97,22.55,11.51,10.65,24.53,27.14,15.86,13.86,19.65,15.76,21.02,15.99,21.67,21.82,1.08,16.62,0.26,30.35,0.68,14.47,2.90,/,0.24,13.58
x-zh,28.63,22.55,26.97,20.33,24.28,3.21,20.16,28.26,22.48,24.89,28.56,14.98,26.76,29.17,26.74,28.59,24.31,32.39,26.43,27.55,19.81,9.54,24.61,29.45,26.38,27.01,25.08,19.39,21.81,25.90,23.50,25.03,13.78,25.12,18.26,20.80,25.87,21.87,18.66,8.02,3.38,18.68,24.13,23.98,15.43,25.42,19.70,20.05,16.08,11.68,3.69,24.56,22.98,1.99,27.03,13.22,22.81,12.18,22.26,13.22,25.44,29.93,21.18,18.50,24.62,21.28,16.01,13.25,28.78,11.54,23.52,24.84,23.16,20.61,28.74,26.88,25.42,22.42,24.92,23.43,13.88,18.90,23.31,26.32,18.88,5.27,11.48,8.89,23.25,17.73,21.89,22.17,2.53,22.20,20.73,22.31,6.97,21.36,12.75,/,12.42,21.47
de-x,33.56,19.57,28.63,13.26,2.80,18.44,21.78,41.34,27.66,34.00,41.27,4.36,36.98,37.34,42.46,/,32.69,49.12,30.13,32.69,23.49,2.28,33.13,45.62,36.58,33.13,29.29,10.89,29.56,25.01,33.31,32.99,14.74,33.48,15.06,29.68,34.16,29.77,7.38,5.08,1.98,2.43,25.22,16.74,25.65,25.21,15.14,23.82,33.95,2.84,2.56,23.34,33.96,2.42,35.56,11.53,37.18,15.02,19.65,9.87,31.31,48.05,21.78,13.51,32.71,29.01,2.35,15.21,24.92,2.96,26.53,29.22,28.70,15.17,42.09,38.74,34.02,19.60,36.78,34.99,13.45,12.06,32.62,41.89,22.58,13.29,18.51,13.37,22.62,21.63,27.29,32.92,1.46,19.78,0.31,32.98,0.86,16.69,3.67,28.59,0.42,16.91
x-de,40.63,28.21,31.75,22.93,31.85,12.97,23.30,37.25,29.63,36.75,39.97,18.31,37.00,39.97,40.42,/,33.77,47.45,31.82,34.51,26.49,8.47,33.72,38.46,34.87,33.00,31.36,22.97,32.24,30.79,34.68,34.33,22.49,31.04,21.12,30.85,33.89,27.95,11.31,4.85,5.01,25.69,28.34,28.45,17.67,27.34,24.26,23.06,33.92,11.48,4.35,29.53,32.90,2.88,34.62,14.93,36.42,15.27,26.83,13.87,31.52,41.28,25.46,19.52,31.45,33.05,20.25,18.80,31.75,12.05,28.80,31.47,30.58,25.75,39.08,38.30,33.62,29.92,37.17,35.04,18.34,22.40,34.09,40.57,26.51,10.12,13.19,11.28,29.44,24.96,29.58,36.03,4.01,29.19,28.90,28.19,6.37,25.77,13.32,28.51,23.65,26.80
ar-x,31.22,20.08,/,15.72,0.80,17.27,15.34,35.54,23.32,30.90,38.20,6.46,29.54,36.86,33.20,31.75,29.53,45.87,27.37,31.15,24.29,2.78,25.26,38.41,35.74,33.20,28.95,17.51,28.13,30.04,26.55,29.67,22.14,34.92,15.77,26.36,30.60,27.50,11.46,5.32,1.09,0.92,18.44,14.68,26.25,21.59,18.35,23.76,12.04,3.70,1.94,23.27,31.31,1.13,33.48,18.07,34.95,14.51,19.61,15.02,30.77,45.80,21.42,9.06,28.95,28.42,1.36,13.43,32.88,3.62,26.22,28.77,25.88,13.84,38.96,36.46,29.65,21.51,32.95,31.47,14.38,12.77,33.76,37.21,20.68,23.06,26.79,14.70,22.61,22.60,26.13,30.81,0.67,19.96,0.35,33.92,0.89,17.10,3.34,26.97,0.29,17.35
x-ar,31.65,23.34,/,19.36,26.50,7.21,11.98,28.73,24.39,28.50,30.23,15.56,26.60,32.67,28.49,28.63,26.20,35.87,23.73,27.10,26.37,9.19,22.38,29.37,29.51,29.88,26.91,21.36,28.27,27.60,26.54,27.43,22.70,28.97,17.65,25.01,27.14,23.25,19.54,7.63,4.07,22.86,14.17,24.76,24.09,22.48,22.51,12.25,7.66,10.70,3.49,25.10,26.10,3.04,27.72,14.55,29.99,18.26,24.08,21.63,28.46,33.01,21.76,8.61,24.83,28.89,15.85,13.13,32.57,11.45,25.63,26.90,24.92,21.55,31.48,30.53,25.71,24.99,28.39,27.40,14.92,19.30,30.43,29.92,24.16,14.34,22.95,6.21,23.07,24.32,26.74,29.07,3.34,23.49,19.34,26.26,5.85,22.34,12.63,23.11,23.45,22.49
ne-x,30.47,20.30,8.61,22.80,2.21,12.49,13.48,28.77,27.29,11.54,24.66,3.07,19.06,35.72,24.88,19.52,25.61,43.02,21.47,19.79,19.88,1.93,14.56,27.37,33.44,17.26,31.46,12.71,6.57,31.67,15.29,17.06,24.87,15.76,15.71,24.87,19.37,11.81,10.88,8.21,1.72,1.86,19.67,18.90,27.19,21.67,9.13,23.51,12.58,2.56,1.53,26.42,24.62,2.03,30.34,16.79,22.34,21.03,18.44,20.37,29.97,42.58,19.38,/,16.74,18.31,1.61,13.27,30.40,3.10,28.43,31.18,12.11,17.27,27.05,20.97,14.72,22.34,18.87,18.37,12.00,12.30,14.11,18.85,25.51,23.70,21.79,14.09,21.47,26.18,8.40,9.99,1.24,19.10,0.25,20.05,0.49,17.01,4.31,18.50,0.27,17.31
x-ne,23.20,22.16,9.06,21.99,8.49,3.54,8.77,17.82,23.57,9.90,11.32,11.83,10.26,24.70,11.51,13.51,16.79,19.43,11.04,14.92,14.03,6.72,8.48,13.13,22.62,8.29,26.55,13.66,11.81,24.49,9.08,10.02,20.23,10.79,14.91,15.44,10.78,15.65,12.03,8.10,3.40,11.39,11.51,20.91,22.81,17.04,10.45,12.96,6.44,8.43,3.13,20.92,15.11,1.98,20.69,10.96,13.16,16.72,16.45,23.30,14.54,24.47,20.23,/,11.03,7.71,10.98,11.94,17.73,8.72,25.57,25.89,8.23,19.34,14.11,12.73,10.00,23.85,10.40,8.18,11.33,12.96,9.08,12.07,17.70,12.83,20.87,7.37,20.52,14.98,9.09,9.13,2.46,22.66,12.81,11.13,4.87,18.39,10.31,14.00,11.13,17.44
az-x,20.22,5.58,7.21,11.28,1.09,/,10.20,19.89,11.00,9.92,20.28,1.12,10.92,20.29,15.43,12.97,19.41,23.13,15.10,15.24,5.98,1.83,12.20,18.71,23.33,15.72,19.48,2.12,7.73,10.00,10.22,15.13,12.50,10.19,7.22,10.31,13.12,7.96,2.73,5.18,0.80,1.05,3.53,9.01,16.18,6.36,1.44,5.93,5.46,1.09,0.90,8.14,16.51,1.03,20.85,13.59,21.83,5.39,7.18,2.87,9.95,26.58,12.68,3.54,10.76,11.12,1.18,3.64,16.44,0.87,21.72,20.83,10.47,9.56,18.11,16.82,13.90,5.56,14.49,14.84,3.41,2.44,11.99,13.24,7.21,3.19,6.67,4.58,7.22,9.81,16.86,17.23,0.73,8.43,0.16,14.93,0.37,8.17,1.86,3.21,0.19,6.23
x-az,19.41,16.51,17.27,15.18,12.91,/,12.21,18.06,17.33,17.42,17.82,7.88,16.08,19.35,17.07,18.44,16.91,20.32,15.64,15.79,10.13,6.32,12.83,18.01,18.76,18.16,18.08,11.80,11.07,17.75,16.42,16.14,17.16,16.98,11.11,14.84,11.49,14.74,11.27,8.07,2.82,11.71,12.13,16.20,15.76,14.53,10.59,12.57,8.36,6.61,2.61,16.30,16.59,2.02,18.45,10.34,18.28,14.38,15.26,15.35,17.71,20.10,15.65,12.49,15.89,15.58,9.35,8.39,18.82,7.25,17.61,17.96,15.03,14.53,18.58,18.73,17.95,16.08,16.69,14.14,9.03,9.84,12.30,17.49,13.95,5.90,11.86,5.93,16.60,10.78,18.56,19.01,1.83,16.25,15.95,12.00,4.30,14.19,7.87,10.81,8.28,14.07
ceb-x,28.23,13.01,15.56,15.88,1.59,7.88,10.68,27.62,24.49,19.25,17.98,/,19.35,28.10,26.19,18.31,26.62,33.64,16.38,15.27,17.53,2.16,22.21,20.54,32.58,15.52,25.98,8.83,16.12,22.25,15.60,17.75,11.46,22.35,10.64,19.10,19.29,11.30,7.55,4.17,1.74,1.57,7.56,17.34,18.01,21.31,7.23,11.66,7.80,2.33,1.64,22.20,17.03,1.66,28.65,13.75,26.56,10.15,10.21,6.26,28.49,41.14,19.66,11.83,14.40,17.51,2.07,8.33,25.55,1.94,24.38,27.02,13.20,12.55,21.84,23.29,11.24,12.05,19.19,18.38,8.01,10.35,20.63,16.94,23.35,10.44,13.70,5.44,20.20,27.70,9.97,9.70,1.26,16.62,0.22,25.60,0.59,15.67,2.98,14.98,0.32,12.05
x-ceb,6.06,3.65,6.46,4.17,3.33,1.12,1.68,4.72,7.61,3.85,3.97,/,4.69,6.91,4.97,4.36,5.83,8.66,4.06,2.98,3.89,4.82,4.08,5.15,6.39,3.43,5.33,4.69,5.07,5.31,3.64,4.07,1.50,6.07,4.22,2.94,3.96,2.49,5.49,0.29,2.48,5.44,1.43,6.67,3.57,3.44,2.93,1.57,2.18,4.00,2.46,4.96,2.96,2.10,3.88,9.31,5.55,2.17,2.83,2.97,7.47,9.18,6.74,3.07,3.67,4.75,4.87,3.79,6.12,4.31,5.87,5.86,2.86,6.70,4.19,6.26,3.09,4.57,4.17,3.97,3.32,3.14,4.26,3.92,5.98,1.40,3.44,1.12,3.31,7.20,3.69,2.48,1.72,5.59,1.72,7.09,4.12,4.33,2.99,3.77,2.77,4.06
