direct,af,am,ar,as,ast,az,be,bg,bn,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,ga,gl,gu,ha,he,hi,hr,hu,hy,id,ig,is,it,ja,jv,ka,kam,kea,kk,km,kn,ko,ku,ky,lb,lg,ln,lo,lt,luo,lv,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ns,ny,oc,om,or,pa,pl,ps,pt,ro,ru,sd,sk,sl,sn,so,sr,sv,sw,ta,te,tg,th,tl,tr,uk,umb,ur,uz,vi,wo,xh,yo,zh,zhtrad,zu
en-x,71.56,39.51,54.96,32.11,69.12,48.58,64.49,80.89,45.92,78.97,81.71,53.95,79.52,50.02,83.78,80.33,57.15,/,82.81,41.37,53.74,32.14,64.15,83.41,35.35,75.80,40.54,44.81,53.75,44.11,79.75,77.92,40.07,82.67,24.50,51.19,66.40,61.31,41.37,40.22,30.28,47.48,35.05,30.22,36.38,64.32,15.16,35.34,40.19,30.21,31.53,37.01,51.56,30.22,48.45,38.96,72.38,43.59,35.93,35.45,49.81,32.26,35.17,39.95,80.63,80.31,26.62,29.49,64.66,30.35,34.87,33.69,79.13,35.26,86.73,80.56,81.79,35.18,72.62,78.90,28.70,41.46,66.91,83.43,51.00,41.85,40.83,20.92,53.36,69.72,64.78,82.90,28.20,43.18,42.01,73.23,29.67,34.44,18.68,68.11,60.52,33.01
x-en,83.78,43.50,78.76,57.39,77.51,69.80,55.95,86.11,75.40,86.39,86.57,67.16,86.36,55.23,88.15,87.58,79.85,/,84.79,74.36,79.84,35.67,83.56,87.33,58.49,85.08,48.31,47.20,75.48,80.31,85.64,85.62,56.95,61.11,32.38,69.88,85.62,83.93,48.95,52.13,36.84,58.68,58.70,56.80,58.80,66.60,42.96,54.01,60.10,40.34,40.06,42.17,70.84,33.80,63.68,50.39,82.76,44.16,49.80,64.64,85.65,56.27,47.57,73.19,85.76,86.20,38.48,39.21,77.72,36.65,42.60,43.55,83.95,49.92,88.01,87.15,84.57,48.97,84.38,84.79,39.60,45.29,85.75,88.68,60.50,48.93,51.54,45.23,78.12,81.54,81.62,85.15,34.60,69.64,46.38,81.91,36.75,45.17,35.12,82.62,82.18,39.73
zh-x,63.66,43.49,55.76,34.31,67.83,44.85,47.64,77.22,42.86,74.93,77.46,48.92,71.73,43.26,72.92,71.09,52.20,82.62,80.52,46.07,47.53,34.70,58.25,72.49,39.76,69.51,38.24,44.41,52.14,43.88,77.80,71.18,43.50,78.40,28.84,44.63,71.68,78.75,49.40,39.20,33.74,43.16,34.48,42.92,33.11,72.65,25.46,39.45,40.54,34.02,32.98,30.27,45.96,33.09,42.55,31.24,67.82,49.85,45.73,33.59,70.73,36.59,33.92,41.33,72.17,73.83,30.00,34.45,64.70,35.50,34.21,35.08,72.89,33.79,81.35,71.90,79.91,35.39,61.19,75.67,32.91,42.95,60.26,71.25,47.56,40.42,32.08,26.84,51.15,62.20,59.28,80.38,32.56,43.25,38.13,70.89,33.16,37.88,24.52,/,90.52,36.71
x-zh,55.61,39.32,49.39,35.84,49.85,54.14,37.60,48.09,43.39,54.97,59.83,44.60,62.83,45.40,61.75,66.49,48.52,68.11,59.80,58.34,49.88,27.66,61.77,63.17,43.18,57.37,38.82,38.21,49.20,47.36,63.01,61.13,38.72,67.36,24.52,51.77,62.28,65.74,52.25,41.97,26.78,39.00,39.15,41.79,40.40,65.10,35.33,37.86,34.36,25.90,30.65,35.43,58.90,28.52,59.08,24.12,40.55,37.99,36.57,39.02,63.61,29.64,38.72,41.67,62.76,60.53,26.54,26.25,45.60,31.33,34.40,34.69,64.78,34.93,65.78,58.10,59.68,37.38,54.14,59.83,25.55,37.66,41.77,68.67,47.07,40.52,39.10,35.56,52.79,56.92,61.12,54.60,24.88,46.18,54.48,67.77,28.44,33.14,24.72,/,89.82,32.44
de-x,72.45,35.07,55.27,31.53,68.03,46.18,49.60,79.17,41.60,79.30,80.85,40.47,81.13,43.19,81.40,/,55.10,87.58,81.25,50.65,49.81,33.17,44.00,81.32,39.78,72.94,38.36,41.85,52.37,42.95,81.45,78.28,37.00,78.10,27.14,49.63,79.42,65.00,37.91,38.99,31.59,44.55,36.62,33.05,29.64,62.44,21.61,34.78,39.39,31.87,31.30,29.52,49.15,32.06,46.89,37.23,70.00,42.38,34.02,31.86,73.59,36.08,29.63,38.17,82.98,79.10,28.06,31.62,62.82,34.14,33.31,33.98,79.95,32.23,83.36,79.95,82.24,33.52,73.06,80.77,31.17,41.48,67.62,83.28,40.11,35.98,34.14,26.31,48.27,65.45,62.38,82.64,30.24,40.95,39.51,69.88,30.69,33.32,22.00,66.49,53.76,33.64
x-de,48.28,34.40,66.65,37.84,51.62,57.93,56.40,78.31,50.33,78.35,78.11,38.26,81.69,41.77,80.69,/,63.84,80.33,74.86,65.34,62.74,25.63,74.54,80.27,47.56,58.67,35.21,33.54,64.30,60.94,79.33,78.30,46.91,77.22,26.14,54.38,61.87,72.44,34.23,47.51,27.97,32.65,40.85,40.72,43.83,53.99,33.23,39.53,43.29,28.74,27.78,31.21,63.11,25.93,62.57,30.71,66.69,33.62,39.20,41.55,75.12,38.71,35.52,49.15,80.70,77.73,27.69,28.03,65.19,29.83,27.35,30.58,80.63,37.22,77.30,79.60,78.21,36.58,78.09,79.19,28.54,32.10,76.07,81.75,38.31,41.74,40.09,33.84,53.59,68.74,47.50,78.99,25.94,55.54,40.13,72.78,26.63,30.62,29.36,71.09,68.52,31.09
ar-x,54.78,42.33,/,30.16,61.31,38.01,41.01,65.18,37.64,62.29,72.67,42.17,55.87,39.70,62.87,66.65,52.21,78.76,75.23,37.73,60.19,33.79,45.43,65.10,36.35,56.25,33.17,41.11,48.76,35.07,64.96,61.51,33.30,50.94,27.62,40.22,64.35,51.50,37.59,32.24,33.48,40.71,35.73,30.79,30.56,47.53,24.90,30.62,36.90,32.68,31.48,28.88,35.81,32.33,35.58,32.47,60.65,34.03,32.55,27.39,62.60,36.80,30.39,33.21,70.09,61.81,28.86,34.00,57.66,33.88,29.94,32.36,61.17,45.42,75.56,64.42,60.97,39.96,53.61,65.90,32.68,40.10,49.99,57.59,39.30,35.24,30.09,24.64,43.72,59.80,42.43,66.19,32.89,51.76,35.35,61.31,31.79,34.36,24.58,49.39,40.50,34.42
x-ar,44.80,36.02,/,33.73,47.96,40.19,39.63,57.99,37.94,52.41,57.37,35.21,55.87,38.49,53.58,55.27,51.80,54.96,55.46,46.20,60.68,31.19,52.28,54.95,36.87,50.99,34.10,32.66,54.31,44.21,53.14,53.63,41.33,57.66,29.07,41.89,41.32,53.53,37.86,34.67,31.24,39.73,35.52,38.08,33.53,49.17,32.20,34.95,37.15,32.04,32.72,33.19,45.57,31.50,43.89,27.16,46.72,32.92,33.41,35.18,54.85,37.57,37.92,37.43,53.53,52.55,31.54,31.36,47.01,32.26,33.24,33.37,54.40,42.09,56.56,57.24,60.44,44.26,48.20,51.80,31.70,34.67,52.10,55.84,38.66,37.28,33.91,33.31,38.59,47.04,50.65,59.25,32.21,49.56,35.55,54.63,31.23,32.21,30.38,55.76,53.33,31.68
ne-x,39.98,36.31,37.43,39.39,51.12,37.52,37.38,50.40,46.66,42.14,57.04,43.47,43.33,37.71,47.10,49.15,50.51,73.19,65.78,37.77,36.42,33.85,38.20,53.12,35.36,49.19,54.26,38.34,37.46,59.27,48.13,42.44,37.30,52.94,29.84,36.57,52.27,43.02,38.51,36.16,29.71,39.80,32.26,33.22,37.58,43.20,29.02,31.71,37.25,32.85,36.56,31.38,34.88,33.07,34.40,30.09,40.85,43.29,34.05,55.43,45.47,36.72,33.89,/,55.85,42.79,28.02,35.46,46.19,35.43,44.78,48.06,43.81,34.59,62.99,43.74,52.38,35.36,38.53,50.08,34.23,37.55,35.41,42.64,40.09,38.65,41.62,28.10,40.42,54.05,44.87,51.63,34.44,45.51,35.70,47.31,33.04,34.17,27.98,41.67,38.64,34.13
x-ne,35.66,37.42,33.21,38.41,30.65,45.05,28.98,33.91,43.95,41.46,38.43,30.27,41.21,29.76,37.58,38.17,36.26,39.95,38.40,43.71,34.31,20.33,42.82,38.53,32.70,37.28,44.84,33.84,34.22,59.73,43.61,42.80,36.48,39.87,16.64,36.90,38.28,36.71,40.72,31.58,20.77,25.23,31.57,33.14,35.74,38.20,29.89,31.33,26.69,20.42,22.24,32.97,41.73,18.17,44.52,17.57,31.29,38.46,31.40,54.10,39.35,24.79,39.74,/,38.14,38.76,20.43,21.49,28.74,28.46,39.28,38.99,42.02,29.29,39.35,36.81,36.21,31.13,41.85,43.38,21.19,34.96,33.10,38.90,36.50,35.37,39.16,30.25,35.74,37.58,48.15,35.79,19.52,40.09,52.02,37.26,20.19,27.00,20.77,41.33,42.99,26.69
