direct,af,am,ar,as,ast,az,be,bg,bn,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,ga,gl,gu,ha,he,hi,hr,hu,hy,id,ig,is,it,ja,jv,ka,kam,kea,kk,km,kn,ko,ku,ky,lb,lg,ln,lo,lt,luo,lv,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ns,ny,oc,om,or,pa,pl,ps,pt,ro,ru,sd,sk,sl,sn,so,sr,sv,sw,ta,te,tg,th,tl,tr,uk,umb,ur,uz,vi,wo,xh,yo,zh,zhtrad,zu
en-x,12.57,0.20,3.66,0.22,11.76,1.36,1.60,27.94,2.51,20.04,33.67,6.25,23.59,4.07,30.41,29.08,4.81,/,26.33,1.33,6.72,2.62,4.52,40.94,0.53,11.04,0.39,2.45,2.39,2.32,20.36,18.05,0.92,24.99,1.13,3.84,14.02,3.03,1.07,1.07,2.39,2.89,0.18,0.05,0.52,5.59,0.17,0.13,2.28,2.26,2.04,0.73,4.07,3.13,2.58,3.40,12.54,0.21,0.17,0.59,0.82,1.35,0.28,1.37,22.63,16.83,2.59,2.18,7.15,0.71,0.37,0.32,17.74,0.56,43.66,27.70,26.03,0.16,12.72,20.09,2.21,2.41,5.78,29.23,2.86,0.51,0.96,0.11,2.44,14.35,8.93,27.27,1.46,1.64,1.14,17.62,2.54,1.99,1.38,7.86,1.86,1.44
x-en,46.38,0.81,26.74,4.94,32.93,10.57,6.35,38.82,16.10,38.86,43.63,24.05,38.37,12.06,46.11,42.93,24.64,/,29.82,18.58,23.68,4.29,26.83,43.11,11.19,36.84,2.37,4.57,24.11,22.47,36.11,32.96,6.91,12.17,3.52,17.56,32.86,21.13,4.04,3.88,4.75,17.50,7.54,7.27,6.15,12.04,2.75,5.73,18.78,5.36,4.94,2.70,17.32,4.24,12.88,10.38,34.51,1.09,2.32,9.51,37.97,14.39,1.93,12.69,32.26,41.14,6.14,5.45,38.50,1.31,1.23,1.72,29.67,4.74,47.22,39.07,34.33,2.79,34.28,32.61,5.08,4.32,40.65,46.74,12.91,2.48,4.02,5.25,18.12,35.28,25.09,37.27,3.10,13.89,2.21,27.86,4.30,7.09,3.79,22.10,21.67,3.18
zh-x,4.32,0.04,2.49,0.04,6.74,0.98,0.63,14.76,1.31,10.21,18.62,2.31,9.95,1.68,10.69,10.29,1.97,22.10,16.75,1.18,3.58,0.29,2.19,15.79,0.14,6.17,0.15,0.62,1.03,1.80,11.13,10.41,0.17,11.55,0.55,1.30,9.83,5.98,0.69,0.22,0.51,0.77,0.04,0.18,0.30,8.37,0.06,0.13,0.82,0.97,0.18,0.05,1.86,0.64,1.01,0.88,6.33,0.12,0.12,0.33,6.71,0.32,0.03,0.80,9.47,6.65,0.60,0.99,4.02,0.16,0.12,0.20,8.90,0.14,20.24,10.98,13.99,0.04,4.69,11.48,0.93,0.78,3.61,6.62,0.77,0.23,0.33,0.02,1.55,6.65,5.18,13.70,0.57,0.68,0.29,10.79,0.49,0.56,0.37,/,22.33,0.62
x-zh,3.29,0.15,2.42,0.05,3.88,1.37,0.02,1.93,0.80,2.27,3.67,1.96,3.64,1.04,4.43,6.96,1.85,7.86,3.43,1.64,2.19,0.65,3.08,5.07,0.63,3.59,0.27,0.77,2.45,1.27,1.91,3.07,0.23,5.60,0.48,1.38,3.98,5.42,1.28,0.66,0.62,2.15,0.06,1.06,0.36,4.18,0.02,0.02,1.39,0.60,1.06,0.28,1.16,0.77,1.33,0.61,0.12,0.12,0.01,0.20,6.03,0.79,0.08,0.11,4.73,3.92,0.72,0.57,3.42,0.30,0.15,0.30,4.13,0.01,3.81,4.23,6.22,0.20,1.89,2.25,0.67,0.66,0.18,6.95,1.18,0.45,0.32,0.00,1.86,2.38,2.82,3.53,0.42,1.49,0.64,5.32,0.75,0.70,0.39,/,18.36,0.87
de-x,5.43,0.00,3.82,0.12,11.03,1.36,1.19,21.69,2.03,17.78,30.06,0.79,19.95,3.76,25.21,/,3.90,42.93,24.17,3.04,5.53,1.11,0.64,33.69,1.08,9.53,0.42,0.76,2.31,3.44,18.79,16.73,1.13,17.89,0.83,3.50,21.78,3.12,0.29,0.91,1.07,1.77,0.11,0.03,0.04,4.42,0.01,0.03,1.07,0.85,0.37,0.10,3.23,1.97,2.04,2.48,10.25,0.23,0.13,0.60,11.67,0.79,0.02,1.61,23.80,14.58,1.00,1.07,6.28,0.25,0.19,0.30,15.65,0.12,31.37,23.31,22.36,0.05,11.17,19.56,1.41,1.13,5.51,26.12,1.52,0.40,0.64,0.04,1.70,10.86,7.39,22.20,1.15,1.39,1.10,13.95,0.11,0.29,0.47,6.96,1.46,0.65
x-de,4.34,0.16,13.55,0.81,8.79,4.94,7.38,23.06,3.57,23.25,25.02,2.48,23.99,3.17,27.24,/,10.56,29.08,17.65,10.15,10.63,1.58,15.33,25.84,5.42,11.21,0.31,1.35,12.24,7.97,22.70,20.40,3.05,20.24,0.18,7.23,11.43,10.25,0.83,3.28,0.36,0.51,0.98,2.22,1.77,4.89,0.25,0.74,8.73,1.56,0.29,0.70,9.47,0.26,8.18,2.27,15.82,0.10,0.38,1.48,18.94,3.55,0.52,2.99,22.00,22.37,2.59,1.44,19.70,0.18,0.07,0.35,20.65,0.82,22.51,24.43,20.96,0.47,21.70,21.73,0.35,0.73,22.54,28.15,1.09,1.11,1.17,0.20,5.34,16.75,2.56,22.70,0.30,6.07,0.93,15.88,0.54,0.12,0.67,10.29,9.13,0.83
ar-x,2.61,0.01,/,0.00,6.21,0.46,0.23,12.76,0.76,8.69,20.46,0.39,7.06,1.36,10.90,13.55,2.18,26.74,16.67,0.10,2.22,0.10,0.69,15.98,0.04,3.67,0.11,0.26,3.37,1.19,9.72,7.49,0.28,2.85,0.10,0.49,10.91,2.70,0.03,0.01,0.48,0.30,0.06,0.00,0.10,1.66,0.09,0.00,0.27,0.26,0.00,0.02,0.32,0.37,0.36,0.76,4.41,0.04,0.01,0.09,6.62,0.29,0.01,0.56,12.28,5.24,0.09,0.40,3.48,0.00,0.03,0.04,7.27,0.25,20.45,12.31,8.26,0.14,3.66,11.03,0.46,0.31,4.19,6.56,0.14,0.12,0.15,0.01,0.67,7.03,1.99,10.18,0.02,0.44,0.02,9.22,0.11,0.04,0.07,2.42,0.05,0.12
x-ar,1.05,0.08,/,0.05,2.71,0.55,0.47,5.17,0.29,2.62,4.59,0.09,3.61,0.83,2.58,3.82,2.56,3.66,3.30,0.93,1.14,0.45,1.85,4.15,0.65,3.03,0.00,0.17,3.92,1.23,2.59,2.84,0.89,4.67,0.09,0.92,0.30,2.40,0.52,0.07,0.07,1.52,0.30,0.31,0.00,1.68,0.19,0.21,0.35,0.03,0.49,0.00,0.82,0.17,0.84,0.37,2.28,0.00,0.07,0.38,4.00,1.38,0.09,0.30,2.79,1.99,0.06,0.04,3.25,0.11,0.00,0.00,3.23,0.18,4.44,4.65,5.50,0.29,1.66,2.18,0.06,0.13,3.71,3.29,0.74,0.10,0.01,0.02,0.04,2.15,2.27,5.37,0.03,0.39,0.18,3.10,0.16,0.01,0.02,2.49,1.88,0.03
ne-x,0.34,0.00,0.30,0.76,1.66,0.29,0.26,2.68,4.87,0.72,5.31,0.38,0.89,1.09,1.95,2.99,1.44,12.69,6.81,0.14,0.99,0.04,0.20,5.29,0.00,1.07,0.29,0.31,0.13,4.73,1.70,0.40,0.09,2.85,0.02,0.08,2.75,0.53,0.14,0.10,0.29,0.03,0.00,0.01,0.44,0.44,0.02,0.00,0.24,0.44,0.03,0.01,0.08,0.02,0.07,0.05,0.36,0.40,0.02,2.88,1.10,0.00,0.04,/,3.68,0.83,0.14,0.04,0.49,0.00,1.29,0.29,0.63,0.15,7.38,1.22,2.37,0.04,0.52,2.69,0.13,0.07,0.08,0.93,0.25,0.55,1.65,0.00,0.45,3.09,2.15,2.80,0.05,0.28,0.02,1.80,0.00,0.10,0.03,0.11,0.00,0.05
x-ne,0.73,0.12,0.56,1.86,0.85,0.40,0.03,0.51,2.43,0.57,1.29,0.76,0.92,0.81,0.93,1.61,0.32,1.37,1.27,0.57,0.72,0.64,0.76,1.65,0.68,0.70,0.35,0.74,0.31,5.05,0.78,0.90,0.08,1.16,0.55,0.67,1.46,0.50,0.75,0.75,0.64,0.85,0.23,0.50,1.47,0.77,0.25,0.60,0.86,0.67,0.69,0.14,0.33,0.61,0.27,0.48,0.20,0.13,0.16,3.15,1.33,0.75,0.10,/,1.26,0.91,0.73,0.63,0.96,0.34,1.35,0.23,0.77,0.68,1.34,0.74,1.32,0.47,0.52,0.70,0.48,0.61,0.44,1.41,0.71,0.62,1.21,0.55,0.30,1.01,0.87,0.97,0.41,1.19,0.37,0.89,0.62,0.55,0.36,0.80,0.57,0.44
