direct,af,am,ar,as,ast,az,be,bg,bn,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,ga,gl,gu,ha,he,hi,hr,hu,hy,id,ig,is,it,ja,jv,ka,kam,kea,kk,km,kn,ko,ku,ky,lb,lg,ln,lo,lt,luo,lv,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ns,ny,oc,om,or,pa,pl,ps,pt,ro,ru,sd,sk,sl,sn,so,sr,sv,sw,ta,te,tg,th,tl,tr,uk,umb,ur,uz,vi,wo,xh,yo,zh,zhtrad,zu
en-x,87.05,87.27,86.29,82.21,72.08,86.82,85.07,90.46,86.36,90.21,87.45,71.09,90.43,86.19,90.32,87.47,88.69,/,86.17,89.84,86.49,57.67,90.87,87.92,79.33,87.19,87.60,80.53,87.20,81.06,89.67,88.65,89.47,91.12,72.33,83.89,87.99,88.05,87.19,84.85,57.33,61.14,89.43,77.75,86.28,88.42,78.10,87.85,56.98,62.54,65.27,83.41,88.72,62.46,85.79,68.29,88.38,87.69,85.53,74.66,89.10,70.87,84.33,79.95,87.43,89.00,66.71,63.08,71.11,77.53,84.37,84.11,88.47,78.56,89.32,89.73,88.70,80.91,90.04,88.85,62.07,80.77,88.37,90.31,83.70,89.10,86.53,76.45,83.06,84.46,89.32,88.58,53.36,82.18,89.78,87.87,60.01,76.16,65.79,80.86,75.49,77.69
x-en,89.21,86.96,87.42,85.43,83.08,86.63,83.27,87.83,88.69,88.57,88.55,83.17,88.02,87.48,89.86,89.08,87.59,/,86.90,88.54,87.75,57.73,89.46,88.91,83.52,88.31,90.21,80.79,87.61,89.73,87.58,87.95,88.10,89.09,74.41,84.42,87.90,87.46,84.68,86.19,62.33,80.56,87.27,85.84,88.04,87.31,78.38,85.45,81.32,69.41,74.75,86.40,85.71,70.36,86.54,71.30,87.29,88.97,83.46,88.37,88.40,82.94,86.80,90.65,87.31,87.51,75.80,74.68,86.23,75.53,89.09,89.32,85.85,84.59,89.47,89.11,86.28,86.90,87.88,87.25,74.50,79.27,87.29,89.68,85.39,87.36,88.63,77.86,86.71,87.07,88.99,86.87,60.32,87.51,87.49,86.86,64.09,80.87,67.89,86.19,85.50,81.37
zh-x,82.14,81.65,82.19,77.55,60.62,82.87,84.27,86.42,81.13,86.59,83.79,68.27,87.01,79.59,86.16,82.49,85.06,86.19,83.52,85.54,82.63,53.06,85.98,83.18,74.85,84.14,81.72,77.18,81.97,72.60,86.62,83.89,84.60,86.99,71.48,80.50,84.99,86.93,83.71,82.87,56.33,58.66,85.28,74.33,80.20,85.65,72.72,84.63,55.09,61.83,65.08,79.00,86.10,62.23,76.19,65.17,84.81,82.17,81.25,66.61,85.02,65.00,80.46,75.14,83.94,85.39,65.07,63.38,68.00,72.85,77.95,77.63,85.91,74.37,85.30,85.37,86.33,74.31,85.82,85.25,62.02,77.50,84.16,85.75,80.31,84.25,79.65,74.55,79.05,79.76,83.38,85.22,55.14,77.45,85.05,86.89,55.44,73.65,65.30,/,85.42,74.61
x-zh,78.39,80.51,78.60,78.35,78.26,79.52,78.24,76.91,80.72,75.92,79.60,76.20,77.47,78.12,79.67,79.53,78.27,80.86,78.33,77.13,80.58,54.34,78.31,79.82,75.88,78.14,82.39,75.68,76.86,80.59,76.34,77.52,79.41,79.10,70.15,75.50,78.54,81.73,76.97,79.03,59.59,75.83,80.96,79.98,80.26,80.61,72.93,77.56,75.40,66.05,71.75,79.96,76.95,67.34,76.65,67.47,77.01,79.70,75.24,79.89,78.99,73.20,80.40,82.82,77.41,79.96,70.98,70.73,80.30,70.05,81.62,82.02,76.04,78.32,78.87,79.20,79.60,78.85,76.51,76.39,71.38,73.88,80.57,79.69,78.34,79.05,80.28,73.07,79.13,77.90,78.64,77.85,58.19,79.30,81.35,80.74,60.31,74.75,64.64,/,86.35,75.82
de-x,85.15,84.66,83.49,78.13,68.06,83.91,85.06,88.83,82.00,89.21,84.90,67.68,90.54,82.13,88.95,/,86.55,89.08,84.15,88.15,83.85,55.01,88.40,85.48,77.00,85.26,83.54,77.58,84.85,75.01,89.00,86.82,87.12,88.49,70.64,83.00,86.40,86.03,84.67,85.03,55.94,60.12,86.65,77.29,82.39,85.55,75.12,85.27,56.84,60.99,64.07,80.87,87.63,61.55,84.06,66.88,86.84,83.74,82.17,68.27,86.39,67.00,82.43,76.64,87.27,87.95,64.72,61.41,67.38,75.45,79.23,79.22,88.73,75.96,86.61,88.51,87.86,76.95,89.91,88.43,60.95,78.17,86.79,88.74,81.41,85.68,82.20,74.29,80.82,81.31,85.66,87.50,53.10,78.97,87.03,86.72,58.45,73.15,65.67,79.53,73.56,74.57
x-de,84.04,80.80,82.48,78.94,78.31,82.24,81.54,84.37,82.70,85.28,83.98,76.89,86.34,80.72,86.36,/,83.20,87.47,83.24,84.44,82.60,51.79,84.85,84.98,77.25,84.28,84.12,74.78,83.46,83.91,84.80,84.77,83.46,83.88,69.05,80.40,84.49,83.17,78.12,82.12,56.67,76.73,82.01,79.98,82.27,82.39,72.59,80.59,79.22,64.07,70.32,80.62,82.75,65.66,83.28,65.87,83.44,83.27,77.58,82.63,82.78,76.79,81.37,84.57,85.16,82.15,70.45,69.47,80.80,69.13,82.95,83.17,84.30,78.82,85.03,85.31,83.73,80.65,86.09,85.14,70.04,73.99,83.63,86.18,79.35,81.48,82.31,72.93,81.41,81.31,83.80,83.65,56.05,82.07,83.29,83.13,58.58,74.59,62.97,82.49,81.63,75.31
ar-x,82.00,84.22,/,76.53,70.06,82.05,83.84,87.24,80.32,86.50,83.95,68.91,86.99,82.68,86.22,82.48,86.14,87.42,83.24,85.15,84.62,55.79,85.71,83.90,76.26,84.16,81.74,78.28,84.83,71.97,86.24,83.96,85.70,86.72,72.21,80.89,84.74,83.91,83.33,83.88,57.12,59.82,85.97,75.94,81.28,84.29,77.79,84.40,57.24,63.04,66.15,78.92,85.87,63.45,81.81,68.76,84.97,82.94,81.34,65.49,84.42,68.28,81.51,74.12,83.23,85.02,66.38,63.21,69.68,76.06,77.14,77.13,85.59,75.92,85.09,86.05,86.32,76.57,86.67,85.16,62.61,78.07,84.60,85.71,81.17,85.44,81.32,75.86,80.23,80.76,84.18,86.28,55.28,78.92,85.32,85.53,59.68,73.73,67.03,78.60,74.31,74.87
x-ar,82.64,82.39,/,79.34,80.81,81.27,80.60,82.57,82.52,82.04,84.17,78.64,82.99,81.83,84.19,83.49,83.37,86.29,83.92,81.88,84.74,57.09,82.97,84.77,78.26,84.17,83.58,77.04,83.95,83.04,82.00,82.19,83.33,83.02,71.84,79.17,83.79,82.12,78.07,82.03,62.46,77.09,82.52,81.22,82.47,82.35,76.26,80.43,78.07,68.10,73.95,80.43,81.34,70.05,81.74,68.79,81.78,83.34,78.81,82.24,81.89,77.78,81.90,83.91,81.95,80.71,73.41,72.86,82.44,72.19,82.61,82.68,82.13,80.63,84.56,83.74,82.76,81.83,83.11,82.08,73.09,76.36,82.16,84.25,81.48,82.50,82.94,75.09,82.05,81.23,83.13,82.99,60.90,83.53,82.54,83.05,63.25,76.21,66.46,82.19,81.33,77.43
ne-x,85.92,84.80,83.91,80.27,71.50,83.93,84.57,88.20,83.43,88.72,86.60,76.05,88.58,84.59,88.47,84.57,85.76,90.65,85.54,87.52,84.49,60.99,87.69,85.85,80.14,86.13,85.08,81.95,84.49,79.20,88.34,85.31,86.50,89.11,77.52,83.16,86.09,86.21,86.80,84.32,62.55,66.26,86.91,77.26,84.62,85.88,77.16,85.27,63.84,68.63,72.63,81.08,87.36,69.94,83.93,72.46,86.61,85.35,84.03,72.88,88.08,73.77,83.31,/,85.72,87.83,73.00,69.73,75.95,78.38,81.30,81.01,87.42,76.23,87.78,87.51,86.85,78.90,88.07,87.24,68.94,81.66,85.95,88.15,84.95,87.74,84.50,79.15,81.50,84.27,86.01,86.94,61.25,80.78,87.21,87.40,63.44,77.50,70.61,82.82,79.78,78.28
x-ne,77.49,73.20,74.12,73.47,76.02,74.09,71.93,75.89,76.82,76.83,78.11,74.69,76.34,74.35,78.92,76.64,73.86,79.95,77.54,76.11,76.13,54.43,77.16,78.33,72.05,77.43,78.06,70.81,75.14,80.45,76.50,75.21,75.02,78.18,67.56,72.88,76.89,75.71,73.15,73.39,59.03,73.47,74.47,73.85,76.64,75.30,66.61,72.20,73.84,63.99,69.96,73.99,75.02,65.71,75.34,65.93,74.75,76.23,71.62,78.58,77.68,72.34,73.89,/,76.31,75.78,69.88,68.35,77.66,66.32,77.50,77.35,75.63,72.28,78.79,77.09,74.86,74.90,76.68,76.11,68.65,70.37,74.91,78.64,75.33,75.84,77.01,68.04,74.33,76.71,76.42,75.31,56.78,76.28,74.97,77.39,59.36,69.37,61.96,75.14,74.30,69.68
