direct,af,am,ar,as,ast,az,be,bg,bn,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,ga,gl,gu,ha,he,hi,hr,hu,hy,id,ig,is,it,ja,jv,ka,kam,kea,kk,km,kn,ko,ku,ky,lb,lg,ln,lo,lt,luo,lv,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ns,ny,oc,om,or,pa,pl,ps,pt,ro,ru,sd,sk,sl,sn,so,sr,sv,sw,ta,te,tg,th,tl,tr,uk,umb,ur,uz,vi,wo,xh,yo,zh,zhtrad,zu
en-x,72.04,25.99,80.53,28.51,65.40,29.98,62.74,64.34,31.67,45.45,74.63,39.43,71.64,33.13,39.05,82.20,48.31,/,83.45,29.40,42.92,31.62,30.77,84.50,32.61,78.43,29.99,32.46,67.10,41.64,53.60,30.95,35.20,65.38,28.60,25.02,81.22,72.62,53.15,28.58,29.11,41.91,44.37,26.80,26.44,82.62,25.06,39.69,42.91,26.66,26.71,39.65,30.91,29.20,29.15,25.78,47.62,29.71,39.39,20.78,75.90,50.90,28.17,22.50,82.15,41.59,26.20,28.19,49.34,23.60,28.78,24.95,82.88,22.68,85.22,50.12,84.79,25.34,60.28,46.43,26.44,30.76,40.69,37.68,32.76,25.95,28.31,27.06,81.02,45.24,64.46,78.05,28.42,27.20,31.51,85.26,28.57,28.40,26.24,82.47,76.65,29.80
x-en,61.06,39.48,77.65,35.95,63.89,54.17,49.00,62.87,41.48,52.82,74.32,44.37,81.62,42.09,61.55,86.74,58.50,/,70.44,47.37,48.67,29.68,47.18,79.85,42.75,78.51,36.90,36.73,76.36,43.99,53.99,50.12,47.44,78.21,31.68,48.16,66.14,76.69,49.79,38.83,35.22,43.50,37.15,38.09,37.93,84.48,36.99,32.89,40.28,36.36,33.67,36.19,46.17,32.11,47.87,35.14,53.63,39.35,40.84,31.20,69.49,48.62,37.87,25.76,76.84,60.79,32.72,35.24,59.63,26.79,33.46,36.09,82.84,37.27,81.05,62.95,83.96,34.69,63.44,51.26,32.92,33.61,54.34,63.91,37.82,42.93,40.02,29.37,76.86,51.13,78.75,83.78,28.79,39.27,45.59,84.48,30.16,32.77,29.08,85.90,84.23,36.46
zh-x,65.64,52.17,51.35,43.49,58.85,55.77,43.15,52.48,50.66,62.05,65.47,48.47,60.01,56.41,70.38,61.95,54.80,85.90,69.72,60.65,59.44,34.93,63.20,66.93,51.45,66.79,47.91,50.79,59.23,47.65,61.17,61.15,54.88,70.87,28.58,56.19,68.59,62.22,58.92,51.78,33.42,48.14,53.49,56.10,53.45,61.32,22.35,48.80,41.85,31.35,34.12,53.16,59.33,33.03,58.11,25.86,51.74,49.93,53.81,44.83,67.44,37.23,49.04,47.77,65.59,71.00,29.64,33.15,55.74,35.47,47.75,43.70,64.38,50.04,71.65,63.11,48.40,47.88,61.30,60.43,31.32,46.48,51.11,70.90,59.23,55.68,51.05,23.93,57.68,61.05,59.63,49.24,31.74,49.53,55.01,62.76,33.25,39.60,22.80,/,86.41,37.88
x-zh,43.92,40.72,58.32,37.67,43.28,41.64,39.96,46.24,44.84,44.19,63.83,29.35,58.02,34.54,51.61,63.13,51.31,82.47,68.23,38.18,37.75,24.73,39.87,69.10,33.19,59.78,38.30,29.88,54.53,37.78,45.52,40.68,31.40,61.15,25.67,39.93,60.51,62.63,41.93,37.64,28.75,31.94,44.69,40.73,37.06,62.65,26.82,34.92,29.75,28.87,26.28,38.34,39.62,27.86,41.13,31.34,39.27,37.16,31.77,38.17,57.43,36.01,40.46,37.92,59.24,49.17,26.05,26.84,42.15,24.80,34.21,35.29,57.95,39.94,60.93,50.53,62.78,34.37,47.91,41.53,28.10,28.69,40.63,51.17,34.84,41.68,37.55,25.87,62.13,41.68,59.18,61.50,24.55,36.03,37.50,62.33,26.28,25.47,24.35,/,86.23,30.52
de-x,68.65,27.53,72.20,30.59,60.33,51.52,41.82,55.68,36.47,60.46,67.47,42.92,62.73,49.43,67.91,/,50.65,86.74,75.53,61.61,51.87,31.90,55.23,75.21,48.85,68.30,34.60,37.32,61.18,39.99,57.88,58.19,41.49,70.03,26.76,49.48,79.92,60.98,51.54,32.03,29.70,43.77,39.50,37.32,41.49,77.26,20.64,40.15,48.25,27.02,30.19,34.00,56.31,28.56,56.94,23.08,44.05,33.40,39.78,27.87,65.09,37.59,33.81,37.90,79.21,65.07,27.65,28.42,47.99,32.08,34.93,28.12,78.43,32.88,75.78,58.92,66.57,34.57,56.84,60.47,28.18,39.00,42.99,66.03,48.09,30.68,33.55,22.87,73.05,51.19,61.33,55.36,27.35,37.98,38.26,74.68,29.61,34.63,21.86,63.13,60.29,32.48
x-de,53.65,34.97,56.49,32.02,53.22,46.60,42.38,50.46,38.87,47.92,62.93,37.21,73.44,39.27,56.92,/,56.27,82.20,64.12,42.27,43.33,24.09,41.88,72.78,37.16,68.18,33.77,28.20,61.73,38.56,49.32,43.76,44.40,63.97,25.31,43.11,60.24,65.66,42.91,36.58,29.39,34.82,35.28,31.93,32.45,61.93,22.80,32.13,30.74,29.12,26.22,30.59,44.13,26.23,44.88,28.89,43.74,33.88,36.97,33.95,54.93,40.01,32.72,37.33,73.25,54.35,26.03,25.22,49.75,24.35,28.72,32.60,74.99,36.70,64.62,50.00,73.33,31.49,58.44,47.56,28.78,32.07,45.56,57.43,35.69,38.82,35.05,21.53,56.95,44.35,69.63,74.11,21.42,36.84,40.41,70.27,24.65,25.93,22.57,61.95,60.76,31.50
ar-x,60.15,36.10,/,34.22,54.09,50.03,42.02,49.48,44.21,55.74,58.02,42.88,53.35,48.42,54.63,56.49,52.48,77.65,63.36,54.60,62.04,31.44,51.51,63.66,48.53,62.89,41.16,42.45,61.26,43.22,54.43,53.38,48.99,63.39,26.03,50.64,64.73,52.89,49.59,38.67,31.67,41.50,40.91,44.22,40.36,55.90,23.96,38.52,38.64,28.45,30.58,40.57,52.06,29.69,53.53,24.64,44.20,40.31,40.19,37.65,55.98,35.05,36.06,40.39,62.64,57.74,28.24,30.23,47.29,31.76,37.01,31.04,62.15,43.78,65.02,55.80,46.20,45.51,50.45,55.94,28.63,41.66,40.55,51.80,51.50,41.61,38.02,23.14,53.82,55.66,51.61,46.74,30.05,49.39,41.72,55.86,30.22,33.81,21.83,58.32,51.58,35.47
x-ar,42.22,41.71,/,37.28,51.42,46.50,39.88,44.07,42.78,40.58,61.57,36.97,55.83,35.39,47.68,72.20,54.69,80.53,60.01,36.16,54.32,27.48,38.88,72.94,34.65,59.60,37.15,29.02,58.50,38.85,40.86,38.10,33.56,53.17,27.72,40.24,49.24,54.26,36.18,38.01,32.56,36.20,32.49,37.68,36.86,53.86,27.77,26.96,38.75,28.28,28.73,33.78,37.37,30.16,38.16,32.70,40.29,37.05,30.60,36.42,42.77,38.74,37.26,39.71,63.80,46.30,27.02,32.60,49.54,24.56,32.73,35.48,65.92,49.49,58.08,46.61,69.62,43.53,46.49,38.90,28.12,30.60,40.05,48.00,33.04,42.00,39.48,25.00,53.76,43.56,56.62,64.82,29.86,47.77,38.22,56.81,29.41,24.78,22.94,51.35,55.82,31.46
ne-x,41.61,42.99,39.71,45.43,38.60,42.03,26.05,40.58,54.03,40.45,38.07,37.17,40.46,35.81,40.30,37.33,39.95,25.76,44.02,42.95,47.24,29.50,40.26,41.67,33.07,37.26,55.62,39.88,42.94,60.17,38.98,39.52,49.34,47.10,23.36,34.80,46.51,24.25,42.21,31.99,27.67,35.86,39.60,43.66,49.44,42.49,27.08,34.45,29.38,25.90,26.81,41.78,39.97,25.77,39.35,20.76,39.25,47.14,41.09,56.40,45.30,43.99,38.02,/,45.51,35.35,23.66,26.74,34.32,28.74,51.44,51.31,39.94,42.69,38.81,39.19,35.66,44.99,36.95,37.68,25.98,26.49,36.47,37.48,42.61,40.13,47.96,20.60,38.27,44.25,34.81,39.45,25.07,48.97,34.96,45.57,25.32,26.52,17.44,37.92,39.22,29.67
x-ne,24.76,38.86,40.39,46.08,25.07,34.00,30.13,36.91,51.54,36.85,34.66,18.67,47.02,29.04,35.68,37.90,46.74,22.50,36.25,31.15,40.95,18.33,31.08,39.43,26.66,35.46,47.49,23.78,40.33,62.52,38.49,34.75,51.72,34.52,16.87,30.74,30.62,48.45,25.44,42.97,19.37,21.69,40.76,36.69,41.35,49.14,23.33,25.98,19.49,21.63,17.33,34.61,34.96,18.57,36.28,18.86,32.02,39.82,37.48,55.59,32.04,22.88,39.71,/,36.54,35.13,19.10,18.61,25.69,17.76,40.90,47.59,39.56,40.96,35.50,31.14,41.37,39.07,40.89,38.09,19.02,23.12,37.35,34.69,23.64,47.28,42.33,22.62,50.27,21.60,34.09,46.61,17.65,43.48,29.81,41.05,17.97,19.74,16.80,47.77,51.09,22.77
