direct,af,am,ar,as,ast,az,be,bg,bn,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,ga,gl,gu,ha,he,hi,hr,hu,hy,id,ig,is,it,ja,jv,ka,kam,kea,kk,km,kn,ko,ku,ky,lb,lg,ln,lo,lt,luo,lv,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ns,ny,oc,om,or,pa,pl,ps,pt,ro,ru,sd,sk,sl,sn,so,sr,sv,sw,ta,te,tg,th,tl,tr,uk,umb,ur,uz,vi,wo,xh,yo,zh,zhtrad,zu
en-x,6.61,0.00,23.09,0.01,11.66,0.41,1.22,2.06,0.07,1.21,6.84,2.35,12.34,1.10,2.10,36.64,0.36,/,28.54,0.50,0.37,2.44,0.83,46.87,1.02,13.49,0.01,1.14,8.73,0.20,1.68,0.88,0.07,14.13,1.14,0.65,26.81,9.97,4.48,0.03,2.03,1.97,0.96,0.17,0.04,16.97,0.12,0.71,2.85,1.72,0.93,0.90,0.60,1.62,0.32,1.56,0.67,0.01,0.21,0.04,13.97,3.85,0.01,0.14,25.51,1.94,2.38,1.36,3.21,0.22,0.02,0.13,19.35,0.11,40.79,2.53,28.93,0.11,3.53,1.48,1.56,0.77,0.40,2.13,1.10,0.01,0.03,0.37,21.04,2.05,9.31,8.58,1.01,0.08,0.41,35.93,2.05,1.26,0.89,25.21,5.94,1.28
x-en,13.00,0.23,26.96,0.23,18.95,3.15,2.11,9.67,0.19,4.05,23.72,3.43,28.88,1.85,11.19,39.75,0.83,/,11.04,2.26,1.86,0.97,2.46,21.58,2.43,25.91,0.22,1.31,24.41,0.61,4.55,2.55,0.33,28.34,1.50,3.73,7.79,13.81,3.82,0.40,1.47,4.51,0.85,0.92,0.20,24.02,0.66,0.35,4.29,1.61,1.65,1.22,2.09,0.91,1.48,1.99,5.16,0.15,0.74,0.39,18.77,9.20,0.24,0.60,17.96,10.22,1.83,1.57,15.15,0.49,0.32,0.35,27.31,0.58,25.18,10.24,31.76,0.28,9.33,3.73,0.71,0.89,5.27,12.45,1.15,0.44,0.66,0.39,16.35,4.80,21.97,32.69,0.58,0.70,1.23,32.17,1.37,1.01,1.32,30.37,25.41,1.06
zh-x,2.33,0.15,0.27,0.12,1.14,0.75,0.22,0.43,0.16,1.46,1.64,0.78,1.68,1.21,2.36,2.78,0.51,30.37,3.28,1.47,0.45,0.51,1.44,2.57,1.32,2.19,0.17,0.62,1.57,0.23,1.82,1.80,0.13,4.98,0.68,1.66,3.89,1.04,0.93,0.19,0.51,0.77,0.31,0.56,0.17,0.96,0.15,0.23,1.20,0.55,0.59,0.81,1.12,0.55,0.65,0.48,0.31,0.10,0.21,0.17,2.60,0.78,0.11,0.53,2.89,2.42,0.51,0.57,0.95,0.26,0.16,0.15,3.40,0.34,4.20,2.31,0.44,0.17,1.24,1.50,0.59,1.09,0.27,2.35,0.89,0.23,0.39,0.15,1.34,1.99,2.34,0.30,0.43,0.12,0.33,2.75,0.57,0.77,0.31,/,8.36,0.76
x-zh,0.68,0.17,0.38,0.13,1.48,0.33,0.31,1.02,0.16,0.74,6.13,0.69,2.30,0.74,2.36,2.80,0.28,25.21,5.54,0.76,0.25,0.45,0.99,6.51,0.60,2.64,0.13,0.48,0.26,0.12,0.94,0.91,0.08,1.74,0.48,0.97,1.26,0.31,1.13,0.18,0.60,0.71,0.25,0.58,0.15,0.67,0.10,0.08,1.10,0.61,0.51,0.50,0.55,0.52,0.51,0.88,0.45,0.05,0.13,0.09,2.67,1.08,0.10,0.17,0.81,2.21,0.42,0.48,1.45,0.15,0.12,0.19,1.30,0.23,1.07,2.43,0.82,0.13,0.85,0.79,0.33,0.39,0.57,2.33,0.49,0.27,0.32,0.11,0.46,1.55,0.84,2.45,0.27,0.10,0.37,0.91,0.49,0.25,0.29,/,8.34,0.47
de-x,2.81,0.01,12.47,0.16,6.34,1.00,0.27,0.86,0.19,1.97,3.72,2.56,4.04,1.82,2.85,/,0.65,39.75,16.63,1.89,0.60,1.24,1.50,22.69,1.63,4.90,0.16,1.09,5.34,0.20,1.71,2.17,0.15,10.86,1.36,2.11,20.98,5.27,2.48,0.16,1.36,1.86,0.60,0.67,0.21,12.30,0.17,0.34,3.92,1.33,1.49,0.69,1.41,1.55,0.80,1.31,0.48,0.08,0.23,0.17,4.55,2.41,0.17,0.62,18.44,2.34,1.76,1.34,2.10,0.50,0.19,0.19,13.36,0.51,17.98,2.44,11.66,0.22,2.00,2.02,1.23,1.45,0.47,2.39,1.59,0.11,0.30,0.29,14.54,2.23,6.35,1.15,0.59,0.16,0.64,17.06,1.35,1.06,1.15,2.80,2.45,0.73
x-de,3.68,0.11,2.39,0.21,10.90,1.82,1.50,4.98,0.21,2.74,11.59,2.15,15.29,1.07,6.45,/,0.66,36.64,8.80,1.45,1.29,0.51,1.57,14.54,1.37,15.25,0.16,0.76,8.58,0.29,2.75,1.97,0.19,10.84,0.99,1.84,5.23,5.67,2.60,0.23,1.05,2.65,0.47,0.53,0.11,2.13,0.20,0.17,4.39,0.81,1.16,0.62,1.38,0.77,1.20,1.06,2.64,0.05,0.32,0.26,8.66,3.59,0.16,0.57,10.13,5.58,0.93,0.57,8.68,0.41,0.13,0.33,15.33,0.56,8.02,4.76,16.02,0.15,5.75,2.41,0.54,0.91,2.81,7.53,0.97,0.22,0.29,0.23,1.55,2.65,11.80,17.96,0.35,0.38,0.96,12.01,0.81,0.43,0.85,2.78,1.94,0.81
ar-x,1.42,0.03,/,0.06,2.17,0.32,0.15,0.33,0.12,0.66,0.96,0.43,1.25,0.46,1.05,2.39,0.31,26.96,5.65,0.66,0.49,0.09,0.71,3.96,0.65,1.99,0.09,0.15,0.48,0.12,0.91,0.77,0.08,2.99,0.21,0.87,5.91,1.06,0.77,0.09,0.30,0.29,0.18,0.12,0.07,0.48,0.16,0.15,0.38,0.18,0.22,0.28,0.60,0.19,0.36,0.23,0.20,0.04,0.16,0.12,0.39,0.92,0.04,0.23,3.92,1.03,0.29,0.42,0.79,0.14,0.08,0.08,4.29,0.24,8.47,1.04,0.25,0.28,0.69,0.73,0.25,0.34,0.14,0.58,0.31,0.08,0.12,0.09,0.35,0.86,1.39,0.21,0.15,0.17,0.14,0.88,0.24,0.19,0.16,0.38,0.56,0.22
x-ar,1.72,0.06,/,0.09,4.53,0.67,0.54,1.38,0.10,0.73,6.18,0.73,3.33,0.31,1.68,12.47,0.14,23.09,6.11,0.41,0.67,0.29,0.47,12.36,0.42,5.97,0.07,0.23,1.00,0.14,0.73,0.41,0.05,4.78,0.29,0.69,2.65,1.20,0.83,0.06,0.38,0.79,0.14,0.09,0.04,0.47,0.22,0.06,1.13,0.26,0.36,0.06,0.52,0.19,0.38,0.35,0.90,0.03,0.17,0.08,1.92,1.17,0.03,0.24,6.75,1.62,0.28,0.42,3.18,0.10,0.07,0.18,7.61,0.28,5.37,2.07,10.00,0.27,1.18,0.73,0.20,0.17,0.91,2.11,0.29,0.12,0.10,0.07,0.29,1.12,3.18,7.16,0.19,0.25,0.25,2.94,0.27,0.07,0.21,0.27,0.21,0.25
ne-x,0.72,0.16,0.24,0.12,0.54,0.42,0.11,0.25,0.21,0.64,0.48,0.59,0.40,0.42,0.68,0.57,0.15,0.60,0.65,0.55,0.35,0.55,0.36,0.88,0.41,0.48,0.19,0.59,0.17,5.16,0.47,0.53,0.12,0.58,0.30,0.34,0.76,0.02,0.63,0.07,0.55,0.59,0.27,0.30,0.19,0.28,0.08,0.16,0.40,0.55,0.57,0.31,0.36,0.46,0.27,0.36,0.22,0.10,0.22,3.28,0.74,0.87,0.05,/,0.77,0.46,0.45,0.43,0.44,0.21,0.23,0.22,0.33,0.26,0.65,0.45,0.26,0.20,0.39,0.49,0.24,0.16,0.22,0.42,0.48,0.13,0.24,0.06,0.23,0.57,0.22,0.24,0.38,0.17,0.24,0.55,0.42,0.17,0.29,0.17,0.23,0.36
x-ne,0.31,0.09,0.23,0.16,0.44,0.26,0.12,0.29,0.26,0.26,0.58,0.08,0.52,0.36,0.49,0.62,0.21,0.14,0.46,0.25,0.28,0.19,0.24,0.62,0.33,0.45,0.15,0.21,0.25,5.68,0.30,0.39,0.13,0.42,0.25,0.30,0.29,0.14,0.22,0.13,0.28,0.18,0.17,0.20,0.09,0.39,0.13,0.01,0.39,0.24,0.13,0.19,0.29,0.17,0.20,0.33,0.18,0.06,0.15,3.38,0.51,0.40,0.07,/,0.44,0.51,0.38,0.17,0.51,0.05,0.14,0.27,0.41,0.23,0.60,0.35,0.33,0.18,0.37,0.29,0.10,0.35,0.21,0.27,0.13,0.19,0.16,0.08,0.33,0.17,0.48,0.34,0.19,0.16,0.24,0.61,0.27,0.09,0.21,0.53,0.26,0.28
