direct,af,am,ar,as,ast,az,be,bg,bn,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,ga,gl,gu,ha,he,hi,hr,hu,hy,id,ig,is,it,ja,jv,ka,kam,kea,kk,km,kn,ko,ku,ky,lb,lg,ln,lo,lt,luo,lv,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ns,ny,oc,om,or,pa,pl,ps,pt,ro,ru,sd,sk,sl,sn,so,sr,sv,sw,ta,te,tg,th,tl,tr,uk,umb,ur,uz,vi,wo,xh,yo,zh,zhtrad,zu
en-x,76.07,40.70,76.95,53.75,64.39,56.81,40.14,72.63,68.35,69.98,72.44,56.92,77.65,43.07,72.53,81.34,58.87,/,84.38,58.22,69.88,44.40,67.27,84.83,42.08,78.66,54.84,47.26,62.52,60.54,69.46,55.49,39.10,87.34,62.02,38.81,84.09,86.56,65.59,45.03,37.18,45.96,52.49,49.41,40.98,83.28,52.83,47.99,48.16,38.54,45.86,40.08,59.18,39.00,57.30,59.59,70.61,49.97,50.71,44.71,83.07,54.65,53.24,48.43,81.44,74.32,50.89,49.86,60.02,38.00,43.52,45.15,77.99,45.16,87.15,75.61,84.48,46.80,63.94,58.29,54.66,48.73,57.35,75.89,48.45,49.27,43.96,47.87,81.56,66.54,76.00,70.10,44.01,56.33,38.43,85.67,51.50,48.72,50.32,87.94,86.20,46.96
x-en,85.52,54.34,84.99,75.00,76.99,79.91,75.37,85.72,85.13,84.91,85.34,66.89,85.64,69.56,86.34,87.18,83.60,/,85.54,81.04,85.05,47.58,84.50,87.75,61.05,85.74,83.30,51.89,84.87,86.66,84.23,82.22,69.31,87.57,49.41,67.55,85.72,86.01,65.94,76.52,47.67,61.85,76.94,76.05,74.28,86.00,53.05,69.79,61.54,47.22,49.38,64.37,80.19,46.06,81.27,51.35,84.17,80.37,70.60,79.46,86.48,61.88,71.48,80.63,85.50,85.28,47.99,49.24,75.36,48.88,77.63,81.14,83.64,69.96,87.89,86.92,85.50,60.82,84.05,81.85,48.61,52.92,84.32,86.91,66.91,72.61,74.35,54.94,85.77,81.72,86.36,84.52,44.95,80.95,73.12,86.22,47.48,50.72,48.35,86.32,85.83,49.27
zh-x,72.68,40.43,75.58,53.49,66.35,55.36,42.26,72.10,64.47,69.77,72.46,59.28,77.09,44.45,72.12,79.88,59.72,86.32,83.15,58.33,69.68,44.82,66.01,82.67,43.84,78.24,53.27,48.55,63.56,56.19,69.49,57.07,38.73,85.32,65.13,40.81,83.10,88.06,68.38,45.61,38.81,45.14,49.99,48.82,39.69,83.84,56.69,47.27,49.70,40.75,47.99,40.69,61.69,40.33,59.10,64.70,69.46,48.84,49.10,43.75,81.25,56.36,50.62,43.56,80.30,72.71,52.60,51.14,61.41,37.77,41.45,42.25,79.16,46.42,85.02,74.28,84.86,44.90,63.84,59.06,55.79,49.81,58.66,75.36,50.06,47.89,42.73,46.72,81.14,66.10,74.19,71.08,47.43,54.09,36.78,85.46,52.31,50.99,52.91,/,90.65,50.31
x-zh,82.11,51.30,82.66,72.77,78.77,78.19,76.99,83.78,81.94,83.43,84.44,67.65,84.25,67.87,85.04,85.96,81.15,87.94,85.53,79.21,82.92,50.40,81.80,86.21,60.82,85.28,78.73,53.64,82.70,82.32,83.27,80.25,65.26,85.22,51.92,67.01,85.84,86.52,68.39,74.26,51.20,66.48,74.50,73.77,70.49,85.50,52.65,68.43,65.47,51.72,53.50,61.52,79.87,49.39,80.37,53.87,82.50,75.75,69.14,75.89,83.20,61.67,68.78,76.76,84.22,83.86,51.54,53.14,77.10,50.22,74.33,76.44,84.22,68.83,86.26,83.93,84.98,60.08,83.21,81.67,52.24,54.87,82.46,85.30,66.61,69.08,70.65,56.19,85.32,79.39,82.68,83.34,49.06,77.67,70.46,86.00,51.68,52.61,51.46,/,76.23,51.51
de-x,71.44,38.03,72.19,49.70,59.03,53.04,40.03,70.16,63.17,68.12,68.18,55.24,77.39,41.48,71.64,/,57.30,87.18,81.41,55.89,65.52,45.48,63.11,81.06,41.09,75.05,48.92,45.82,59.09,55.08,67.71,53.81,37.13,83.64,60.60,38.59,81.19,83.92,58.05,44.32,36.76,44.42,48.69,45.88,38.43,80.19,53.71,45.66,49.80,41.69,45.36,38.74,58.03,38.42,54.86,57.95,68.84,46.38,47.29,41.21,78.96,54.70,48.53,42.56,81.04,71.88,49.75,47.31,58.01,38.87,39.77,41.54,78.05,43.49,83.70,71.88,83.10,43.23,62.72,58.72,53.70,47.52,55.59,75.33,46.98,46.52,41.46,45.57,75.71,63.17,69.62,69.13,44.26,52.65,36.78,82.38,51.10,47.19,50.57,85.96,83.90,46.40
x-de,73.65,47.21,75.60,64.56,65.94,68.93,68.42,78.47,74.52,78.61,75.33,54.55,80.12,54.83,78.23,/,75.24,81.34,76.62,71.86,76.06,41.41,74.68,79.41,51.37,76.83,72.26,42.48,76.81,76.21,77.67,73.11,59.87,78.72,43.43,57.03,78.28,77.64,54.23,67.27,41.24,52.22,66.76,67.33,64.10,76.28,46.18,59.78,58.29,41.53,41.89,55.33,70.82,40.77,71.53,43.67,76.64,68.92,60.58,68.35,76.39,51.41,61.37,70.10,79.01,76.15,43.23,42.42,63.41,41.57,66.24,70.01,78.58,60.05,78.88,78.78,78.84,51.28,78.33,75.26,41.75,44.96,77.22,79.08,55.40,62.78,62.90,48.28,77.22,71.32,75.17,77.74,40.08,70.90,61.17,78.54,40.76,43.05,43.64,79.88,79.50,41.73
ar-x,68.68,39.16,/,48.77,62.17,51.32,41.49,68.90,60.69,65.82,68.20,57.34,73.64,43.49,68.84,75.60,58.26,84.99,79.22,54.06,66.73,45.16,62.85,78.93,42.76,73.82,47.84,47.95,60.75,51.90,65.62,54.25,38.06,81.55,63.62,39.48,78.74,82.09,55.73,44.09,40.29,42.20,48.18,45.99,39.19,78.12,53.27,45.36,48.65,44.61,46.85,39.21,58.02,41.24,55.54,61.23,66.11,47.00,47.11,39.31,77.16,55.96,47.88,41.58,75.89,69.51,52.41,49.03,60.13,37.02,39.04,40.49,75.56,44.80,81.03,71.65,80.96,43.62,61.20,56.64,56.28,49.16,55.24,71.38,49.22,47.15,41.77,46.26,75.48,63.62,69.14,68.95,47.05,52.19,36.47,81.29,52.17,49.18,52.76,82.66,80.71,49.36
x-ar,70.04,50.00,/,65.46,68.25,68.74,65.39,72.47,72.67,71.88,72.56,60.19,72.98,61.73,72.88,72.19,73.14,76.95,73.92,68.77,73.60,49.37,71.48,74.73,56.38,73.28,71.67,49.98,75.08,73.19,71.80,70.14,61.66,74.00,49.85,59.61,74.13,74.09,59.81,67.30,50.01,60.18,65.84,68.56,65.93,74.51,51.88,60.83,58.95,49.31,51.67,57.36,69.66,46.21,69.46,49.63,70.05,69.60,62.04,68.14,72.58,56.69,63.98,69.08,71.80,71.59,50.25,50.73,67.51,49.01,67.50,69.36,72.17,61.40,74.82,73.29,74.18,55.45,71.95,70.05,50.61,51.46,69.22,73.48,60.68,65.24,65.43,52.49,75.23,70.44,73.60,71.63,49.22,68.90,63.68,75.68,49.41,49.72,48.90,75.58,75.23,48.29
ne-x,68.82,40.32,69.08,55.12,62.99,50.84,45.04,65.43,66.03,64.30,68.01,62.39,68.66,47.79,65.95,70.10,58.23,80.63,74.55,55.47,63.14,48.70,60.65,72.89,46.65,68.20,59.61,50.34,59.92,57.41,64.60,56.75,42.45,78.32,65.68,43.89,73.29,77.61,63.88,47.44,45.66,49.05,50.69,49.47,45.43,74.42,55.84,49.25,51.84,47.65,49.87,42.45,59.03,49.11,57.85,62.86,65.33,53.05,50.45,49.60,71.51,56.64,51.46,/,71.65,67.44,50.62,51.08,62.14,44.56,47.21,47.45,71.01,48.34,75.99,67.63,74.39,47.98,59.71,57.12,58.31,53.67,54.97,68.52,53.99,52.37,49.59,45.51,70.52,67.36,65.76,64.86,48.91,56.12,42.12,77.07,52.05,51.87,57.83,76.76,75.66,52.49
x-ne,44.18,35.54,41.58,45.02,41.38,43.00,39.58,43.42,48.48,44.24,45.14,41.98,43.20,38.49,44.01,42.56,40.94,48.43,43.37,42.35,44.15,34.35,43.48,43.23,37.56,44.24,50.14,33.90,42.34,54.08,44.24,41.45,38.31,45.25,34.94,38.81,42.70,44.12,38.74,42.00,35.18,39.29,43.55,43.90,45.75,43.92,34.75,39.72,37.71,34.97,35.95,38.65,42.17,35.31,43.25,37.83,42.16,46.96,41.19,48.45,46.31,38.29,41.54,/,42.78,44.27,35.09,35.17,41.77,31.75,48.60,51.01,41.99,40.53,44.85,43.04,42.85,36.72,43.74,42.75,35.02,34.43,42.41,44.39,39.85,43.51,45.50,35.91,44.17,43.22,43.58,42.54,33.33,48.39,40.25,44.18,33.69,33.41,36.15,43.56,43.56,32.76
