direct,af,am,ar,as,ast,az,be,bg,bn,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,ga,gl,gu,ha,he,hi,hr,hu,hy,id,ig,is,it,ja,jv,ka,kam,kea,kk,km,kn,ko,ku,ky,lb,lg,ln,lo,lt,luo,lv,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ns,ny,oc,om,or,pa,pl,ps,pt,ro,ru,sd,sk,sl,sn,so,sr,sv,sw,ta,te,tg,th,tl,tr,uk,umb,ur,uz,vi,wo,xh,yo,zh,zhtrad,zu
en-x,24.11,0.14,17.95,2.20,8.09,3.67,1.91,17.04,11.78,13.86,23.90,5.50,19.71,2.70,21.55,25.59,7.32,/,27.76,7.52,13.98,1.17,9.67,40.23,2.03,24.48,5.93,2.91,11.74,14.27,12.95,6.51,1.76,32.25,2.49,3.38,25.59,19.42,3.87,5.28,1.78,2.30,3.97,3.21,1.49,15.46,0.42,2.83,4.80,1.01,1.47,1.64,8.70,1.43,7.10,2.68,17.19,3.48,2.35,4.26,23.97,2.99,2.41,4.18,21.21,19.02,1.90,1.72,5.96,0.40,1.52,2.78,15.22,2.35,41.94,21.06,25.66,0.69,12.55,10.00,1.87,2.24,1.03,25.05,3.51,2.35,2.52,1.15,16.70,13.04,15.80,13.70,0.99,6.45,0.61,32.24,1.85,1.48,1.56,28.83,8.60,1.26
x-en,44.77,1.59,31.93,10.49,27.34,14.98,13.70,34.35,23.62,32.20,35.79,15.09,31.28,18.29,35.63,36.12,26.62,/,28.16,22.33,27.66,2.60,23.17,39.54,9.21,34.15,20.20,3.96,33.47,29.30,28.78,24.05,11.81,37.15,3.33,12.53,28.65,22.26,10.24,14.54,2.84,11.07,15.19,13.06,11.41,23.79,3.33,8.39,12.38,2.94,3.38,7.91,23.12,2.44,23.87,5.75,33.07,16.59,9.55,17.20,36.39,13.19,6.13,15.70,27.58,34.36,3.71,3.74,28.48,1.37,11.78,18.53,24.86,9.62,43.91,36.58,33.06,3.86,29.65,24.73,3.44,4.04,33.88,37.37,12.43,10.46,12.42,4.65,24.13,28.31,29.11,32.01,1.90,19.48,12.19,32.42,3.00,4.48,3.83,28.15,26.37,3.54
zh-x,11.75,0.12,11.79,1.89,6.14,3.16,1.52,10.80,7.99,8.78,13.85,4.92,13.21,2.18,12.43,16.71,5.22,28.15,19.60,5.49,10.13,0.82,7.34,25.81,1.83,14.77,4.51,2.00,7.72,9.22,8.71,6.24,1.48,19.68,2.14,2.44,18.31,18.57,3.81,4.50,1.31,1.19,3.17,2.70,1.24,14.35,0.38,2.84,3.41,1.20,1.15,1.50,6.67,1.14,5.50,2.96,10.06,2.94,1.90,3.24,13.74,2.63,2.07,2.87,15.56,9.95,1.42,1.26,4.16,0.25,1.28,2.03,11.97,2.27,23.12,14.17,17.53,0.48,8.11,6.89,1.31,1.53,2.36,13.31,2.80,2.01,1.84,1.06,13.55,9.00,11.17,9.03,0.78,4.47,0.42,23.58,1.37,1.14,1.28,/,21.42,1.14
x-zh,21.16,1.37,19.76,8.82,18.45,12.82,12.58,22.28,16.21,21.16,21.92,11.75,21.57,11.15,22.90,23.90,16.41,28.83,20.48,16.34,18.62,3.25,17.57,24.49,7.36,22.35,13.90,4.07,19.55,18.46,20.28,17.20,8.84,23.02,4.13,10.02,22.09,19.45,10.93,11.19,3.59,10.04,12.77,9.78,9.70,20.17,3.06,8.80,10.59,3.79,4.36,6.28,16.69,3.33,17.08,5.60,20.87,11.39,9.54,12.56,19.43,9.69,4.26,12.15,19.86,20.58,4.23,4.58,17.50,1.77,9.60,12.20,20.30,9.00,24.32,22.30,22.89,4.12,20.23,17.98,4.10,4.70,20.59,22.89,9.76,7.51,9.54,5.67,19.25,18.28,19.47,20.77,2.56,13.30,10.35,21.53,4.14,4.75,4.61,/,14.28,3.98
de-x,14.88,0.12,13.42,1.73,4.88,2.72,1.95,14.08,9.33,11.18,16.87,4.12,16.53,1.84,17.92,/,6.92,36.12,23.74,6.14,10.52,0.70,7.09,30.61,1.58,18.47,4.62,1.93,8.69,10.98,10.18,6.09,1.68,21.92,1.84,3.03,21.09,17.88,2.59,5.26,1.26,1.41,3.45,2.43,1.30,13.45,0.37,2.73,5.45,0.81,1.11,1.52,6.35,1.30,5.11,2.09,13.57,2.81,1.77,3.65,16.40,2.52,1.94,3.16,19.83,14.18,1.40,1.10,5.18,0.47,1.33,2.19,14.16,1.91,29.23,14.51,22.30,0.48,9.92,8.62,1.31,1.57,1.87,19.75,2.49,1.88,2.00,1.06,13.18,9.86,11.25,10.97,0.79,4.81,0.44,24.05,1.44,1.15,1.27,23.90,6.64,1.06
x-de,19.33,1.06,17.53,6.72,14.90,9.45,9.21,20.90,13.46,20.98,20.26,7.13,20.69,7.76,21.76,/,16.29,25.59,16.56,15.00,16.55,1.62,14.35,22.54,5.40,20.13,10.94,2.08,19.23,15.09,19.72,15.24,7.66,20.52,1.81,7.63,18.97,13.70,5.45,9.63,1.75,5.89,9.88,8.06,7.04,14.15,1.93,5.25,13.51,1.85,2.06,4.80,13.93,1.64,13.71,3.00,20.65,9.71,5.86,10.04,18.71,6.58,3.90,9.59,19.10,19.32,2.13,2.00,12.97,0.85,6.82,10.85,17.61,6.02,23.40,20.76,20.02,1.97,19.90,17.89,1.84,2.33,20.33,22.83,6.56,6.80,7.35,2.98,14.44,15.98,16.37,19.34,1.47,11.72,6.98,17.59,2.00,2.29,2.25,16.71,16.46,1.92
ar-x,12.03,0.11,/,1.35,4.28,2.21,1.63,11.35,8.10,8.48,13.45,3.55,12.93,1.25,13.31,17.53,5.70,31.93,18.74,4.66,10.28,0.40,6.21,26.22,1.12,13.93,3.85,1.14,8.28,8.70,8.77,5.15,1.30,19.53,1.43,1.72,17.10,14.74,1.75,3.56,0.73,0.47,2.37,2.23,1.15,11.50,0.34,1.90,2.16,0.51,0.53,1.03,5.61,0.58,5.36,2.23,10.91,2.58,1.14,2.25,14.01,2.13,1.63,2.26,14.11,10.50,0.82,0.63,3.72,0.12,1.03,1.75,11.82,1.89,23.72,14.31,17.89,0.41,7.92,6.45,1.00,1.07,4.19,12.98,2.12,1.77,1.44,0.67,12.15,8.83,9.74,9.44,0.30,4.10,0.39,21.94,0.88,0.66,0.81,19.76,5.46,0.73
x-ar,13.46,1.40,/,5.83,11.59,7.93,7.62,14.27,10.05,13.47,13.69,7.46,13.51,8.19,13.30,13.42,12.16,17.95,12.26,9.86,12.25,2.37,10.56,14.65,5.62,13.30,9.09,2.66,14.38,11.71,13.10,10.63,6.43,14.36,2.17,6.48,12.95,9.96,7.06,7.80,2.43,6.85,7.87,6.42,6.19,10.39,2.57,4.88,7.17,2.42,2.60,3.74,10.52,1.65,10.57,4.12,13.23,7.96,5.28,8.48,13.24,7.57,3.32,7.53,11.57,11.87,2.47,2.59,11.39,1.24,6.20,8.43,11.77,5.16,15.30,14.23,13.53,2.68,12.73,11.70,2.28,2.40,12.87,13.78,7.11,5.34,6.45,3.51,10.70,12.30,11.79,12.47,1.76,8.00,6.82,13.30,2.74,2.93,2.61,11.79,10.71,2.32
ne-x,7.00,0.08,7.53,2.55,3.52,1.35,1.11,6.11,10.84,4.82,8.56,2.97,6.89,0.89,6.18,9.59,3.84,15.70,11.09,2.96,6.93,0.37,3.61,14.99,1.06,6.99,9.07,0.90,5.22,9.26,4.62,3.92,1.39,11.17,1.21,1.29,9.78,11.73,2.10,3.41,0.92,0.59,1.84,1.82,2.54,8.84,0.33,2.18,1.83,0.61,0.46,0.91,3.27,0.53,3.08,1.51,6.40,3.85,1.41,4.83,6.07,1.67,2.00,/,9.13,5.90,0.49,0.61,3.02,0.27,5.24,5.08,6.80,1.90,13.06,7.81,9.18,0.61,4.56,3.79,0.83,0.97,2.55,7.29,1.44,2.55,3.81,0.91,8.03,6.76,7.43,5.05,0.26,5.61,0.36,13.99,0.55,0.53,0.94,12.15,4.02,0.58
x-ne,2.83,0.59,2.26,1.42,2.02,1.99,1.42,2.99,3.96,3.00,2.95,2.52,2.95,1.79,2.99,3.16,2.30,4.18,2.66,2.51,2.68,0.95,2.48,3.18,1.76,2.86,4.49,1.01,2.46,6.51,3.09,2.69,1.01,3.37,0.90,1.97,2.98,2.86,2.06,1.75,1.06,1.49,2.50,1.60,3.55,2.97,0.69,1.79,1.47,1.13,0.96,1.12,2.27,1.05,2.30,1.39,2.92,3.30,2.15,4.01,3.16,1.61,0.94,/,3.06,2.95,0.96,0.97,1.90,0.61,3.11,3.00,3.00,2.06,3.17,3.00,2.98,1.11,2.92,2.79,0.97,0.97,2.85,3.11,2.12,2.26,3.05,1.03,2.63,2.97,3.12,2.70,0.67,2.55,1.77,2.75,1.05,1.09,0.89,2.87,2.51,0.89
az-x,6.12,0.09,7.93,1.12,2.62,/,1.32,6.44,6.90,4.31,7.77,2.07,6.55,0.96,5.11,9.45,4.14,14.98,11.62,1.97,7.04,0.30,2.12,14.97,1.01,6.09,3.42,0.63,4.54,6.50,4.06,1.98,1.68,8.97,1.10,1.14,9.52,10.08,1.34,4.14,0.69,0.45,2.98,1.39,0.79,7.79,0.23,3.04,1.36,0.44,0.44,0.81,3.05,0.39,2.82,1.50,6.40,2.34,0.98,2.42,6.16,1.42,1.69,1.99,8.68,4.30,0.56,0.61,2.45,0.24,1.15,1.66,6.82,1.51,12.25,7.16,11.29,0.35,3.80,2.79,0.60,0.96,0.96,5.96,1.24,1.79,1.69,1.12,7.57,4.87,8.62,5.19,0.25,3.80,0.68,12.82,0.65,0.64,0.69,12.82,3.51,0.70
x-az,2.33,0.35,2.21,1.02,1.74,/,0.52,2.33,2.16,2.49,2.39,1.43,2.45,1.33,2.41,2.72,2.17,3.67,2.11,1.96,2.20,0.52,1.88,2.81,1.09,2.31,1.93,0.64,1.75,2.55,2.48,1.95,1.37,3.30,0.56,1.19,2.51,2.75,1.36,1.93,0.61,1.09,1.35,1.04,1.39,2.48,0.44,1.18,0.93,0.60,0.66,0.84,2.10,0.50,1.35,0.81,1.87,1.72,0.96,1.48,2.75,1.01,0.89,1.35,2.58,2.35,0.66,0.59,1.60,0.28,1.25,1.21,2.73,1.30,2.88,2.56,2.61,0.55,2.02,1.88,0.52,0.71,1.49,2.48,1.08,1.56,1.67,0.43,2.00,2.18,4.71,2.06,0.50,1.29,2.27,2.81,0.66,0.77,0.64,3.16,3.11,0.63
ceb-x,7.48,0.13,7.46,1.24,3.80,1.43,1.15,5.37,6.69,3.97,8.03,/,4.03,1.29,6.26,7.13,3.96,15.09,11.62,2.02,5.21,0.68,1.76,11.36,1.26,6.37,3.53,1.45,4.60,6.81,3.79,2.74,1.22,10.01,1.75,1.88,8.20,8.75,1.67,2.87,1.09,1.33,1.70,1.88,0.86,6.29,0.28,1.89,1.88,1.86,0.96,1.34,1.98,1.37,2.14,1.90,5.94,2.29,1.57,2.74,8.03,2.26,1.55,2.52,7.57,5.60,1.20,0.99,2.89,0.37,1.18,2.02,4.93,1.64,10.60,4.90,7.53,0.43,3.76,3.12,1.16,1.28,2.07,6.29,1.95,1.44,1.71,0.98,7.24,10.16,3.94,4.38,0.48,3.23,0.41,12.02,1.12,1.07,1.32,11.75,6.38,0.94
