direct,af,am,ar,as,ast,az,be,bg,bn,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,ga,gl,gu,ha,he,hi,hr,hu,hy,id,ig,is,it,ja,jv,ka,kam,kea,kk,km,kn,ko,ku,ky,lb,lg,ln,lo,lt,luo,lv,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ns,ny,oc,om,or,pa,pl,ps,pt,ro,ru,sd,sk,sl,sn,so,sr,sv,sw,ta,te,tg,th,tl,tr,uk,umb,ur,uz,vi,wo,xh,yo,zh,zhtrad,zu
en-x,80.00,50.00,51.46,43.00,74.00,56.51,78.00,80.00,53.00,78.00,85.00,52.72,80.00,44.00,84.00,87.99,49.00,/,84.00,50.00,42.00,37.00,77.00,88.00,47.00,83.00,47.00,52.00,40.00,47.00,78.00,74.00,58.00,85.00,30.00,52.00,89.00,80.00,71.00,60.00,34.00,56.00,71.00,50.00,55.00,88.00,27.00,67.00,51.00,34.00,36.00,49.00,39.00,35.00,36.00,38.00,71.00,51.00,57.00,42.00,81.00,42.00,50.00,48.79,88.00,84.00,33.00,34.00,68.00,34.00,45.00,39.00,81.00,39.00,89.00,82.00,89.00,44.00,77.00,71.00,33.00,45.00,74.00,86.00,62.00,52.00,52.00,39.00,53.00,60.00,50.00,85.00,36.00,47.00,59.00,77.00,36.00,39.00,26.00,87.00,85.00,41.00
x-en,84.00,47.00,77.35,56.00,79.00,65.02,69.00,87.00,64.00,87.00,88.00,62.69,88.00,58.00,90.00,89.55,79.00,/,86.00,66.00,76.00,37.00,88.00,90.00,59.00,87.00,51.00,47.00,67.00,81.00,87.00,87.00,55.00,88.00,36.00,62.00,88.00,87.00,61.00,62.00,39.00,63.00,58.00,47.00,48.00,88.00,47.00,55.00,61.00,36.00,38.00,43.00,61.00,34.00,63.00,46.00,78.00,53.00,50.00,65.00,85.00,60.00,48.00,72.83,88.00,88.00,38.00,41.00,79.00,40.00,48.00,51.00,86.00,51.00,90.00,89.00,87.00,51.00,84.00,86.00,40.00,48.00,87.00,90.00,56.00,54.00,50.00,45.00,70.00,78.00,81.00,87.00,33.00,66.00,58.00,86.00,42.00,45.00,39.00,85.00,64.00,44.00
zh-x,76.00,49.00,59.72,43.00,68.00,59.79,62.00,61.00,56.00,65.00,81.00,48.97,73.00,56.00,76.00,83.58,60.00,85.00,84.00,64.00,66.00,36.00,71.00,84.00,51.00,77.00,50.00,51.00,63.00,51.00,68.00,68.00,59.00,73.00,29.00,57.00,86.00,78.00,63.00,57.00,35.00,50.00,55.00,56.00,54.00,85.00,22.00,50.00,49.00,34.00,35.00,56.00,64.00,34.00,62.00,26.00,59.00,55.00,56.00,46.00,73.00,40.00,52.00,52.26,85.00,78.00,31.00,35.00,66.00,36.00,44.00,43.00,77.00,46.00,86.00,75.00,87.00,45.00,67.00,65.00,33.00,47.00,60.00,81.00,60.00,57.00,53.00,25.00,70.00,60.00,64.00,65.00,35.00,54.00,56.00,71.00,35.00,40.00,24.00,/,89.00,38.00
x-zh,79.00,46.00,71.95,54.00,79.00,62.97,68.00,81.00,60.00,82.00,85.00,62.06,82.00,56.00,84.00,85.78,74.00,87.00,86.00,63.00,72.00,45.00,83.00,86.00,57.00,84.00,50.00,47.00,63.00,74.00,79.00,78.00,51.00,84.00,43.00,60.00,86.00,86.00,60.00,59.00,48.00,66.00,56.00,42.00,48.00,85.00,47.00,56.00,63.00,46.00,47.00,44.00,60.00,44.00,62.00,51.00,76.00,51.00,51.00,60.00,81.00,60.00,46.00,67.18,85.00,84.00,46.00,48.00,77.00,46.00,47.00,49.00,80.00,50.00,86.00,84.00,85.00,49.00,73.00,81.00,48.00,50.00,74.00,85.00,55.00,51.00,49.00,48.00,54.00,73.00,71.00,84.00,44.00,62.00,56.00,84.00,48.00,50.00,44.00,/,89.00,48.00
de-x,77.65,49.34,58.04,40.55,70.92,61.73,67.22,67.47,53.74,74.64,81.22,48.16,77.59,59.54,80.82,/,64.85,89.55,84.00,64.62,63.90,34.32,72.92,85.47,54.09,80.14,49.83,52.62,65.08,49.74,75.09,70.74,59.61,78.32,25.93,64.72,86.75,73.69,63.91,59.18,32.26,49.81,67.13,46.90,51.82,84.95,17.76,54.66,50.22,29.67,32.77,47.87,65.14,32.78,65.30,25.98,62.26,51.42,52.61,43.84,75.28,40.66,46.66,46.47,87.54,81.07,28.11,33.06,63.50,37.32,42.87,42.08,80.64,47.16,86.45,78.92,88.16,45.90,74.75,72.85,30.55,47.93,64.59,83.43,60.25,55.84,53.07,24.22,59.12,58.47,58.15,76.13,32.41,51.42,57.70,70.18,33.82,39.62,20.95,85.78,83.84,39.21
x-de,76.91,44.00,70.13,51.06,73.82,58.58,65.67,82.63,56.96,83.43,83.43,55.00,85.57,51.43,85.62,/,72.55,87.99,83.44,60.57,70.20,31.78,83.40,85.03,52.78,82.17,46.48,41.16,61.36,72.22,83.38,82.34,49.56,82.86,31.27,56.00,84.55,82.65,52.81,56.45,33.57,56.55,51.91,47.24,44.55,82.88,42.76,49.60,58.00,28.85,31.68,46.11,56.04,30.10,57.23,41.86,75.36,47.79,46.34,57.35,78.54,53.86,43.17,64.90,85.09,83.92,34.22,34.11,73.77,34.52,44.31,45.98,83.26,48.48,84.77,84.74,83.77,46.03,82.22,83.23,34.60,44.16,82.57,85.81,49.74,49.34,45.44,41.41,61.73,70.51,72.78,83.15,26.78,59.70,52.45,82.34,36.93,39.03,34.82,83.58,82.94,37.76
ar-x,67.39,45.70,/,37.05,64.24,44.38,63.51,56.18,44.12,57.38,70.40,47.83,65.29,50.21,67.62,70.13,48.68,77.35,72.57,48.33,57.20,36.36,63.25,72.12,47.18,69.60,43.30,48.08,51.29,40.51,61.03,59.32,47.66,67.77,28.80,48.21,74.10,58.83,58.09,43.96,35.80,50.65,42.79,43.63,44.44,72.02,25.59,38.29,45.22,33.65,35.67,42.93,47.75,36.25,46.41,28.43,50.45,45.66,40.53,36.71,66.40,41.41,40.89,39.43,73.55,68.84,32.47,34.91,60.10,33.72,38.33,37.02,68.00,47.54,74.09,65.38,75.46,43.81,62.01,58.24,33.52,44.35,52.66,69.03,52.91,45.32,45.36,25.67,48.54,52.44,44.06,70.83,35.81,49.71,43.80,57.96,35.07,38.78,25.07,71.95,66.53,37.62
x-ar,47.59,39.65,/,37.81,47.74,44.16,44.68,55.02,43.09,54.51,54.62,40.68,56.36,39.01,54.74,58.04,48.97,51.46,56.05,43.97,55.82,30.90,56.12,59.20,38.63,53.40,38.82,36.35,57.00,45.54,53.08,53.08,40.20,58.40,29.65,41.59,60.68,55.15,43.18,41.74,30.55,40.90,41.35,37.79,37.66,58.28,37.67,39.85,38.92,28.23,28.34,35.30,42.02,26.94,43.90,36.56,49.91,40.43,37.92,39.87,54.36,38.05,37.01,43.70,56.68,53.44,29.57,32.18,46.47,34.33,33.01,33.85,54.17,44.15,58.41,58.54,63.44,44.44,50.79,54.96,30.89,37.16,51.09,55.00,39.65,42.37,38.97,35.13,45.16,48.00,49.46,58.23,27.24,49.82,41.64,53.55,33.63,35.32,31.95,59.72,57.61,34.81
ne-x,65.08,45.95,43.70,44.68,63.68,49.26,63.04,52.68,52.28,53.98,66.27,51.98,60.29,51.99,63.04,64.90,44.70,72.83,67.68,45.06,43.82,41.23,61.29,66.27,50.29,66.36,51.58,49.04,46.51,50.43,56.98,56.27,46.44,66.15,33.66,51.45,68.94,56.51,59.12,47.47,42.62,52.63,58.45,42.39,48.60,68.25,26.89,44.74,48.14,40.59,40.36,43.01,46.91,43.47,45.61,34.05,47.73,48.06,41.30,52.89,63.05,42.79,42.87,/,68.90,64.55,42.44,42.25,57.88,36.33,45.66,44.56,63.46,43.32,68.99,61.60,69.44,44.31,57.71,55.46,40.95,45.99,50.94,63.91,47.20,46.50,48.96,37.51,39.15,51.46,42.80,65.32,41.62,45.86,50.24,61.16,40.12,43.73,30.37,67.18,64.06,43.18
x-ne,41.40,38.52,39.43,42.75,37.32,43.99,36.64,46.65,51.22,49.02,42.55,29.42,49.35,33.87,46.55,46.47,40.31,48.79,42.69,42.73,44.14,23.64,48.54,45.13,33.67,42.70,36.25,32.45,42.57,61.38,48.35,46.10,45.24,50.16,18.95,39.04,47.35,49.56,39.98,44.63,22.09,32.47,34.21,35.20,33.35,56.91,26.09,32.72,28.12,20.97,21.45,30.25,43.53,20.50,41.89,26.00,41.14,42.95,30.45,55.68,46.66,27.03,39.20,/,46.59,46.35,25.95,23.97,37.17,29.05,32.87,34.49,46.69,32.60,44.91,47.95,51.91,33.27,43.52,48.29,21.87,33.44,43.65,47.37,40.96,40.20,32.13,29.31,39.43,41.19,44.96,44.37,22.49,46.66,41.85,46.20,24.09,27.06,20.40,52.26,48.40,26.76
