direct,af,am,ar,as,ast,az,be,bg,bn,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,ga,gl,gu,ha,he,hi,hr,hu,hy,id,ig,is,it,ja,jv,ka,kam,kea,kk,km,kn,ko,ku,ky,lb,lg,ln,lo,lt,luo,lv,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ns,ny,oc,om,or,pa,pl,ps,pt,ro,ru,sd,sk,sl,sn,so,sr,sv,sw,ta,te,tg,th,tl,tr,uk,umb,ur,uz,vi,wo,xh,yo,zh,zhtrad,zu
en-x,8.25,0.19,4.01,0.14,15.38,0.86,1.77,21.79,0.26,19.94,36.80,5.39,21.89,2.92,31.86,42.53,2.41,/,30.23,3.13,3.57,1.77,15.24,52.17,2.86,15.16,0.20,2.35,3.30,2.36,18.85,14.64,0.21,28.58,1.79,3.67,35.40,10.21,5.97,0.51,1.98,4.41,2.99,0.62,0.22,27.16,0.14,2.20,4.51,2.04,3.59,1.16,2.42,2.43,1.84,2.93,7.47,0.10,0.21,0.70,16.75,2.87,0.11,0.79,33.68,25.92,2.36,2.04,8.09,0.37,0.21,0.23,19.33,0.52,47.71,28.03,35.83,0.19,8.45,16.36,1.70,2.13,16.10,33.94,2.83,0.29,0.31,1.26,1.13,9.55,3.78,18.52,2.35,0.47,0.41,23.88,2.52,1.60,1.27,29.55,8.57,1.20
x-en,47.85,0.97,22.28,2.64,36.16,7.23,11.78,40.27,6.53,41.36,48.06,17.27,41.78,11.95,49.56,48.13,22.63,/,34.45,12.17,18.78,3.85,33.93,50.13,11.82,41.55,1.51,4.30,14.22,21.85,38.56,35.43,3.68,43.17,3.13,12.47,39.31,28.31,8.97,7.10,4.52,19.58,5.80,3.84,1.30,32.95,2.20,4.37,17.63,4.14,4.72,4.76,10.06,4.03,9.20,6.75,28.68,2.13,3.14,7.00,39.07,16.10,1.01,10.13,36.87,45.45,4.85,5.15,42.00,1.56,0.95,1.36,33.05,3.51,53.92,44.55,40.03,2.25,34.91,35.14,4.64,4.74,42.53,49.82,8.39,2.55,2.14,2.89,10.88,30.39,24.64,42.04,2.75,8.40,4.54,35.35,4.91,4.86,3.68,30.04,28.07,3.59
zh-x,4.52,0.16,0.14,0.12,6.68,0.49,0.73,1.36,0.16,2.17,17.95,1.25,10.99,1.05,11.31,22.18,0.22,30.04,20.45,0.81,0.40,0.92,7.61,29.14,0.90,7.18,0.14,0.79,0.26,0.16,4.97,8.24,0.14,2.20,0.89,1.27,21.06,1.13,2.12,0.19,1.31,1.21,0.29,0.54,0.16,17.96,0.11,0.20,2.68,1.59,1.28,0.65,0.70,1.05,0.43,0.43,0.40,0.05,0.17,0.14,5.27,1.14,0.10,0.44,21.10,10.98,1.05,1.32,3.91,0.27,0.19,0.17,10.95,0.49,24.34,12.70,20.41,0.21,2.35,3.52,0.96,1.18,2.12,15.49,0.99,0.20,0.38,0.16,0.49,1.77,0.82,2.26,1.46,0.11,0.30,2.90,1.16,1.04,0.61,/,9.41,0.92
x-zh,19.04,0.64,10.47,1.48,18.82,5.82,8.39,19.74,3.52,19.39,22.97,10.31,20.09,6.15,22.36,24.34,11.62,29.55,21.81,8.70,9.83,3.84,18.49,24.64,6.22,21.36,1.22,3.61,6.43,10.28,17.25,15.29,2.45,22.28,3.19,7.81,22.27,18.97,7.57,4.96,4.24,11.53,4.99,2.89,1.24,21.19,1.38,4.24,10.27,3.36,4.15,3.49,7.44,3.48,7.03,5.05,16.01,1.38,3.48,4.18,19.12,9.00,0.54,5.96,21.70,21.10,4.27,4.67,18.31,1.97,0.78,0.96,17.36,2.30,24.59,23.00,23.02,1.48,11.78,18.18,3.97,3.98,13.88,22.81,6.56,1.71,1.42,3.09,1.94,14.71,10.91,22.51,2.91,4.32,4.50,20.14,4.89,4.98,3.31,/,26.44,3.93
de-x,8.99,0.17,0.63,0.20,12.33,1.08,1.22,6.92,0.24,7.34,25.44,3.51,14.11,2.15,24.17,/,0.72,48.13,26.18,2.53,0.80,1.55,12.48,37.89,1.77,11.89,0.26,2.08,0.52,0.33,11.21,12.91,0.16,15.01,1.45,2.63,27.81,6.07,3.71,0.44,1.82,2.93,2.57,0.73,0.28,22.06,0.20,1.22,4.68,1.76,2.51,1.25,1.79,2.23,1.08,1.82,2.12,0.14,0.30,0.25,11.22,2.40,0.23,0.65,28.43,20.02,1.95,1.88,4.85,0.64,0.25,0.24,16.18,0.78,33.46,22.11,28.89,0.26,4.57,9.59,1.50,1.81,4.14,26.18,2.14,0.33,0.63,0.55,0.88,5.10,2.89,10.51,1.83,0.19,0.77,11.00,2.23,1.37,1.07,24.34,7.37,1.19
x-de,26.73,0.70,13.52,1.96,24.05,5.74,9.66,27.17,4.34,27.86,30.86,9.87,28.68,7.18,33.24,/,15.69,42.53,25.83,9.30,12.57,2.67,23.39,32.37,7.50,28.25,1.08,3.14,9.92,12.66,26.74,23.72,3.29,25.27,2.45,9.26,27.67,19.44,5.72,5.30,3.06,12.61,4.42,2.53,0.93,21.82,1.56,3.65,18.08,2.68,3.45,3.49,7.57,2.80,7.55,4.32,21.67,1.59,2.58,4.64,22.88,9.79,0.78,6.35,26.04,28.80,3.31,3.32,25.64,1.11,0.75,0.99,23.73,2.52,32.89,30.44,27.52,1.57,24.94,25.78,2.94,3.16,28.37,33.24,5.69,1.80,1.36,2.28,6.89,17.91,15.90,27.64,2.21,5.95,3.58,22.77,3.85,3.04,2.65,22.18,20.97,2.20
ar-x,2.86,0.10,/,0.09,5.48,0.28,0.68,3.78,0.14,4.32,13.94,1.52,8.61,0.99,10.50,13.52,0.83,22.28,13.46,0.50,1.01,0.58,6.58,20.01,0.78,5.18,0.14,0.57,1.08,0.45,5.79,6.32,0.08,8.71,0.47,1.09,13.56,1.06,1.58,0.16,0.91,1.37,0.25,0.21,0.12,8.87,0.26,0.14,1.71,0.80,1.21,0.34,0.35,1.03,0.36,0.61,1.34,0.08,0.18,0.17,6.21,1.23,0.06,0.14,12.98,8.79,0.91,0.98,3.14,0.14,0.19,0.13,7.74,0.31,16.70,9.89,13.50,0.31,2.86,5.84,0.77,0.41,0.84,10.62,0.63,0.15,0.25,0.14,0.26,2.39,0.65,6.90,0.92,0.29,0.14,6.36,0.90,0.79,0.46,10.47,2.48,0.56
x-ar,0.32,0.11,/,0.11,0.43,0.23,0.26,0.43,0.15,0.54,0.53,0.32,0.55,0.42,0.67,0.63,0.35,4.01,0.83,0.28,1.00,0.42,0.30,0.31,0.43,0.52,0.14,0.35,0.70,0.51,0.49,0.38,0.22,0.49,0.38,0.41,0.34,0.44,0.33,0.21,0.21,0.33,0.28,0.16,0.12,0.12,0.68,0.18,0.48,0.26,0.22,0.08,0.23,0.18,0.26,0.63,0.58,0.08,0.16,0.29,0.54,0.36,0.10,0.23,0.74,0.57,0.22,0.20,0.57,0.22,0.09,0.11,0.36,0.42,0.57,0.51,0.35,0.44,0.43,0.31,0.17,0.21,0.74,0.50,0.29,0.20,0.16,0.23,0.30,0.50,0.38,0.50,0.26,0.43,0.15,0.70,0.49,0.28,0.36,0.14,0.18,0.21
ne-x,2.50,0.16,0.23,0.16,3.65,0.33,0.76,2.34,0.58,2.55,7.38,1.76,3.90,0.98,4.97,6.35,0.25,10.13,6.89,0.89,0.40,0.80,3.37,9.11,0.90,3.33,0.20,1.09,0.33,3.77,2.57,3.85,0.12,5.17,0.77,1.29,6.49,1.01,1.89,0.22,1.13,1.47,1.53,0.32,0.26,6.37,0.17,0.57,1.62,1.08,1.26,0.45,0.76,1.32,0.52,0.94,0.88,0.20,0.24,2.82,2.97,0.78,0.10,/,6.32,4.12,1.01,1.13,2.01,0.36,0.22,0.21,4.04,0.38,7.86,4.87,5.84,0.24,1.96,2.88,0.94,0.95,0.70,4.87,0.91,0.30,0.32,0.52,0.41,1.92,1.15,3.26,0.98,0.17,0.26,5.90,1.01,0.75,0.69,5.96,1.90,0.59
x-ne,0.69,0.15,0.14,0.53,0.57,0.45,0.32,0.48,0.48,0.61,0.65,0.68,0.55,0.64,0.66,0.65,0.26,0.79,0.60,0.63,0.30,0.64,0.51,0.59,0.59,0.64,1.28,0.84,0.29,5.44,0.56,0.66,0.21,0.66,0.61,0.61,0.62,0.29,0.75,0.26,0.70,0.76,0.37,0.32,0.43,0.43,0.18,0.40,0.59,0.60,0.60,0.29,0.50,0.67,0.36,0.69,0.53,0.39,0.41,3.55,0.70,0.51,0.15,/,0.65,0.67,0.91,0.65,0.68,0.53,0.76,0.74,0.53,0.52,0.63,0.62,0.22,0.62,0.60,0.58,0.50,0.64,0.50,0.63,0.59,0.38,0.88,0.45,0.39,0.70,0.68,0.45,0.52,0.50,0.45,0.65,0.66,0.49,0.53,0.44,0.30,0.42
