direct,af,am,ar,as,ast,az,be,bg,bn,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,ga,gl,gu,ha,he,hi,hr,hu,hy,id,ig,is,it,ja,jv,ka,kam,kea,kk,km,kn,ko,ku,ky,lb,lg,ln,lo,lt,luo,lv,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ns,ny,oc,om,or,pa,pl,ps,pt,ro,ru,sd,sk,sl,sn,so,sr,sv,sw,ta,te,tg,th,tl,tr,uk,umb,ur,uz,vi,wo,xh,yo,zh,zhtrad,zu
en-x,77.00,37.00,70.00,42.00,68.00,55.00,47.00,76.00,50.00,75.00,82.00,48.00,78.00,40.00,74.00,81.00,60.00,/,82.00,61.00,54.00,31.00,67.00,83.00,40.00,78.00,44.00,34.00,56.00,51.00,80.00,71.00,45.00,82.00,30.00,61.00,83.00,79.00,67.00,45.00,32.00,41.00,44.00,37.00,35.00,76.00,21.00,40.00,44.00,29.00,34.00,36.00,71.00,31.00,67.00,27.00,68.00,44.00,45.00,42.00,78.00,51.00,32.00,39.00,80.00,77.00,29.00,33.00,65.00,32.00,33.00,32.00,83.00,35.00,86.00,82.00,68.00,35.00,74.00,76.00,29.00,42.00,64.00,74.00,49.00,47.00,43.00,19.00,48.00,63.00,70.00,73.00,34.00,46.00,48.00,78.00,29.00,34.00,27.00,75.00,73.00,34.00
x-en,83.00,39.00,80.00,63.00,76.00,76.00,77.00,85.00,77.00,85.00,84.00,64.00,84.00,50.00,85.00,86.00,82.00,/,84.00,78.00,79.00,37.00,82.00,84.00,47.00,83.00,70.00,54.00,80.00,81.00,85.00,83.00,70.00,86.00,39.00,74.00,84.00,84.00,64.00,73.00,37.00,60.00,77.00,41.00,47.00,84.00,47.00,71.00,69.00,41.00,40.00,42.00,80.00,38.00,80.00,44.00,84.00,72.00,68.00,78.00,84.00,70.00,41.00,80.00,83.00,85.00,37.00,42.00,74.00,36.00,43.00,67.00,83.00,65.00,87.00,86.00,84.00,56.00,85.00,82.00,39.00,52.00,84.00,87.00,61.00,66.00,64.00,63.28,75.00,75.00,80.00,83.00,37.00,76.00,69.00,82.00,38.00,46.00,41.00,84.00,83.00,42.00
zh-x,70.00,46.00,56.00,40.00,66.00,57.00,43.00,62.00,49.00,75.00,79.00,47.00,79.00,42.00,75.00,78.00,67.00,84.00,80.00,62.00,57.00,37.00,72.00,79.00,48.00,76.00,45.00,42.00,58.00,48.00,79.00,74.00,51.00,81.00,33.00,58.00,81.00,78.00,62.00,48.00,36.00,48.00,47.00,46.00,44.00,69.00,24.00,43.00,44.00,33.00,36.00,49.00,71.00,34.00,65.00,29.00,54.00,48.00,46.00,42.00,75.00,52.00,43.00,43.00,76.00,76.00,32.00,35.00,62.00,34.00,39.00,39.00,82.00,40.00,82.00,79.00,71.00,40.00,76.00,72.00,33.00,45.00,62.00,74.00,54.00,51.00,47.00,24.00,55.00,59.00,71.00,53.00,36.00,47.00,49.00,77.00,35.00,39.00,28.00,/,82.00,37.00
x-zh,67.00,38.00,61.00,44.00,67.00,68.00,74.00,77.00,50.00,77.00,77.00,45.00,79.00,45.00,78.00,81.00,66.00,75.00,77.00,70.00,64.00,30.00,75.00,81.00,40.00,79.00,42.00,45.00,69.00,53.00,76.00,76.00,52.00,75.00,29.00,66.00,79.00,80.00,55.00,58.00,27.00,51.00,67.00,39.00,38.00,76.00,35.00,62.00,62.00,27.00,28.00,37.00,75.00,28.00,75.00,37.00,75.00,54.00,61.00,49.00,70.00,43.00,43.00,66.00,79.00,77.00,27.00,29.00,68.00,31.00,35.00,40.00,77.00,54.00,75.00,76.00,78.00,44.00,78.00,76.00,31.00,42.00,76.00,79.00,52.00,49.00,43.00,54.00,65.00,57.00,70.00,77.00,27.00,56.00,61.00,76.00,34.00,37.00,30.00,/,80.00,34.00
de-x,75.51,49.64,59.08,40.14,67.27,61.91,51.47,65.44,51.64,73.91,77.90,46.24,77.38,61.37,80.43,/,67.72,86.00,80.71,70.87,62.87,32.70,73.74,81.02,50.32,76.45,48.38,47.20,64.58,49.37,76.00,74.15,57.21,75.69,27.35,67.55,82.11,77.46,60.28,56.16,30.80,46.45,52.64,46.56,48.51,72.50,17.41,47.28,49.30,29.01,32.30,47.87,71.11,30.25,69.65,24.04,60.37,51.05,50.57,42.39,72.41,44.20,44.47,45.05,81.40,79.39,26.68,30.88,62.41,36.70,40.22,40.47,81.83,46.18,83.70,80.21,62.05,42.80,77.15,74.04,29.80,47.68,60.67,79.64,59.47,54.73,49.38,19.37,58.13,60.06,67.88,60.07,32.95,50.14,57.13,68.08,30.42,39.99,22.91,81.00,79.42,38.35
x-de,64.94,32.40,65.26,35.48,60.43,61.73,62.64,72.78,52.29,76.11,68.19,44.55,77.55,40.95,75.92,/,59.08,81.00,74.61,64.71,60.64,25.38,69.10,78.20,37.52,69.81,39.46,39.94,56.35,57.18,75.32,70.15,48.98,69.77,24.19,58.88,74.80,74.98,48.67,51.95,25.34,42.79,59.46,37.47,40.05,74.77,33.02,55.19,64.11,25.96,24.07,36.86,67.81,26.29,69.32,30.62,68.10,48.79,51.66,54.99,62.69,35.73,33.85,60.80,78.41,72.59,21.60,25.97,58.92,29.21,35.51,38.92,74.16,46.22,72.65,71.42,77.11,39.29,77.99,74.07,26.59,38.76,70.33,75.46,47.82,43.77,37.73,45.00,53.94,58.07,66.49,71.17,21.71,58.74,55.52,68.38,27.12,33.11,24.97,78.00,76.14,31.74
ar-x,56.77,52.12,/,39.64,62.71,48.33,43.42,49.16,48.60,52.33,70.81,43.01,55.11,52.39,57.87,65.26,53.96,80.00,71.75,53.50,65.60,33.13,59.19,73.13,46.85,67.64,46.62,49.51,64.11,44.61,53.15,55.59,50.70,58.91,25.58,50.06,74.04,52.13,50.27,47.70,31.58,42.25,45.56,47.17,49.06,56.92,26.87,43.22,35.80,30.22,32.38,46.95,56.65,30.42,57.18,24.40,47.50,48.24,43.42,40.31,55.16,38.33,43.31,42.81,63.34,62.57,27.64,31.19,58.99,35.09,41.77,39.82,72.57,53.91,76.14,59.51,48.87,54.06,55.80,58.04,30.20,48.14,49.14,62.23,55.16,51.61,49.39,23.58,54.91,52.23,53.11,48.53,30.86,55.15,47.41,53.63,30.62,37.91,21.19,61.00,61.19,36.61
x-ar,48.02,38.76,/,36.67,45.70,51.91,51.39,61.69,43.83,61.37,56.79,32.65,62.47,43.60,58.89,59.08,52.97,70.00,56.84,54.98,62.04,25.49,57.95,60.04,36.95,54.86,36.64,39.85,61.79,41.77,62.73,57.62,46.59,60.30,22.04,48.43,59.62,56.70,46.10,45.60,24.38,32.83,51.17,45.03,47.79,58.76,28.36,48.81,34.27,24.13,24.09,40.33,59.56,23.93,59.57,24.71,56.30,45.20,50.28,37.05,55.75,26.52,38.95,45.52,56.67,56.15,22.49,24.92,42.37,31.09,40.73,34.71,63.36,48.25,58.61,62.51,64.62,53.25,60.56,59.88,24.00,40.56,59.10,58.79,48.42,46.43,38.90,38.37,52.38,47.42,56.36,59.57,22.91,51.38,49.12,55.93,25.96,31.66,24.27,56.00,53.61,32.38
ne-x,59.05,44.55,45.52,46.27,51.73,45.22,34.84,46.92,52.81,44.28,63.71,39.95,52.65,49.82,63.21,60.80,51.00,80.00,69.65,51.28,53.06,31.76,55.41,68.46,52.82,62.29,53.40,41.06,50.51,57.55,54.67,45.73,47.83,59.69,30.97,49.62,67.48,53.83,41.25,46.88,29.50,37.03,43.19,42.68,50.62,56.03,22.81,43.26,37.54,26.05,32.01,47.47,49.57,30.21,48.82,30.33,47.51,50.38,41.97,53.96,59.06,38.56,43.15,/,59.39,62.60,29.65,30.31,58.01,31.91,50.29,47.48,54.73,42.73,67.00,59.18,47.18,50.00,54.39,54.78,33.09,43.52,44.76,64.44,49.68,52.16,50.25,23.35,48.96,56.15,54.25,43.51,31.77,48.22,45.14,51.66,31.00,38.56,18.03,66.00,66.22,36.31
x-ne,41.03,35.86,42.81,44.98,35.90,51.08,42.63,52.85,52.32,51.93,42.15,28.69,50.87,34.34,46.00,45.05,44.22,39.00,42.99,49.32,45.88,21.00,49.02,43.24,32.96,42.46,42.78,33.70,44.62,58.60,52.01,48.13,46.81,50.27,18.57,41.88,45.78,52.76,39.95,43.11,20.32,26.61,48.49,42.26,54.76,55.49,26.51,49.21,24.39,19.67,20.23,41.25,50.13,18.90,48.79,20.22,51.67,49.39,52.56,53.62,47.79,22.94,41.26,/,45.68,45.94,19.45,21.04,33.62,28.35,54.22,43.19,49.08,41.44,43.97,48.24,49.66,44.56,50.31,49.43,19.84,35.05,51.92,47.39,42.04,49.93,41.11,31.24,46.55,42.23,52.68,50.86,19.65,49.04,47.06,47.24,19.54,26.54,20.96,43.00,43.77,26.46
