direct,af,am,ar,as,ast,az,be,bg,bn,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,ga,gl,gu,ha,he,hi,hr,hu,hy,id,ig,is,it,ja,jv,ka,kam,kea,kk,km,kn,ko,ku,ky,lb,lg,ln,lo,lt,luo,lv,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ns,ny,oc,om,or,pa,pl,ps,pt,ro,ru,sd,sk,sl,sn,so,sr,sv,sw,ta,te,tg,th,tl,tr,uk,umb,ur,uz,vi,wo,xh,yo,zh,zhtrad,zu
en-x,20.71,0.16,9.66,0.26,9.94,2.58,0.82,19.26,2.09,15.30,30.66,5.84,17.85,2.75,12.74,27.57,4.66,/,24.79,5.87,1.76,1.85,5.72,39.22,1.89,15.20,0.46,1.67,3.05,5.60,19.16,10.48,0.63,24.14,1.60,7.52,25.48,15.90,4.43,1.31,1.41,1.26,1.26,0.51,0.12,12.25,0.10,0.66,7.11,2.01,2.61,0.70,10.89,2.06,10.23,2.27,11.34,0.28,0.90,1.29,14.94,11.14,0.13,1.02,21.34,16.59,2.36,1.27,7.15,0.46,0.12,0.21,18.53,0.71,39.19,25.82,13.97,0.22,14.85,15.45,1.74,2.10,1.55,12.37,2.34,0.63,0.81,0.20,1.41,9.73,10.31,16.37,1.56,1.62,2.44,21.67,1.17,1.88,1.12,16.47,4.21,1.28
x-en,43.60,0.30,29.17,6.42,28.81,14.66,19.15,37.22,16.54,35.49,37.43,17.78,34.46,6.68,39.16,39.26,28.88,/,29.40,22.60,22.16,4.20,24.72,38.40,5.44,34.83,9.22,8.13,27.94,23.14,34.45,28.19,14.41,36.41,4.60,21.83,32.22,24.18,11.96,13.47,4.73,14.26,18.27,1.78,1.62,23.07,3.35,11.49,26.04,6.09,5.17,2.33,25.15,5.27,25.84,5.68,37.01,11.80,10.15,18.54,33.22,30.72,0.74,17.10,28.69,37.56,5.87,6.24,32.21,1.20,0.80,8.57,29.44,9.97,43.52,38.44,34.06,4.21,35.27,29.96,4.92,7.44,36.34,40.94,12.06,7.57,7.12,15.30,14.35,26.40,22.22,35.32,3.39,18.91,11.44,28.35,4.83,5.36,4.64,27.18,25.95,3.97
zh-x,6.79,0.12,1.82,0.18,4.85,1.73,0.15,5.10,0.98,8.54,16.76,3.06,10.89,1.63,8.19,14.75,4.56,27.18,16.18,4.18,1.10,1.38,6.18,21.22,1.15,7.48,0.21,1.42,1.17,2.09,10.11,9.44,0.21,13.81,1.14,3.65,15.20,7.71,1.86,0.18,1.44,1.57,0.32,0.56,0.14,3.49,0.13,0.22,1.87,1.39,1.77,0.71,7.21,1.23,4.92,1.17,0.58,0.12,0.24,0.44,8.22,7.03,0.12,0.50,11.53,8.07,1.25,1.46,3.06,0.38,0.15,0.14,12.67,0.51,18.93,13.79,8.55,0.15,9.49,7.87,1.13,1.56,0.42,7.03,1.59,0.24,0.42,0.14,0.89,4.16,8.30,1.77,1.18,0.38,1.19,13.90,1.21,1.00,0.69,/,7.02,0.82
x-zh,8.74,0.12,3.20,0.85,9.68,6.30,9.31,13.74,0.93,12.96,14.22,1.90,15.05,1.52,15.92,18.40,6.29,16.47,12.87,7.99,4.36,1.06,11.20,18.33,1.36,16.18,0.51,1.94,7.34,1.43,10.88,12.36,1.30,8.00,1.00,7.28,14.67,4.41,3.65,2.87,0.80,4.62,5.93,0.45,0.10,8.27,0.33,3.00,9.64,0.77,0.96,0.48,11.07,1.08,10.09,1.58,11.86,1.62,2.66,1.81,6.32,2.59,0.12,4.45,14.70,13.80,0.88,0.94,11.61,0.39,0.13,0.39,12.16,2.34,10.71,12.74,13.98,0.40,14.28,12.38,1.39,1.42,12.58,15.06,2.25,0.55,0.44,4.64,2.96,4.01,7.44,13.04,0.73,1.89,3.90,9.44,1.14,1.91,0.93,/,7.07,1.09
de-x,3.69,0.15,1.41,0.21,9.35,1.16,0.23,4.89,0.93,4.38,19.14,4.21,9.71,1.85,3.76,/,5.48,39.26,21.81,3.07,0.68,1.46,3.27,30.10,1.67,9.72,0.30,1.84,0.72,2.81,7.79,7.98,0.17,9.64,1.37,2.46,21.22,13.98,2.68,0.45,1.58,2.24,0.68,0.72,0.25,9.31,0.18,0.41,5.09,1.64,2.12,1.19,5.16,1.97,1.72,1.52,2.42,0.16,0.31,0.93,6.78,7.09,0.27,0.62,8.01,5.54,1.72,1.74,5.17,0.58,0.19,0.21,13.67,0.77,29.40,19.12,4.15,0.19,9.72,4.71,1.40,1.70,0.88,4.54,2.04,0.33,0.64,0.28,1.11,5.50,4.67,1.80,1.61,0.41,0.85,6.10,1.74,1.25,0.95,18.40,4.86,1.04
x-de,3.62,0.07,8.43,0.31,8.86,3.92,5.66,13.91,1.72,12.95,9.46,4.77,13.84,2.48,10.42,/,2.93,27.57,14.21,5.25,4.54,2.01,5.58,19.63,2.37,12.05,0.25,2.51,1.79,2.35,10.03,6.71,0.44,7.54,1.85,4.70,9.68,11.50,2.88,0.75,2.30,3.61,3.29,0.92,0.24,11.98,0.33,2.45,20.17,2.31,2.37,1.21,6.27,2.63,7.73,2.44,10.84,0.64,1.67,2.06,5.14,2.49,0.24,1.67,6.53,7.04,2.02,2.38,10.26,0.68,0.25,0.50,5.36,1.39,11.69,7.17,17.71,0.47,14.99,11.99,2.10,2.45,11.10,10.62,3.01,0.29,0.29,2.57,1.52,6.71,6.29,12.85,1.50,3.70,2.97,9.86,2.35,2.16,1.62,14.75,12.99,1.44
ar-x,1.85,0.07,/,0.05,4.83,0.19,0.05,0.23,0.07,0.22,11.46,0.39,1.94,0.29,0.76,8.43,0.25,29.17,11.83,0.23,0.56,0.17,0.93,18.50,0.20,3.98,0.10,0.17,0.16,0.08,0.74,1.41,0.06,2.02,0.20,0.26,12.44,0.06,0.23,0.11,0.15,0.24,0.16,0.08,0.10,0.11,0.27,0.12,0.18,0.15,0.23,0.20,0.30,0.18,0.19,0.17,0.15,0.03,0.12,0.08,0.73,1.81,0.05,0.11,5.64,2.58,0.14,0.15,2.42,0.09,0.08,0.07,8.91,0.25,16.90,3.72,0.54,0.38,0.79,1.49,0.21,0.21,0.16,1.78,0.22,0.12,0.16,0.07,0.20,0.56,0.56,0.16,0.19,0.17,0.11,0.31,0.12,0.16,0.08,3.20,1.07,0.12
x-ar,0.31,0.03,/,0.07,0.28,0.42,0.47,1.23,0.08,0.75,0.47,0.35,0.38,0.28,1.50,1.41,0.14,9.66,0.51,0.33,0.46,0.28,0.26,1.63,0.31,0.37,0.03,0.27,0.18,0.17,0.51,0.23,0.06,0.53,0.19,0.31,0.45,1.39,0.32,0.09,0.24,0.38,0.29,0.14,0.13,1.52,0.24,0.29,0.67,0.26,0.26,0.13,0.24,0.31,0.27,0.22,0.48,0.04,0.21,0.08,0.34,0.19,0.06,0.24,0.68,0.55,0.22,0.24,0.36,0.15,0.14,0.06,0.24,0.28,0.44,0.66,2.07,0.41,0.61,0.66,0.24,0.35,1.12,1.31,0.28,0.09,0.07,0.53,0.19,0.24,0.30,0.99,0.22,0.16,0.32,0.44,0.20,0.23,0.18,1.82,1.37,0.19
ne-x,1.07,0.09,0.24,0.09,0.92,0.33,0.05,0.19,0.15,0.62,2.41,0.62,0.83,0.57,1.08,1.67,0.21,17.10,4.56,0.59,0.30,0.52,0.63,6.33,0.51,1.12,0.12,0.50,0.26,4.06,0.88,0.62,0.07,1.61,0.47,0.69,2.78,0.08,0.54,0.13,0.46,0.44,0.19,0.19,0.14,0.32,0.13,0.17,0.52,0.45,0.62,0.38,0.60,0.62,0.31,0.48,0.22,0.09,0.15,2.53,1.26,0.33,0.06,/,1.09,1.01,0.52,0.44,1.34,0.18,0.14,0.12,0.86,0.17,2.64,1.86,0.30,0.19,0.76,0.82,0.50,0.60,0.18,1.09,0.66,0.19,0.22,0.07,0.30,0.89,0.79,0.19,0.38,0.12,0.22,0.70,0.46,0.40,0.17,4.45,1.18,0.27
x-ne,0.66,0.05,0.11,0.16,0.54,0.41,0.25,0.36,0.15,0.51,0.59,0.72,0.46,0.58,0.61,0.62,0.15,1.02,0.50,0.52,0.21,0.59,0.43,0.59,0.56,0.57,0.04,0.68,0.24,4.61,0.49,0.47,0.10,0.58,0.54,0.57,0.49,0.17,0.65,0.17,0.60,0.64,0.33,0.42,0.22,0.27,0.13,0.24,0.55,0.57,0.62,0.27,0.40,0.53,0.29,0.49,0.31,0.06,0.27,3.01,0.59,0.43,0.09,/,0.54,0.57,0.57,0.60,0.63,0.31,0.29,0.13,0.46,0.23,0.57,0.54,0.24,0.22,0.51,0.52,0.42,0.58,0.15,0.54,0.58,0.20,0.09,0.41,0.22,0.63,0.62,0.19,0.43,0.13,0.36,0.61,0.57,0.46,0.48,0.50,0.32,0.42
