lang,mono,para,direct
af,703546,4143358,98
am,269171,4031552,97
ar,716063,9940756,97
as,33825,1656861,97
az,712947,8080151,97
be,708288,4169719,95
bg,711500,4131053,97
bn,707099,4560978,97
bs,300000,2953912,97
ca,724597,4145004,97
ceb,418058,2217926,91
cs,711179,4135944,97
cy,703507,3777953,97
da,721543,4194587,97
de,881553,10273597,97
el,707751,4081607,97
en,846712,19548583,100
es,706307,4258477,98
et,706720,4056200,97
fa,721307,4111536,97
ff,26,313870,97
fi,719416,4076885,97
fr,787316,4290003,99
ga,693460,2814912,96
gl,726512,3131730,96
gu,704619,3761401,97
ha,420964,3147704,96
he,300000,3928938,96
hi,715691,4186127,97
hr,300000,4106335,97
hu,731479,4154132,97
hy,712835,3677780,97
id,707962,4243235,97
ig,147319,3314731,96
is,704159,4088886,97
it,846107,4233108,96
ja,726455,4207728,97
jv,505619,2799761,97
ka,703515,4182651,97
kk,701849,3836259,97
km,687690,4044652,97
kn,712832,3592636,97
ko,711406,4234653,97
ku,517239,3597863,97
ky,704438,3725583,97
lb,574166,1035619,94
lg,13030,216135,95
ln,3325,159684,96
lo,357758,2642799,97
lt,718382,3946735,96
lv,700889,4011628,97
mi,180678,3437702,97
mk,702035,4009787,97
ml,715387,4516012,97
mn,701304,3894353,97
mr,702382,4295708,97
ms,711895,4121713,97
mt,671716,1518533,94
my,579160,3887841,97
ne,702334,8907527,97
nl,769778,4199773,96
no,721715,4045571,97
ny,226940,3104349,92
oc,36379,1752951,95
om,18895,191319,96
or,100530,812235,97
pa,513987,3737780,97
pl,792829,4200001,98
ps,588340,3717480,97
pt,795818,4258604,97
ro,702002,4219414,97
ru,853407,4204365,97
sd,472217,821996,95
sk,715540,4100272,98
sl,731613,4073213,97
sn,386588,3140063,97
so,697864,3804551,97
sr,711535,4033130,97
sv,726893,4213939,97
sw,700422,3775394,97
ta,711863,4444734,97
te,708459,4219702,97
tg,700237,4131709,97
th,707719,4437476,97
tr,727711,4169259,97
uk,714181,4070250,97
ur,711354,4137619,97
uz,723096,2344375,95
vi,760472,4112089,97
wo,871,802521,97
xh,122720,3955426,97
yo,98281,3364040,96
zh,726112,14215583,96
zu,470403,2899738,97
ast,0,1535714,96
luo,0,91,6
ns,0,96288,88
tl,0,3927576,97
zhtrad,0,3747297,96
kam,0,8,1
umb,0,54,2
kea,0,0,0
